company,ticker,title,body,date,replies
A. H. Belo Corporation,AHC,Any updates on layoffs at DMN Media,"This is for 2017. Do you have updates - they report on layoffs but not internal ones - smart, huh?",2017-08-23,0
A. Schulman Inc.,SHLM,I've seen worse years,The whole industry is doing well this year and AS is good too,2014-05-24,0
A.C. Moore Arts & Crafts Inc.,ACMR,ACMR is closing stores,How reliable is this info,2017-03-13,0
A.C. Moore Arts & Crafts Inc.,ACMR,"Amazon is cannibalizing the whole market, let's see how things pan out","I would like to see AC Moore recover, but it looks like that it's very hard to compete with other",2014-07-22,0
A.C. Moore Arts & Crafts Inc.,ACMR,Another online victim,Amazon is killing all of us - we'll see what 2015 has to bring,2014-05-24,0
A.F.P. Provida S.A.,PVD,PDV is different,"PVD is a quirky company, hard to gauge - it has ups and downs, I've been treated well",2014-05-24,0
A.M. Castle & Co.,CAS,200 cut in 2013,"Oak Brook is still suffering after the cuts, let's hope things pick up",2014-05-24,0
A.O. Smith Corp.,AOS,A.O. Smith Layoffs 2019,"If the market makes a turn soon, do you think there will be A.O. Smith Layoffs in 2019?",2018-10-30,0
A.O. Smith Corp.,AOS,A.O. Smith Layoffs 2018,Has the layoff been announced - I am referring to layoffs in Milwaukee.,2017-10-15,0
A.O. Smith Corp.,AOS,A.O. Smith Layoffs 2017,"Can someone share ANY info you may have, any bit of info, please, especially about layoffs in Milwaukee.",2016-11-23,1
A.O. Smith Corp.,AOS,A.O. Smith Layoffs 2016,What is the likelihood of A.O. Smith layoffs in Milwaukee in 2016? Please let me know if you have any information.,2015-11-05,0
A.O. Smith Corp.,AOS,Been here for a while,"11 years to be precise, loved it, it's a great company and you cannot find places like this anymore",2014-05-24,0
A.S.V. Inc.,ASVI,Gradual improvement,"Things are moving a little bit, it seems to be better - ASV will thrive but 2014 is not an easy year",2014-05-24,0
A.T. Cross Co.,ATX,2014 Layoffs,"Do you have ANY info on recent layoffs, it's hard to find anything online and HR does not say anything",2014-05-24,0
A10 Networks Inc.,ATEN,A10 Jan 2019 Sales Layoff,"A10 let go a number of people (10-20) in their north american sales organization, inducing the VP of sales for the America's and mexico. The company cited lowered revenues than expected, and a need to cut costs.",2019-01-09,1
A10 Networks Inc.,ATEN,This should not be acceptable,"Their revenue recognition issues that delayed Q417 earnings are real and definitely skirt the line of what is acceptable and common business practice. Laying off substantial amounts of sales and channels with no mention in the press is yet another...
read more",2018-04-07,0
A10 Networks Inc.,ATEN,Brocade not Broadcom,"Once they lost to Brocade, not Broadcom, they should have been sold for parts.",2018-04-06,0
A10 Networks Inc.,ATEN,A10 Lays off large percentage of field sales,"Unbelievable that A10 lays off a considerable percentage of field sales on April 5th, 2018, including execs, and ZERO mention in the press. A10 is a very dishonest company.",2018-04-05,2
AAC Holdings,AAC,Layoffs at AAC Holdings,"Not a good end to a year... The leaders of addiction treatment company AAC Holdings on Friday said they have laid off about 100 people and intend to cut another roughly 100 jobs as part of a $15 million cost-cutting plan...
read more",2018-12-10,0
AAON Inc.,AAON,Sales Down and Layoffs coming.,"Sales are down, a hiring and spending freeze is on and a reduced work week is in force. AAON is doing mandatory drug testing to reduce the work force without any publicity. If they don't get rid of enough people thru drug testing then layoffs are the...
read more",2017-01-21,2
AAON Inc.,AAON,conditioning and air heating equipment companies,"everyone has issues, not only aaon, things are becoming more competitive due to imports",2014-05-24,0
AAR Corp.,AIR,"So, what happened in 2009",Did you cut? I left in 2007,2014-05-24,0
AAR Corp.,AIR,"Layoffs are coming: Aerospace and defense industry services provider AAR Corp., said Tuesday (7/14/2009) that its 4th quarter profit declined...","Layoffs are coming: Aerospace and defense industry services provider AAR Corp., said Tuesday (7/14/2009) that its 4th quarter profit declined from 2008, hurt by lower demand for the company's products and services amid the difficult economic...
read more",2009-08-06,0
ABB,ABB,Raleigh center,"Is the research center at Raleigh,NC, Affected at all",2019-03-16,0
ABB,ABB,"2019 Hiring Freeze following announcement of ""largest restructure since 1988""","By now we all know they announced a huge restructure and the sale of Power Grids right before Christmas. Now they have a company-wide hiring freeze. In my location I've already seen several people who quit in the last few months not get replaced, and...
read more",2019-02-08,3
ABB,ABB,Industrial Solutions CEO Pushed Out,"On Friday it was announced that the CEO of Industrial Solutions which was purchased from GE in July 2018 has been pushed out along with almost all of her direct reports. ABB leadership is trying to accelerate the integration and dismantling of a once...
read more",2019-01-22,4
ABB,ABB,Become a useless,It never has a employee value... Such a harassing management,2018-12-22,0
ABB,ABB,Run! Poor management and unrealistic expectation.,"This is a very stressful company to work for. Do not jeopardize your health in order to work for them. They overload their employees because they fail to replace employees who have left. Their position/workload is then divided amongst those that...
read more",2018-12-18,1
ABB,ABB,Run,"This is a very stressful company to work for. Do not jeopardize your health in order to work for them. They overload their employees because they fail to replace employees who have left. Their position/workload is then divided amongst those that...
read more",2018-12-18,3
ABB,ABB,ABB confirms talks with Hitachi on power grids business,"(Reuters) - ABB (ABBN.S) is in talks with Japan’sh--achi (6501.T) about the Swiss engineering group’s (ABBN.S) power grid business, which it may sell to focus on more profitable divisions. ABB has been in talks with Hitachi, Mitsubishi Electric Corp...
read more",2018-12-12,0
ABB,ABB,Mgmt is solid,ABB is a well managed company,2018-10-30,1
ABB,ABB,ABB Layoffs 2019,Share any updates you may have about ABB Layoffs in 2019 or beyond?,2018-10-30,1
ABB,ABB,Impact of sale of Power Grids,Any thoughts on if the sale of Power Grids will result in layoffs?,2018-08-28,4
ABB,ABB,Bad leadership,"A successful company requires excellent leadership. Bad leadership drives the best away and demoralises those that remain. Steer clear of ABB they are on a path of failure with leadership full of pension hungry dead wood and leftover trash from other...
read more",2018-06-15,1
ABB,ABB,LAYOFFS AT ABB ALAMO?!,"So I heard there were recent layoffs at ABB Alamo, is this true?! What is going on with ABB!",2018-05-04,0
ABB,ABB,Any News on ABB Buying GE Industrial Solutions?,Does anyone have any news or progress on ABB Buying GE's Industrial Solutions business. Last updates were several months ago.,2018-02-27,0
ABB,ABB,Constant Pressure And Layoffs,Since Ventyx to ABB the constant pressure for meeting unrealistic goals with no direction from management and the constant layoffs every year makes this company a terrible place to work. Good people have already left. Stay away.,2018-02-14,1
ABB,ABB,All around lack of good leadership,"There is such a distinct lack of leadership qualities in some of the ABB management that I sometimes wonder how they got into the position. Some of the decisions they make are absolutely ridiculous and actually hindered productivity. In the end, we...
read more",2017-12-29,2
ABB,ABB,Get out while you can!,"ABB is a company that will literally drive you into the ground. Teamwork is nonexistent and with little to no training you are left to fend on your own while management berates your every move. The long hours that are put in are not worth any...
read more",2017-12-26,2
ABB,ABB,Dec. 2017. Layoffs in Sugar Land office,"Several people cut today(Dec 12, 2017), including some long time managers.",2017-12-12,0
ABB,ABB,ABB Layoffs 2018,"Is this really happening, hearing many rumors about layoffs in Zurich.",2017-10-15,1
ABB,ABB,ABB Acquired GE Industrial Solutions (Sept 2017),"GE Industrial Solutions were acquired today for about two billion USD. The group had layoffs before but now folks are hoping that layoffs will slow down until ABB stabilizes things. We knew we were for sale so this was not a huge surprise for anyone...
read more",2017-09-25,1
ABB,ABB,ABB Layoffs 2017,"My head is spinning right now as I heard the same rumor from two folks, both told me that we may have layoffs in Zurich.",2016-11-22,1
ABB,ABB,Power business,Is ABB getting rid of its power business. Any news ?,2016-01-11,1
ABB,ABB,Great culture Hogan created is currently being destroyed with micromanagement and intimidation,Good people are leaving and no one has hope,2015-08-16,1
ABB,ABB,Tough times ahead,"New CEO set ridiculous targets for 2014, only 5 of 24 business units made their budgets. Now hiring freeze and layoffs in many businesses, and continued 'footprint' shifts to emerging markets. Lowest scorecard bonus in 10 years and no pay raises at...
read more",2015-03-19,4
ABB,ABB,"2015 Layoffs at Oil, Gas and Petrochemical Business Unit","We will be letting a few hundred people go in our Oil, Gas and Petrochemical Business Unit",2015-01-21,1
ABB,ABB,Updates,Any plans for cuts in 2014? ABB is doing not so good...,2013-12-31,1
ABB,ABB,ABB is goind down the drains - the culture of fear is spreading - most good folks i know are gone,ABB is goind down the drains - the culture of fear is spreading - most good folks i know are gone,2012-12-03,1
ABB,ABB,The Swiss guru\'s now have a novel play: guess what? We\'ll cut costs? And guess what after that? We\'ll acquire? And what\'s also the mantra...,"The Swiss guru\'s now have a novel play: guess what? We\'ll cut costs? And guess what after that? We\'ll acquire? And what\'s also the mantra of the day? Renewable energy! OK, we\'ll do this as well. I mean come on, how likely is it for this plan to...
read more",2009-12-02,0
ABM Industries Inc.,ABM,ABM Industries is extremely unorganized,"ABM Industries is extremely unorganized, I've noticed romantic relationships between employees and management, and this results in favoritism. How they pick team leads is bad some can't drive or paying no attention to what is going on the plane...
read more",2018-11-03,0
ABM Industries Inc.,ABM,Lukewarm,ABM is just OK. Nothing more to add. Hope no cuts.,2018-10-30,0
ABM Industries Inc.,ABM,ABM Layoffs 2019,Share any updates you may have about ABM Layoffs in 2019 or beyond?,2018-10-30,0
ABM Industries Inc.,ABM,800 Laid off at Newark Liberty International Airport,"The WARN notices have been sent to ABM employees, about 800 will be laid off. United won the recontracting talks and will get about 2/3 of all work - ABM will keep some work - many people who work for ABM today will be hired by United, but let's see...
read more",2018-09-11,1
ABM Industries Inc.,ABM,Major layoffs at ABM Aviation,"A company that provides wheelchair escorts and other services for passengers at Dallas-Fort Worth Airport has given notice that it plans to lay off about 600 employees by mid-October...
read more",2018-08-28,0
ABM Industries Inc.,ABM,ABM Layoffs 2017,"I need to ask you a few things - are there going to be layoffs, who will be affected, if yes where and when will cuts take place. How about NYC.",2016-11-22,1
ABM Industries Inc.,ABM,Constant Downsizing at ABM,"I was with ABM but I got let go due to my position being eliminated, simple as that. Morale at ABM is VERY low because everyone knows that more layoffs are coming, but people are not sure who will be eliminated next. Overall, I loved working at ABM...
read more",2014-01-15,1
ABN AMRO Holding N.V.,ABN,lol,lol,2016-04-19,0
ABN AMRO Holding N.V.,ABN,Banks Are Aggressively Managing Payroll,"Headcount issues are present with all banks, not only ABN. We would like some improvement, but things happen so slowly. I have been with ABN AMRO for about 8 years, and I've seen ups and downs. Hang in there",2014-05-24,0
ABX Holding Inc.,ABXA,Severance Pay and Layoffs,"If I am laid off by ABX due to something else aside from my performance, do I have right to receive severance pay.",2014-05-24,1
ACADIA Pharmaceuticals Inc.,ACAD,Pharma Cos. are taking big hits now (May 2014),"Acadia is in trouble too, the sock values are falling and more and more sales folks are getting pink slips",2014-05-24,0
ACCO Brands Corp.,ACCO,2019 Layoffs,Anyone knows more? Details?,2018-11-21,0
ACCO Brands Corp.,ACCO,ACCO Brands closing facility in Pleasant Prairie,"ACCO Brands will close its facility in Pleasant Prairie, and lay off all the employees there. I think the number is somewhere around 60, but I'm not positive. People have another two moths approximately to find other employment before the first...
read more",2018-08-30,0
ACCO Brands Corp.,ACCO,Layoffs in 2015 at Acco,Do we have any indication if 2015 will be better than 2014? Any layoffs? Reorg? What do you know?,2015-02-19,2
ACCO Brands Corp.,ACCO,Downsizing and 2014 Developments,"I am waiting to see what's going to happen here - 2013 had its challenges but 2014 will test acco to the limit. Cannot predict anything, but Jan could have been better.",2014-01-28,1
ACCO Brands Corp.,ACCO,acco brands discussion board,"still no news, i've checked many boards. i used to be with acco so i do not have additional info here.",2014-01-08,0
ACCO Brands Corp.,ACCO,it is happening,more to come q1 2014,2013-12-17,0
ACCO Brands Corp.,ACCO,Acco is laying folks off - early 2013,Acco is laying folks off - early 2013,2013-01-21,0
ACE Ltd.,ACE,ACE Layoffs 2019,Thoughts? Any ACE Layoffs in 2019?,2018-10-30,0
ACE Ltd.,ACE,ACE Layoffs 2018,My husband is working for the company and he's very concerned that job cuts might be coming and that he may lose his job. He works in Zurich.,2017-10-15,0
ACE Ltd.,ACE,ACE Layoffs 2017,I want to let you know that people are anxious as they expect layoffs in corporate in Zurich.,2016-11-23,0
ACE Ltd.,ACE,Good times are over,"If you are with ACE Insurance, get ready, good times are over and now it's time for us to downsize, this happens at ACE pretty much cyclically and do not be surprised if up to 5% of people is cut very soon.",2014-01-06,1
ACI Worldwide Inc.,ACIW,They starting again,At least one of my friend in AOD security was fired today in Munich.,2018-10-31,1
ACI Worldwide Inc.,ACIW,Another quarterly loss,"Lower revs YoY, bigger loss than expected at 14 cents a share, all signs point to an imminent layoff. Any more news? How does head of sales keep her job?",2018-08-02,2
ACI Worldwide Inc.,ACIW,AT least 80 to be laid off by ACI?,"Your CHRO is sending out emails asking staffing vendors to help find jobs for about 80 employees who will be caught in the RIF. And hired an outplacement consultant as well. I'd say it's on. Is this reliable information? Anybody here know anything...
read more",2018-07-23,2
ACI Worldwide Inc.,ACIW,When will Phil retire?!?!?!?,"He has failed lie detector tests, lost a lawsuit and lost an appeal. Any rumours out there?",2018-07-14,2
ACI Worldwide Inc.,ACIW,Another layoff coming with reorg,Another reorg is coming soon and with it more layoffs. Expect Omaha and Waltham to be hit hard as well as any remaining teleworkers.,2018-07-12,3
ACI Worldwide Inc.,ACIW,ACI Layoff 2017 JAN - 40 ppl laid off on 18th Jan 2016,"Bangalore 25 , Pune 18, Rest in US got laid off in ACI on 18th Jan. ACI also laid on 18th Dec ,18th Nov and 18th Oct 2016 employees mostly from QE, AOD, and Managers, and DEV. Worst company to work for. Never ever join this company . To save them...
read more",2017-01-19,7
