company_name,link,ticker
A Common Thread,https://www.thelayoff.com//a-common-thread,
A Place for Mom,https://www.thelayoff.com//a-place-for-mom,
A&P - The Great Atlantic & Pacific Tea Company,https://www.thelayoff.com//a-and-p,
A+ Mortgage Services,https://www.thelayoff.com//a-plus--mortgage-services,
A-1 Hospitality Products,https://www.thelayoff.com//a-1-hospitality-products,
A-C Central CUSD 262,https://www.thelayoff.com//a-c-central-cusd-262-school-district,
A-Mark Precious Metals Inc.,https://www.thelayoff.com//a-mark-precious-metals,AMRK
A-T Solutions,https://www.thelayoff.com//a-t-solutions,
A. H. Belo Corporation,https://www.thelayoff.com//a-h-belo-series-a,AHC
A. Schulman Inc.,https://www.thelayoff.com//a-schulman,SHLM
A.B. Data,https://www.thelayoff.com//ab-data,
A.C. Moore Arts & Crafts Inc.,https://www.thelayoff.com//a-c-moore-arts-and-crafts,ACMR
A.C.G.C. Public School District,https://www.thelayoff.com//a-c-g-c-public-school-district,
A.F.P. Provida S.A.,https://www.thelayoff.com//a-f-p-provida,PVD
A.M. Castle & Co.,https://www.thelayoff.com//a-m-castle-and,CAS
A.M.E.'s Uniforms,https://www.thelayoff.com//ames-uniforms,
A.O. Smith Corp.,https://www.thelayoff.com//a-o-smith,AOS
A.S.V. Inc.,https://www.thelayoff.com//a-s-v,ASVI
A.T. Cross Co.,https://www.thelayoff.com//a-t-cross,ATX
A10 Networks Inc.,https://www.thelayoff.com//a10-networks,ATEN
A1Express Delivery Service,https://www.thelayoff.com//a1express-delivery-service,
AAC Holdings,https://www.thelayoff.com//aac-holdings,AAC
AAON Inc.,https://www.thelayoff.com//aaon,AAON
AAR Corp.,https://www.thelayoff.com//aar,AIR
ABB,https://www.thelayoff.com//abb,ABB
ABB Concise,https://www.thelayoff.com//abb-concise,
ABC Supply,https://www.thelayoff.com//abc-supply,
ABC Television Group,https://www.thelayoff.com//abc-tv,
ABC Unified School District,https://www.thelayoff.com//abc-unified-school-district,
ABEC Electric Company,https://www.thelayoff.com//abec-electric-company,
ABM Industries Inc.,https://www.thelayoff.com//abm-industries,ABM
ABN AMRO Holding N.V.,https://www.thelayoff.com//abn-amro-holding,ABN
ABS Technology Architects,https://www.thelayoff.com//abs-technology-architects,
ABX Holding Inc.,https://www.thelayoff.com//abx-holding,ABXA
AC Direct,https://www.thelayoff.com//ac-direct,
AC Immune S.A.,https://www.thelayoff.com//ac-immune-sa,ACIU
AC Lordi Consulting/Peopleflex Accounting Pro,https://www.thelayoff.com//lordi-peopleflex,
ACADIA Pharmaceuticals Inc.,https://www.thelayoff.com//acadia-pharmaceuticals,ACAD
ACCO Brands Corp.,https://www.thelayoff.com//acco-brands,ACCO
ACE Ltd.,https://www.thelayoff.com//ace,ACE
ACFN Franchised,https://www.thelayoff.com//acfn-franchised,
ACH Direct,https://www.thelayoff.com//ach-direct,
ACI Estate,https://www.thelayoff.com//aci-estate,
ACI Worldwide Inc.,https://www.thelayoff.com//aci-worldwide,ACIW
ACICS,https://www.thelayoff.com//acics,
ACME Communications Inc.,https://www.thelayoff.com//acme-communications,ACME
ACMH Hospital,https://www.thelayoff.com//acmh-hospital,
ACNB Corp.,https://www.thelayoff.com//acnb,ACNB
ACRE Realty Investors Inc.,https://www.thelayoff.com//acre-realty-investors,AIII
ACS,https://www.thelayoff.com//affiliated-computer-services,ACS
ACS Motion Control Ltd.,https://www.thelayoff.com//acs-motion-control,ACSEF
ACT,https://www.thelayoff.com//act,
ACULIS,https://www.thelayoff.com//aculis,
ADA-ES Inc.,https://www.thelayoff.com//ada-es,ADES
ADAM Inc.,https://www.thelayoff.com//adam,ADAM
ADC Telecommunications Inc.,https://www.thelayoff.com//adc-telecommunications,ADCT
ADDvantage Technologies Group Inc.,https://www.thelayoff.com//addvantage-technologies-group,AEY
"ADF Group, Inc.",https://www.thelayoff.com//adf-group,DRX
ADM,https://www.thelayoff.com//archer-daniels-midland,ADM
ADMA Biologics Inc.,https://www.thelayoff.com//adma-biologics,ADMA
ADP,https://www.thelayoff.com//automatic-data-processing,ADP
ADR Services International,https://www.thelayoff.com//adr-services-international,
ADT Corp.,https://www.thelayoff.com//adt,ADT
ADVENTRX Pharmaceuticals Inc.,https://www.thelayoff.com//adventrx-pharmaceuticals,ANX
AECOM Technology Corp.,https://www.thelayoff.com//aecom-technology,ACM
AEE Solar,https://www.thelayoff.com//aee-solar,
AEP Energy,https://www.thelayoff.com//aep-energy,NA
AEP Industries Inc.,https://www.thelayoff.com//aep-industries,AEPI
AES Corp.,https://www.thelayoff.com//aes,AES
AEterna Zentaris Inc.,https://www.thelayoff.com//aeterna-zentaris,AEZS
AFC Enterprises Inc.,https://www.thelayoff.com//afc-enterprises,AFCE
AFLAC,https://www.thelayoff.com//aflac,AFL
AFMS,https://www.thelayoff.com//afms,
AG Spanos Cos,https://www.thelayoff.com//ag-spanos,
AGCO Corp.,https://www.thelayoff.com//agco,AGCO
AGL Resources Inc.,https://www.thelayoff.com//agl-resources,ATG
AGN Enterprises,https://www.thelayoff.com//agn-enterprises,
AGRIA Corp.,https://www.thelayoff.com//agria,GRO
AIG (American Intl Group Inc.),https://www.thelayoff.com//american-intl-group,AIG
AIR Marketing,https://www.thelayoff.com//air-marketing,
AIReS,https://www.thelayoff.com//aires,
AIT,https://www.thelayoff.com//applied-industrial-technologies,AIT
AIT Laboratories,https://www.thelayoff.com//ait-laboratories,
AK Steel Holding Corp.,https://www.thelayoff.com//ak-steel-holding,AKS
AKER ASA,https://www.thelayoff.com//aker,FRA:FKM
AKQA,https://www.thelayoff.com//akqa,
ALDA Pharmaceuticals Corp,https://www.thelayoff.com//alda-pharmaceuticals-corp,APH
ALDI,https://www.thelayoff.com//aldi,
ALaS Consulting,https://www.thelayoff.com//alas-consulting,
AMAG Pharmaceuticals Inc.,https://www.thelayoff.com//amag-pharmaceuticals,AMAG
AMB Property Corp.,https://www.thelayoff.com//amb-property,AMB
AMC Entertainment,https://www.thelayoff.com//amc-entertainment,
AMC Networks Inc.,https://www.thelayoff.com//amc-networks,AMCX
AMCOL Intl Corp.,https://www.thelayoff.com//amcol-intl,ACO
