company,ticker,title,body,date,replies
B Communications Ltd.,BCOM,B Communications Layoffs 2019,Will there be any B Communications Layoffs in 2019?,2018-10-30,0
B Communications Ltd.,BCOM,B Communications Layoffs 2018,Who is to blame now - things can be better but people are talking about job cuts for people located in Israel.,2017-10-15,0
B Communications Ltd.,BCOM,B Communications Layoffs 2017,"Rumors are flying around, rumors sometimes can be true especially when they are talking about layoffs in Israel.",2016-11-23,0
B Communications Ltd.,BCOM,"B Comm is a good company, but small - pay TV is getting smaller","We'll see what happens in 2016, B Comm might gave some problems, but you will not know that before the end of the year",2016-03-01,0
BAE Systems,BA,BAE Systems closing Mobile shipyard,"More bad news from BAE, so it must be a day that ends with a y. The BAE Systems shipyard in Mobile will soon close down. Spokesperson Karl Johnson said the company is ending ship repair operations in the Port City in June. The shutdown will affect...
read more",2018-03-01,0
BAE Systems,BA,BAE Systems layoffs March 2018,"Nearly 150 people are being laid off by BAE Systems in the US. Their final day will be March 20. I guess after the big UK layoffs it was US' turn. it would have been too good to be true if we'd have managed to stay unaffected for once...
read more",2018-02-08,0
BAE Systems,BA,"Big layoffs incoming at BAE Systems - over 1,000 to lose jobs in UK","It's no longer just a rumor - more than 1,000 jobs are being cut in the UK. From the article: Sky News has learnt that BAE will announce that many of the job cuts will affect its Warton plant in Preston, Lancashire, with the company's new chief...
read more",2017-10-09,0
BAE Systems,BA,"Another reorganization, another set of layoffs","Can we stop with constant reorganizations? Everybody and their mother know that these are simply excuses to reduce the workforce even further. I actually like working here, I have decent benefits and pay, and the people around me are all great. I'd...
read more",2017-07-17,0
BAE Systems,BA,BAE Systems’ management issue,"I have never worked in a company that had bigger discrepancy between competent workers and incompetent management. It’s the employees who are being laid off who are actually carrying BAE Systems, the management on all levels lacks in both knowledge...
read more",2017-07-14,0
BAE Systems,BA,BAE Systems picks up SOCOM contract,"This is good news for the company. Especially after France and Germany decided to forego BAE for its incoming next generation fighter jet, causing some worry in the UK...
read more",2017-07-14,0
BAE Systems,BA,We know who will not get the boot,"BAE Systems is bursting with nepotism. You have talented people worrying about being laid off when subpar employees can just laugh it off because their husband/wife/family member/friend has their back. Those same people have been hired in the first...
read more",2017-07-14,0
BAE Systems,BA,San Diego Layoffs (BAE) - July 2017,"There is about 2000 people working in SD - this is a shipyard. About 300 will be laid off by BAE. More job cuts to come. Proof? See it here...
read more",2017-07-13,0
BAE Systems,BA,"On 300 Laid off / Mason, Whidbey Island, Nitze","Navy Statement Below: In anticipation of a FY17 budget, the Navy issued request for proposals for the three Norfolk avails (Mason, Whidbey Island, Nitze) on April 1, 8, and 22, respectively. See the full thing here:...
read more",2017-05-21,1
BAE Systems,BA,NORFOLK LAYOFFS ARE IN DANGER AGAIN - MARCH 2016,"400 were let go in Nov / Dec 2015 but now we will have 2016 cuts in March - it's the third wave in 3 months - this will be really bad and people are getting more and more upset and anxious. This is mostly due to cuts that Navy is doing and they are...
read more",2016-01-13,0
BAE Systems,BA,160 Laid off in Norfolk,"Now, this is a pattern for BAE - http://www.dailypress.com/business/newport-news-shipyard/dp-nws-bae-layoffs-20151216-story.html",2015-12-18,1
BASF,FWB:BAS,50 Laid off by BASF in Charlotte (November 2018),You can see all the details here: https://www.charlotteobserver.com/news/business/article221536585.html,2018-11-13,1
BB&T Corp.,BBT,post-merger RIFs,"Post merger RIFs with --branch consolidations, --metrics based operations consolidation, --operations low-cost-shoring Thousands!",2019-03-04,0
BB&T Corp.,BBT,"Nothing personal, just tough business","We at BB&T understand that employees are replaceable. Nothing personal, rather tough business. We are doing what is best for shareholders. Shareholders confidence in executive managements decision to make Premier Financial Institution the best of the...
read more",2019-02-26,5
BB&T Corp.,BBT,Wilson NC Layoff Question,"I’m a real estate investor in the Wilson market. BB&T has 2,200 employees in Wilson NC. The new 35mm building they are constructing to consolidate operations will house 650 people. Assuming the 6 branches in Wilson County make up about 100 employees...
read more",2019-02-22,3
BB&T Corp.,BBT,We need different kind of layoff for older employees,"Very true. Too bad nothing like this will actually happen. In a nation with almost 37 million workers over the age of 55, the quandary of SunTrust-BB&T workforce will become increasingly familiar across the U.S. economy...
read more",2019-02-13,1
BB&T Corp.,BBT,This will be brutal,"We can expect to see so many more layoffs once the merger is completed. Not only consolidation layoffs (which in themselves will be huge,) but this will give both banks a perfect opportunity to get rid of whomever they want without too much bad press...
read more",2019-02-13,2
BB&T Corp.,BBT,Thoughts on new name?,All hail SunKing...Premier? What do you think?,2019-02-12,4
BB&T Corp.,BBT,BBT Merger with Sutrust,How do you all feel about the merger?,2019-02-07,5
BB&T Corp.,BBT,BB&T Hires Boston Consulting Group,Finish the sentence...,2019-01-29,3
BB&T Corp.,BBT,When is round 3 and 4?,Does anyone know when round 3 and 4 of the layoffs are happening? Being told it will all finish by end of February.,2019-01-28,1
BB&T Corp.,BBT,Why the secrecy?,"The little media coverage I find of the layoffs at BB&T have no details because the company is declining to say how many people were laid off. Why? What is the point of secrecy? Here's the latest example:...
read more",2019-01-28,3
BB&T Corp.,BBT,"Cost cuts don’t produce growth, but hard-working employees do","I know that layoffs are the easiest way to cut costs an artificially produce better numbers without any organic growth. But if you look at the larger picture this is the ultimate way to bring the company down. They will be left with an understaffed...
read more",2019-01-25,0
BB&T Corp.,BBT,Overworked and understaffed,"I’m not sure what’s the point of the latest layoffs, considering we are already severely understaffed. Instead of hiring, the bank keeps laying off. Even our clients are complaining. How is that good for business? If at least they laid off people who...
read more",2019-01-25,0
BB&T Corp.,BBT,How is it determined who gets cut?,"Who is responsible for the decision making on who will get laid off at BB&T? I'm trying to figure out why do we keep losing some of our best workers. What kind of manager looks at the list of names and doesn't take into account something like that?...
read more",2019-01-24,2
BB&T Corp.,BBT,Maybe we shouldn't wait and it’s time to consider other options.,"Seems that we forget all the things that are wrong at this company when the threat of being laid off becomes more realistic and that we just want to keep our jobs. I get that's a natural reaction, given that people’s lives are at stake, but maybe we...
read more",2019-01-23,5
BB&T Corp.,BBT,BB&T has changed so much in the past several years,"This was a good company once that appreciated its employees and treated us well. Those days are long gone now. Today, we are all about profits for shareholders and nothing else. Anything and anybody will become a victim of the never-ending race for...
read more",2019-01-23,1
