company_name,link,ticker
B & B Builders,https://www.thelayoff.com//b-and-b-builders,
B & W Pipe,https://www.thelayoff.com//b-and-w-pipe,
B Communications Ltd.,https://www.thelayoff.com//b-communications,BCOM
B&G Foods Inc.,https://www.thelayoff.com//b-and-g-foods,BGS
B&H Ocean Carriers Ltd.,https://www.thelayoff.com//b-and-h-ocean-carriers,BHO
B&W Trailer Hitches,https://www.thelayoff.com//b-and-w-trailer-hitches,
B.O.S. Better Online Solutions Ltd.,https://www.thelayoff.com//b-o-s-better-online-solutions,BOSC
B2Gold Corp.,https://www.thelayoff.com//b2gold,BTG
BAE Systems,https://www.thelayoff.com//bae-systems,BA
BAI,https://www.thelayoff.com//bai,
BASF,https://www.thelayoff.com//basf,FWB:BAS
BB&T Corp.,https://www.thelayoff.com//bb-and-t,BBT
BBCN Bancorp Inc.,https://www.thelayoff.com//bbcn-bancorp,BBCN
BBDO,https://www.thelayoff.com//bbdo,
BBH,https://www.thelayoff.com//bbh,
BBH Solutions,https://www.thelayoff.com//bbh-solutions,
BBJ Remodelers,https://www.thelayoff.com//bbj-remodelers,
BBS Technologies,https://www.thelayoff.com//bbs-technologies,
BBVA,https://www.thelayoff.com//banco-bilbao-vizcaya-argentaria,BBVA
BBVA Banco Frances S.A.,https://www.thelayoff.com//bbva-banco-frances,BFR
BC Tool and Carbide,https://www.thelayoff.com//bc-tool-and-carbide,
BCB Bancorp Inc.,https://www.thelayoff.com//bcb-bancorp,BCBP
BCE Inc.,https://www.thelayoff.com//bce,BCE
BCIMC ,https://www.thelayoff.com//bcimc,
BCSB Bankcorp,https://www.thelayoff.com//bcsb-bankcorp,BCSB
BD (Becton Dickinson & Co.),https://www.thelayoff.com//becton-dickinson-and,BDX
BDA,https://www.thelayoff.com//bda,
BDC / Business Development Bank of Canada,https://www.thelayoff.com//bdc-/-business-development-bank-of-canada,
BDCA Venture Inc.,https://www.thelayoff.com//bdca-venture,BDCV
BE Aerospace Inc.,https://www.thelayoff.com//be-aerospace,BEAV
BEA Systems Inc.,https://www.thelayoff.com//bea-systems,BEAS
BEC Electric,https://www.thelayoff.com//bec-electric,
BELLUS Health Inc,https://www.thelayoff.com//bellus-health,BLU
BEST,https://www.thelayoff.com//best,
BEST ADR,https://www.thelayoff.com//best-adr,BSTI
BG Group,https://www.thelayoff.com//bg-group,BG
BG Medicine Inc.,https://www.thelayoff.com//bg-medicine,BGMD
BG Staffing Inc.,https://www.thelayoff.com//bg-staffing,BGSF
BGC Partners Inc.,https://www.thelayoff.com//bgc-partners,BGCP
BHP Billiton Ltd. ADS,https://www.thelayoff.com//bhp-billiton,BHP
BHP Billiton PLC,https://www.thelayoff.com//bhp-billiton-plc,BBL
BIAS Corp.,https://www.thelayoff.com//bias-corp,
BIGresearch,https://www.thelayoff.com//bigresearch,
BIND Therapeutics Inc.,https://www.thelayoff.com//bind-therapeutics,BIND
BIW,https://www.thelayoff.com//biw,BIW
BJ Services Co.,https://www.thelayoff.com//bj-services,BJS
BJ's Restaurants Inc.,https://www.thelayoff.com//bj-s-restaurants,BJRI
BJ's Wholesale Club Inc.,https://www.thelayoff.com//bj-s-wholesale-club,BJ
BK Technologies,https://www.thelayoff.com//bk-technologies,BKTI
BLC Consulting Group,https://www.thelayoff.com//blc-consulting,
BLYTH Inc.,https://www.thelayoff.com//blyth,BTH
BMB Munai Inc.,https://www.thelayoff.com//bmb-munai,KAZ
BMC Software Inc.,https://www.thelayoff.com//bmc-software,BMC
BMW,https://www.thelayoff.com//bmw,FWB:BMW
BNC Bancorp,https://www.thelayoff.com//bnc-bancorp,BNCN
BNCCORP Inc.,https://www.thelayoff.com//bnccorp,BNCC
BNSF Railway,https://www.thelayoff.com//bnsf,
BOC International,https://www.thelayoff.com//boc-international,
BOE Financial Services of Virginia Inc.,https://www.thelayoff.com//boe-financial-services-of-virginia,BSXT
BOK Financial Corp.,https://www.thelayoff.com//bok-financial,BOKF
BP PLC,https://www.thelayoff.com//bp-plc,BP
BP Prudhoe Bay Royalty Trust,https://www.thelayoff.com//bp-prudhoe-bay-royalty-trust,BPT
