company,ticker,title,body,date,replies
ACE-Chubb (Chubb Corp.),CB,Chubb Layoffs 2019,What's your prediction as it relates to the possibility of Chubb Layoffs in 2019?,2018-10-30,2
ACE-Chubb (Chubb Corp.),CB,Chubb Layoffs 2018,This is going to be a short note - I heard there will be layoffs in our corporate office in Warren.,2017-10-15,0
ACE-Chubb (Chubb Corp.),CB,When does the next round of dead removal start?,no body text,2017-09-20,1
ACE-Chubb (Chubb Corp.),CB,Chubb Salem Shutdown,"Chubb Limited to close Salem, VA site as of 6/30. As of that date, most of remaining IT employees who had not received prior termination dates, will be laid off. Only approximately 9 IT employees remaining to work remotely or move to NJ. From...
read more",2017-05-01,3
ACE-Chubb (Chubb Corp.),CB,Chubb employees who coasted for years deserved exactly what they got!,"I was a consultant at Chubb in 2015-part of 2016. I was stunned at how many employees basically did nothing and had immensely inflated jobs. They filled their days up with useless meetings to show how busy they were, thought they were entitled and...
read more",2017-02-21,7
ACE-Chubb (Chubb Corp.),CB,Chubb Layoffs 2017,"You can never tell if layoffs are masterminded and completely planned, but if HR has too many meetings with closed doors you got to be freaked out. I am in Warren.",2016-11-23,7
ACE-Chubb (Chubb Corp.),CB,Chubb cuts retirement health insurance,"True to Greenberg's insatiable quest to put more money in his pocket, Chubb has announced it will phase out the Chubb retiree health plan by 2026, This was one of the benefits that Henry Harder made sure was available to dedicated Chubb long term...
read more",2016-11-22,11
ACE-Chubb (Chubb Corp.),CB,Salem Office Job Cuts,http://www.roanoke.com/news/local/layoffs-announced-at-salem-office-of-global-insurer/article_73e485b1-793a-5517-b9be-e9518a2583a0.html,2016-10-13,1
ACE-Chubb (Chubb Corp.),CB,Greenberg and Chubb's board,"Chubb was very loyal and decent to its employees. I know I worked there for over 30 years. That all ended when Dean O'Hare left. He was the last vestige of integrity the company had. When Finnigan took over the strategy was set with Chubb's board...
read more",2016-07-26,4
ACE-Chubb (Chubb Corp.),CB,No longer the place to be and not the place it once was,"Job cuts have been ongoing since March and continue to happen throughout the summer and fall. Rumor has it that if you are let go in 2017 the package is 4 weeks pay regardless of years of service. So I guess these folks are lucky because now they get...
read more",2016-07-18,6
