company_name,link,ticker
ACE-Chubb (Chubb Corp.),https://www.thelayoff.com//chubb,CB
Bard,https://www.thelayoff.com//c-r-bard,BCR
C & Z Enterprises,https://www.thelayoff.com//c-and-z-enterprises,
C A Bancorp Inc.,https://www.thelayoff.com//c-a-bancorp,BKP
C A Beard Memorial School Corporation,https://www.thelayoff.com//c-a-beard-memorial-school-corp-school-district,
C&C Energia Ltd.,https://www.thelayoff.com//c-and-c-energia,CZE
C&D Technologies Inc.,https://www.thelayoff.com//c-and-d-technologies,CHP
C&F Financial Corp.,https://www.thelayoff.com//c-and-f-financial,CFFI
C&J Energy Services Ltd.,https://www.thelayoff.com//c-and-j-energy-services,CJES
C&S Wholesale Grocers,https://www.thelayoff.com//c-and-s-wholesale-grocers,
C. Coakley Relocation Systems,https://www.thelayoff.com//c-coakley-relocation-systems,
C.H. Robinson Worldwide Inc.,https://www.thelayoff.com//c-h-robinson-worldwide,CHRW
C.L. Carson,https://www.thelayoff.com//cl-carson,
C.O. Boyer Metal,https://www.thelayoff.com//co-boyer-metal,
C2 Education,https://www.thelayoff.com//c2-education,
CA Technologies (CA Inc.),https://www.thelayoff.com//ca,CA
CACI International Inc.,https://www.thelayoff.com//caci-international,CACI
"CAE, Inc.",https://www.thelayoff.com//cae,CAE
CAI International Inc.,https://www.thelayoff.com//cai-international,CAP
CAM Commerce Solutions Inc.,https://www.thelayoff.com//cam-commerce-solutions,CADA
CAPINC,https://www.thelayoff.com//capinc,
CAS Medical Systems Inc.,https://www.thelayoff.com//cas-medical-systems,CASM
CASI Pharmaceuticals Inc.,https://www.thelayoff.com//casi-pharmaceuticals,CASI
CAZA OIL,https://www.thelayoff.com//caza-oil,CAZ
CB Financial Services Inc.,https://www.thelayoff.com//cb-financial-services,CBFV
CB Pharma Acquisition Corp.,https://www.thelayoff.com//cb-pharma-acquisition,CNLM
CB Richard Ellis/Louisville,https://www.thelayoff.com//cb-richard-ellis-louisville,
CBD Energy Ltd.,https://www.thelayoff.com//cbd-energy,CBDE
CBIZ Inc,https://www.thelayoff.com//cbiz-inc,CBZ
CBL & Associates Properties Inc.,https://www.thelayoff.com//cbl-and-associates-properties,CBL
CBOE Holdings Inc.,https://www.thelayoff.com//cboe-holdings,CBOE
CBRE,https://www.thelayoff.com//cb-richard-ellis-group,CBG
CBRL Group Inc.,https://www.thelayoff.com//cbrl-group,CBRL
CBS Corp.,https://www.thelayoff.com//cbs,CBS
CBS Radio,https://www.thelayoff.com//cbs-radio,
CBT Nuggets,https://www.thelayoff.com//cbt-nuggets,
CC Industries,https://www.thelayoff.com//cc-industries,
CCA Industries Inc.,https://www.thelayoff.com//cca-industries,CAW
CCF Holding Co.,https://www.thelayoff.com//ccf-holding,CCFH
