company,ticker,title,body,date,replies
Ahold Delhaize Group,DEG,Recommending DHG,DHG was my first job. I loved it,2018-10-30,0
Ahold Delhaize Group,DEG,Delhazie Layoffs 2019,What's your prediction as it relates to the possibility of Delhazie Layoffs in 2019?,2018-10-30,0
Ahold Delhaize Group,DEG,Food Lion Layoffs 2014,Any news here?,2014-07-22,1
Ahold Delhaize Group,DEG,Any news about Feb & Mar 2013 - I've heard a number of things conflicting each other,Any news about Feb & Mar 2013 - I've heard a number of things conflicting each other,2013-02-12,1
Ahold Delhaize Group,DEG,77 to be let go next thursday,77 to be let go next thursday,2013-02-12,0
Ahold Delhaize Group,DEG,Potential layoffs are coming to Delihaize - I heard that announcement about downsizing will take place in August and that the cuts will take...,Potential layoffs are coming to Delihaize - I heard that announcement about downsizing will take place in August and that the cuts will take place right after that.,2012-07-27,0
D.R. Horton Inc.,DHI,What happened in Oklahoma?,What happened in Oklahoma to cause the multiple terminations? Poor sales seems unlikely.,2018-05-18,0
DAG Media Inc.,DAGM,Internship,"I am looking for internship, do you guys hiring?",2013-12-05,0
DAG Media Inc.,DAGM,As we at dag are not embracing new media guess what will happen to us?,As we at dag are not embracing new media guess what will happen to us?,2009-07-24,0
DCP Midstream Partners L.P.,DPM,Dark Clouds Are Gathering Again,"Today it's all about greed for these big corporations and the lies they sell to the worker are demeaning but they don't give a damn.They don't do all the dirty work at these terminals (propane) in all sorts of nasty weather year round. Don't forget...
read more",2019-03-05,0
DCP Midstream Partners L.P.,DPM,"200 LAID OFF TODAY, TRUTH",no body text,2016-04-05,1
DCP Midstream Partners L.P.,DPM,"About 10% let go today. All employees, not just upper management got bonuses.",no body text,2016-04-05,1
DCP Midstream Partners L.P.,DPM,Just Got Laid Off,"Blood Bath today. Made it through last Jan's but not this one. Adios, Energy Industry! I am taking my ball and going home.",2016-04-04,5
DCP Midstream Partners L.P.,DPM,2016 DCP Midstream Layoff,"DCP Midstream started LayOffs March 11, 2016. Employees were told that layoffs would continue and firing would continue for some time. Management has said time and time again that there would be no more layoffs. Bonuses were awarded so upper...
read more",2016-03-12,9
DCP Midstream Partners L.P.,DPM,Layoffs in Oil Industry,"Just look at this site about layoffs in all upstream and midstream companies - there are thousands of messages on many boards here. It's crazy. WFT, SLB, HAL, BP, Shell, you name it - you will find it here. I think we will have a very difficult 2015...
read more",2015-02-01,1
DCP Midstream Partners L.P.,DPM,2015 Layoffs at DCP,"Do you know if you will be having layoffs any time soon? Also, are you hiring right now? I have 20 years of experience and I was recently let go so I am looking at any other options as many companies are having layoffs in 2015. Please let me know.",2015-01-30,2
DCT Industrial Trust Inc.,DCT,DCT Industrial Trust layoffs June 2018,"Nearly 60 employees will be laid off by DCT Industrial Trust as part of the Prologis. Those who believe it will stop at this are very naive. I am positive we'll have more consolidation layoffs in the following months...
read more",2018-06-04,0
DDR,DDR,DDR layoffs April 2018,"DDR seems to be on a roll when it comes to layoffs. Another 50 jobs will be cut, mostly at the headquarters. Frankly, I don't think anybody should consider themselves safe, whatever the location...
read more",2018-04-25,0
DDR,DDR,Why no posts here?,"We all know what's happening. Look at ""Latest Posts"" link in the main menu, 1000s of companies are having posts.",2018-04-11,1
DDi Corp.,DDIC,"Mikel Williams, President and CEO of DDi, stated ""The second quarter reflects another solid performance","Mikel Williams, President and CEO of DDi, stated ""The second quarter reflects another solid performance. Despite the continued challenging market environment, we are managing our business well - as reflected in our margins and profitability. During...
read more",2009-08-06,0
DDi Corp.,DDIC,DDi Corp,"DDi Corp. provides printed electronic circuit board engineering and manufacturing services in North America and Asia. DDi specializes in engineering and fabricating multilayer printed electronic circuit boards. The company has customers in various...
read more",2009-06-28,0
DG FastChannel Inc.,DGIT,Downsizing and Job Cuts in plans,We'll have an interesting year - 2014 will be worse than 2013 and you'd agree that 2013 sucked big time for us.,2014-02-07,0
DHX Media Ltd.,DHX,"Got acquired? Don't trust the ""no layoff"" promises","Shortly after DHX Media absorbed Nerd Corps last year, there was a lot of reassurances from mgmt that no layoffs would be happening... and then shortly after, the layoffs started. DHX is acquiring smaller media companies like crazy, it's their MO, so...
read more",2016-11-02,0
DIRECTV,DTV,Confusing Offerings,"T has a big streaming choice problem (by Business Insider) Now that AT&T has closed its Time Warner acquisition, it has a lot of streaming services to manage. It already has DirecTV Now, which has two tiers. It also has WatchTV and HBO Now. And it's...
read more",2019-03-15,1
DIRECTV,DTV,DIRECTV Layoffs 2019,Do you think there may be small/medium/large DIRECTV Layoffs in 2019?,2018-10-30,5
DIRECTV,DTV,What a mess.....,Man did DTV get dicked over by AT&T. DTV is decimated and almost worthless now.....Time Warner soon to be the next victim,2018-05-28,2
DIRECTV,DTV,DTV Latin America IPO,any latest info on the IPO for Latin America? Can't always rely on media for info.,2018-03-13,0
DIRECTV,DTV,California layoffs,"Anyone in California hear of any layoffs in 2018 for us in broadcasting, engineering or IT? Specifically in El Segundo, Long Beach & San Diego?",2018-02-08,2
DIRECTV,DTV,Any recent updates,Any recent surplus updates for Directv ET employees? Haven’t heard anything in a while so I want to be somewhat prepared since February is around the corner,2018-01-24,0
DIRECTV,DTV,Customers are NOT important,"I find that working for DirecTV is such a challenging and often NOT very rewarding job. I feel sorry for the long time customers who have given their loyalty to us. Tech Support is supposed to be there to assist with their needs especially when we...
read more",2018-01-22,1
DIRECTV,DTV,Blind promoting the blind,"We have some really inept leadership at DirecTV. There are a few who are constantly making terrible decisions and who keep promoting employees who couldn’t find their way out of a paper bag. This isn’t a popularity contest for crying out loud...
read more",2018-01-13,0
DIRECTV,DTV,"700 laid off, lots more to come","As it seems, AT&T is made of lies. Nothing new there. 700 people were just laid off from DirecTV, with more to come. So much for promises of new jobs... Timing is awful as well, two weeks before Christmas. Do these people have no soul? If you are...
read more",2017-12-20,2
DIRECTV,DTV,Confirmed layoffs February 2018,Heard of massive cuts in california including Long Beach and el segundo in February 2018. No one will be spared and no amount of company loyalty will matter . Rumors of upto 33% cuts in workforce as a result of trickle down At&t takeover cuts,2017-12-18,3
DIRECTV,DTV,DIRECTV Layoffs 2018,"I thought that we were safe (oh, well - wrong), even tough many competitors were cutting people, do you think we'll cut here in El Segundo.",2017-10-15,11
DIRECTV,DTV,"AT&T and DirecTV face thousands of complaints linked to overcharging, promotions",http://www.cbsnews.com/news/complaints-att-directv-bundled-services-directv-customers-promotions-overcharging/,2017-05-17,1
DIRECTV,DTV,Ever since at&t took over DirecTV.....,"Customer service at an all time low. Being lied too about pricing, their union employees don't want to do the work and are doing poor installations. Contractors are held to a high standard and are out performing in house installers. I've worked for...
read more",2017-02-10,2
DIRECTV,DTV,"As long as DirecTV SW VP still there, AT&T will go down with its DirecTV Now !","These bad eggs are still at the helm, especially fat Con",2017-01-18,5
DIRECTV,DTV,QP1502 Error Code,"I guess I should not be saying anything else... ""QP1502"" kind of sums it for all of us. https://twitter.com/hashtag/qp1502 #qp1502",2017-01-13,1
DIRECTV,DTV,how much does a senior principle architect and a director make as base salary at DirecTV El Sugendo office?,"Glassdoor shows Senior principle architect $155k - which seems to be pretty low. A friend who got offered as consultant (15+ years of experience) as network architect is evaluating how much salary he would make if he would get offered full time and...
read more",2016-12-24,3
DIRECTV,DTV,DIRECTV Layoffs 2017,"No layoffs, yes layoffs??? Gossip… Rumors? What's correct, there is a ton of rumors about layoffs here in El Segundo.",2016-11-23,7
DIRECTV,DTV,Phoenix DOC is Closing Dec 27th. We were just given notice today.,no body text,2016-10-28,2
DIRECTV,DTV,https://directvnow.com,It is up since last night: https://directvnow.com,2016-10-27,3
DIRECTV,DTV,Working at DIRECTV,"DIRECTV was a great place to work, integrity was number one as well employee satisfaction. Since ATT took over we have seen a need for unions, cuts in benefits and overall pay crappy shifts, layoffs and putting up with ATT flipping accounts for a...
read more",2016-10-18,4
DIRECTV,DTV,Has anyone heard of layoffs in Phoenix area?,no body text,2016-10-03,6
DIRECTV,DTV,"California Broadcast Center in Long Beach, CA","Layoffs are decimating the California Broadcast Center in Long Beach, CA. Our inept, ignorant, headhunter manager has brought in 20 years old inexperienced kids that we more experienced broadcast engineers have been forced to train. It's taking 3 of...
read more",2016-10-01,9
DIRECTV,DTV,"In short, DirecTV management ruined the company and let employees hanged to dry !","I wrote a white paper 9 years ago sounding the alarm and send to DirecTV management. I urged them to move to streaming and combining satellite delivery with streaming. They ignored my paper for they were busy milking the company to enrich themselves...
read more",2016-10-01,5
DIRECTV,DTV,"ATT has announced they will move to streaming, what will happen to us broadcasting center guys and our engineering guys?",Sounds like what they are describing there can be done with just an app on TV or tablet. Then satellite and set top can all be abandoned. Any thoughts?,2016-09-29,4
DIRECTV,DTV,some qa analyst contractors in mobility dept in elsegundo are getting paid $55 /hour plus overtime pay. They just do manual testing from 5years,"From last 5years they are working as manual QA analyst/UAT analyst , they donot do any automation as directv testing is completely manual testing. They are enjoying good pay with Manual QA Analyst/UAT analyst in elsegundo directv mobility dept. I...
read more",2016-08-30,2
DIRECTV,DTV,software developer: up to $40/hr,"$40/hr? really? hah you guys are pathetic lol: Software Developer El Segundo CA Long Term Contract (Up to 36 months) DOE, up to $40.00 Hr. We are searching for a Software Developer to work on a long term contract basis for a client of ours in El...
read more",2016-08-23,4
