company_name,link,ticker
Ahold Delhaize Group,https://www.thelayoff.com//delhaize-group,DEG
D & A Building Services,https://www.thelayoff.com//d-and-a-building-services,
D & A Mattress,https://www.thelayoff.com//d-and-a-mattress,
D C Everest Area School District,https://www.thelayoff.com//d-c-everest-area-school-district,
D C H Regional Medical Center,https://www.thelayoff.com//d-c-h-regional-medical-center,
D W Mcmillan Memorial Hospital,https://www.thelayoff.com//d-w-mcmillan-memorial-hospital,
D&E Communications Inc.,https://www.thelayoff.com//d-and-e-communications,DECC
D&H Distributing,https://www.thelayoff.com//d-and-h-distributing,
D&L Oil Tools,https://www.thelayoff.com//d-and-l-oil-tools,
D'Hanis Independent School District,https://www.thelayoff.com//d-hanis-isd-school-district,
D'Onofrio & Son,https://www.thelayoff.com//donofrio-and-son,
D'Youville College,https://www.thelayoff.com//dyouville,
D-Box Technologies Inc.,https://www.thelayoff.com//d-box-technologies,DBO
D. Foley Landscape,https://www.thelayoff.com//d-foley-landscape,
D. Honore Construction,https://www.thelayoff.com//d-honore-construction,
D.R. Horton Inc.,https://www.thelayoff.com//d-r-horton,DHI
DAG Media Inc.,https://www.thelayoff.com//dag-media,DAGM
DARA Biosciences Inc.,https://www.thelayoff.com//dara-biosciences,DARA
DARE Advertising,https://www.thelayoff.com//dare-advertising,
DAV Productions,https://www.thelayoff.com//dav-productions,
DAVIDsTEA,https://www.thelayoff.com//davidstea,DTEA
DAZ Systems,https://www.thelayoff.com//daz-systems,
DB Healthcare,https://www.thelayoff.com//db-healthcare,
DB Schenker,https://www.thelayoff.com//db-schenker,
DBV Technologies S.A. ADS,https://www.thelayoff.com//dbv-technologies,DBVT
DCAP Group Inc.,https://www.thelayoff.com//dcap-group,DCAP
DCO Distribution,https://www.thelayoff.com//dco-distribution,
DCP International,https://www.thelayoff.com//dcp-international,
DCP Midstream Partners L.P.,https://www.thelayoff.com//dcp-midstream-partners,DPM
DCT Industrial Trust Inc.,https://www.thelayoff.com//dct-industrial-trust,DCT
DDB Advertising,https://www.thelayoff.com//ddb-advertising,
DDK Technology Group,https://www.thelayoff.com//ddk-technology,
DDL,https://www.thelayoff.com//ddl,
DDR,https://www.thelayoff.com//developers-diversified-realty,DDR
DDS Companies,https://www.thelayoff.com//dds-companies,
DDS Wireless International Inc.,https://www.thelayoff.com//dds-wireless-international,DD
DDi Corp.,https://www.thelayoff.com//ddi,DDIC
DEX Imaging,https://www.thelayoff.com//dex-imaging,
DG FastChannel Inc.,https://www.thelayoff.com//dg-fastchannel,DGIT
DGSE Cos. Inc.,https://www.thelayoff.com//dgse-cos,DGSE
DHL,https://www.thelayoff.com//dhl,
DHSoft,https://www.thelayoff.com//dhsoft,
DHX Media Ltd.,https://www.thelayoff.com//dhx-media,DHX
DIRECTV,https://www.thelayoff.com//directv-group,DTV
DJB Contracting,https://www.thelayoff.com//djb-contracting,
DKW Communications,https://www.thelayoff.com//dkw-communications,
DLH Holdings Corp.,https://www.thelayoff.com//dlh-holdings,DLHC
DLR Group,https://www.thelayoff.com//dlr,
DLT & V Systems Engineering,https://www.thelayoff.com//dlt-and-v-systems-engineering,
DMC - Detroit Medical Center,https://www.thelayoff.com//dmc,
DMMI,https://www.thelayoff.com//dmmi,
DMS International,https://www.thelayoff.com//dms-international,
DMW Company,https://www.thelayoff.com//dmw-company,
DNB Financial Corp.,https://www.thelayoff.com//dnb-financial,DNBF
DPCI,https://www.thelayoff.com//dpci,
DPLOYIT,https://www.thelayoff.com//dployit,
DPR Construction,https://www.thelayoff.com//dpr-construction,
DRDGOLD Ltd. ADS,https://www.thelayoff.com//drdgold,DRD
DRI Corp.,https://www.thelayoff.com//dri,TBUS
DRS Technologies Inc.,https://www.thelayoff.com//drs-technologies,DRS
DS Healthcare Group Inc.,https://www.thelayoff.com//ds-healthcare-group,DSKX
DS3 Computing Solutions,https://www.thelayoff.com//ds3-computing-solutions,
DSA Services,https://www.thelayoff.com//dsa-services,
DSG,https://www.thelayoff.com//dsg,
DSP Clinical Research,https://www.thelayoff.com//dsp-clinical-research,
DSP Group Inc.,https://www.thelayoff.com//dsp-group,DSPG
DST Systems,https://www.thelayoff.com//dst-systems,DST
DSW Inc.,https://www.thelayoff.com//dsw,DSW
DTE Energy Co.,https://www.thelayoff.com//dte-energy,DTE
DTS Inc.,https://www.thelayoff.com//dts,DTSI
DUSA Pharmaceuticals Inc.,https://www.thelayoff.com//dusa-pharmaceuticals,DUSA
DVS Group,https://www.thelayoff.com//dvs,
DW Turner,https://www.thelayoff.com//dw-turner,
DXC Technology,https://www.thelayoff.com//dxc,DXC
DXP Enterprises Inc.,https://www.thelayoff.com//dxp-enterprises,DXPE
DYKON Computer Help Center,https://www.thelayoff.com//dykon-computer-help-center,
DaVita Inc.,https://www.thelayoff.com//davita,DVA
Dade County,https://www.thelayoff.com//dade-ga,
Dade County School District,https://www.thelayoff.com//dade-county-school-district,
"Dade County, MO",https://www.thelayoff.com//dade-mo,
Dade School District,https://www.thelayoff.com//dade-school-district,
Dadeville R-Ii School District,https://www.thelayoff.com//dadeville-r-ii-school-district,
Daegis Inc.,https://www.thelayoff.com//daegis,DAEG
Daemen College,https://www.thelayoff.com//dc,
Daggett County,https://www.thelayoff.com//daggett,
Daggett District School District,https://www.thelayoff.com//daggett-district-school-district,
