company,ticker,title,body,date,replies
Dell EMC (EMC Corp.),EMC,Is this just Virtustream?,More coming in next two quarters. Most of the employees worked from last 3-4 years are gone . Not a good place to work . Is this referring strictly to Virtustream?,2019-02-07,1
Dell EMC (EMC Corp.),EMC,More layoffs at Virtustream,"At least one entire group eliminated, in engineering this time. More coming in Feb. Last one left here, please turn the lights off.",2019-01-17,4
Dell EMC (EMC Corp.),EMC,EMC Layoffs 2019,"If the market makes a turn soon, do you think there will be EMC Layoffs in 2019?",2018-10-30,5
Dell EMC (EMC Corp.),EMC,Dell EMC takes production “in house”in Ireland,"First of all I don’t want to be taken the wrong way. I feel for the guys at Celestica, giving that a lot of jobs are in jeopardy. Although I found that taking production “in house” to be a brave move that will benefit us. We witness outsourcing in...
read more",2018-09-22,0
Dell EMC (EMC Corp.),EMC,What's the final number?,"Do we know the final number of people who were laid off this week? Was Virtustream the only one affected or were there others as well? And even more importantly, are we certain layoffs are done? Should we worry that more places will be hit in the...
read more",2018-09-19,0
Dell EMC (EMC Corp.),EMC,Layoffs to hit Virtustream 9.17,"A large round of layoffs will hit Virtustream starting on 9-17-2018. USA and EU will be hit. India was hit last week. If you notice your manager is out most of the week this week, that is because he or she is in required HR training on how to layoff...
read more",2018-09-10,1
Dell EMC (EMC Corp.),EMC,Massive layoffs coming to Virtustream,massive layoffs are going to hit Virtustream in the coming weeks. Particularly inside the Mike Evans org. Several products are being turned off as well including cloud files.,2018-07-23,7
Dell EMC (EMC Corp.),EMC,Why was this page retired?,"Was this merged into the Dell page? The link is no longer live on the title page, but this page still lives on behind the scenes.",2018-07-10,0
Dell EMC (EMC Corp.),EMC,DELL EMC Layoff 2018 continue,Our director and sales team failed to do their job. To bring new business /Clients . So they laid off half the team today in USA. Instead of us these directors and sales team should be laid-off.,2018-02-23,1
Dell EMC (EMC Corp.),EMC,EMC Layoffs 2018,Rumors here? Updates here? I want to know what executives are planning here in Hopkinton.,2017-10-15,3
Dell EMC (EMC Corp.),EMC,now it's time for the gulf region,"just heard, sales and finance will be hit in Dubai. Starting from October. And more rounds with other departments to follow till January. Even high-performers would be chopped, the list was ready they said. when will it end, and let us focus on our...
read more",2017-09-28,1
Dell EMC (EMC Corp.),EMC,Advice needed !,I'm a fresh out of college grad and have an interview call at EMC. Is it a good place to start a career in tech ?,2017-09-23,6
Dell EMC (EMC Corp.),EMC,bye bye David Goulden .. the layoffs in HOP are starting,not on the leadership page anymore- https://www.delltechnologies.com/en-us/our-leadership.htm#accordion0=0,2017-09-15,0
Dell EMC (EMC Corp.),EMC,Layoffs in HOP this week,Sorry for those who lost their jobs.,2017-08-13,2
Dell EMC (EMC Corp.),EMC,EMC PS in NJ/NY hit hard,"By 2017 our top managers were replaced by Dell Managers and as soon as they came they started firing most of PS guys in NY/NJ region , even people on active project were ask to leave which is strange as they are billable resources for company . I was...
read more",2017-07-21,1
Dell EMC (EMC Corp.),EMC,EMC is DEAD because STORAGE is DEAD,no body text,2017-07-08,6
Dell EMC (EMC Corp.),EMC,Moves,"We were told by the upper brass at Dell no buildings are being closed in Hop. Other than ones that have already been ie:80. They are planning on moving more people from different locations to Hop and closing others like they did with the training...
read more",2017-05-19,3
Dell EMC (EMC Corp.),EMC,"I would be surprised if much has changed because if it did, most of the managers would be gone","Previous experience with layoff at EMC: just about all of the people laid off who were not able to find another position or offered another position were 45+... oddly enough, young white males and some females magically got promoted and/or better...
read more",2017-05-19,6
Dell EMC (EMC Corp.),EMC,Dell EMC India layoffs,"Dell EMC in India was initially very cautious about its image because of the EMC brand value but last quarter an entire team was laid off overnight. Now it has started showing off in other BU's as well, although the meetings are happening in closed...
read more",2017-05-02,5
Dell EMC (EMC Corp.),EMC,Who got the incentive cash?,"I was lay off 3 months ago. I have not got my incentive cash (10,000 USD) yet.",2017-04-14,2
Dell EMC (EMC Corp.),EMC,"Dell Technologies Earmarks $416M For Terminations, Pushes Ahead With EMC Cuts","http://www.crn.com/news/channel-programs/300084509/dell-technologies-earmarks-416m-for-terminations-pushes-ahead-with-emc-cuts.htm $420 mil means that at least 8,000 EMCers are going to get walked out with packages..",2017-04-11,3
Dell EMC (EMC Corp.),EMC,"EMC PS got hit hard, it is more that 25% affected so far, and it is still ongoing.",no body text,2017-04-10,4
Dell EMC (EMC Corp.),EMC,This thread is DEAD,"Don't bother posting anything in this thread, EMC is now officially DEAD, nothing left of the old company. Post in the Dell section. Such a shame what once was a great company with decent individuals is complete gone.",2017-04-03,8
Dell EMC (EMC Corp.),EMC,"Someone posted a demographic survey on the Dell layoff page if you are over 45 and laid off-,The request is to tell your age etc.","Someone posted a demographic survey on the Dell layoff page. If you are over 45 and laid off-,The request is to post your age etc It's obvious someone is gathering data for News? Lawyer? Or maybe a shocked Employee seeing is who else his age, time...
read more",2017-03-11,19
Dell EMC (EMC Corp.),EMC,Who is smart? Michael Dell and Silver Lake for buying EMC or Joe Tucci and board of EMC directors for getting rid of it.,no body text,2017-03-10,3
Dell EMC (EMC Corp.),EMC,More Layoffs,I heard a guy got canned while onsite at a project.,2017-03-09,4
