date_rpt,company,ticker,EPS_est,EPS_act,suprise
2018-01-02,Veru Inc,VERU,-0.03,-0.08,-166.67
2018-01-03,Rite Aid Corp,RAD,-0.02,N/A,+100
2018-01-03,Resources Connection Inc,RECN,0.2,0.25,+25
2018-01-03,Landec Corp,LNDC,0.01,0.02,+100
2018-01-03,UniFirst Corp,UNF,1.41,1.67,+18.44
2018-01-03,China HGS Real Estate Inc,HGSH,N/A,N/A,N/A
2018-01-03,Neogen Corp,NEOG,0.26,0.33,+26.92
2018-01-03,Commercial Metals Co,CMC,0.17,0.31,+82.35
2018-01-03,Trimedyne Inc,TMED,N/A,N/A,N/A
2018-01-04,Walgreens Boots Alliance Inc,WBA,1.26,1.28,+1.59
2018-01-04,AEHR Test Systems,AEHR,N/A,0.02,N/A
2018-01-04,AngioDynamics Inc,ANGO,0.16,0.16,N/A
2018-01-04,National American University Holdings Inc,NAUH,N/A,N/A,N/A
2018-01-04,BioLife Solutions Inc,BLFS,-0.05,N/A,N/A
2018-01-04,Park Electrochemical Corp,PKE,0.13,0.06,-53.85
2018-01-04,EACO Corp,EACO,N/A,N/A,N/A
2018-01-04,Franklin Covey Co,FC,-0.33,-0.17,+48.48
2018-01-04,Lamb Weston Holdings Inc,LW,0.53,0.54,+1.89
2018-01-04,Nephros Inc,NEPH,N/A,N/A,N/A
2018-01-04,RPM International Inc,RPM,0.59,0.7,+18.64
2018-01-04,PriceSmart Inc,PSMT,0.85,0.74,-12.94
2018-01-05,Constellation Brands Inc,STZ,1.89,2,+5.82
2018-01-05,Core-Mark Holding Company Inc,CORE,0.29,0.33,+13.79
2018-01-05,Greenbrier Companies Inc,GBX,0.93,0.83,-10.75
2018-01-05,Hurco Companies Inc,HURC,N/A,N/A,N/A
2018-01-05,Shiloh Industries Inc,SHLO,0.19,0.13,-31.58
2018-01-05,Obalon Therapeutics Inc,OBLN,-0.46,-0.6,-30.43
2018-01-05,Nutriband Inc,NTRB,N/A,N/A,N/A
2018-01-06,Vistra Energy Corp,VST,0.22,0.18,-18.18
2018-01-08,AMAG Pharmaceuticals Inc,AMAG,-0.43,0.1,+123.26
2018-01-08,Lululemon Athletica Inc,LULU,0.52,0.56,+7.69
2018-01-08,Computer Services Inc,CSVI,N/A,N/A,N/A
2018-01-08,Nevro Corp,NVRO,-0.14,-0.15,-7.14
2018-01-08,Cytosorbents Corp,CTSO,-0.1,-0.11,-10
2018-01-08,Limoneira Co,LMNR,-0.2,-0.19,+5
2018-01-08,Exact Sciences Corp,EXAS,-0.24,-0.18,+25
2018-01-08,Environmental Tectonics Corp,ETCC,N/A,N/A,N/A
2018-01-08,Denny's Corp,DENN,0.16,0.18,+12.5
2018-01-08,DexCom Inc,DXCM,0.03,0.1,+233.33
2018-01-08,GoPro Inc,GPRO,-0.11,-0.3,-172.73
2018-01-08,Helen of Troy Ltd,HELE,2.12,2.52,+18.87
2018-01-08,Inovalon Holdings Inc,INOV,0.07,0.06,-14.29
2018-01-08,NanoString Technologies Inc,NSTG,-0.42,-0.34,+19.05
2018-01-08,PTC Therapeutics Inc,PTCT,-0.14,0.03,+121.43
2018-01-08,NuVasive Inc,NUVA,0.56,0.56,N/A
2018-01-08,Seagate Technology PLC,STX,1.35,1.48,+9.63
2018-01-09,WD-40 Co,WDFC,0.83,0.9,+8.43
2018-01-09,Acuity Brands Inc,AYI,2.1,1.94,-7.62
2018-01-09,Stryker Corp,SYK,1.95,1.96,+0.51
