company_name,link,ticker
Buffalo Coal Corp,https://www.thelayoff.com//forbes-and-manhattan-coal-corp,BUC
F.N.B. Corp.,https://www.thelayoff.com//f-n-b,FNB
F1 Computer Solutions,https://www.thelayoff.com//f1-computer-solutions,
F5 Networks Inc.,https://www.thelayoff.com//f5-networks,FFIV
FARO Technologies Inc.,https://www.thelayoff.com//faro-technologies,FARO
FAT Brands,https://www.thelayoff.com//fat-brands,FAT
FB Financial Corp.,https://www.thelayoff.com//fb-financial-corp,FBK
FBL Financial Group Inc.,https://www.thelayoff.com//fbl-financial-group,FFG
FBR & Co.,https://www.thelayoff.com//fbr-and-co,FBRC
FBR Capital Markets Corp.,https://www.thelayoff.com//fbr-capital-markets,FBCM
FCB Advertising,https://www.thelayoff.com//fcb-advertising,
FCB Financial Holdings Inc.,https://www.thelayoff.com//fcb-financial-holdings,FCB
FCS Community Management,https://www.thelayoff.com//fcs-community-management,
FCStone Group Inc.,https://www.thelayoff.com//fcstone-group,FCSX
FEI Co.,https://www.thelayoff.com//fei,FEIC
FF Thompson Hospital,https://www.thelayoff.com//ff-thompson-hospital,
FFD Financial Corp.,https://www.thelayoff.com//ffd-financial,FFDF
FGP International,https://www.thelayoff.com//fgp-international,
FGX International Holdings Ltd.,https://www.thelayoff.com//fgx-international-holdings,FGXI
FHC Health Systems,https://www.thelayoff.com//fhc-health-systems,
FI Consulting,https://www.thelayoff.com//fi-consulting,
FMC Corp.,https://www.thelayoff.com//fmc,FMC
FMC Technologies Inc.,https://www.thelayoff.com//fmc-technologies,FTI
FMSA Holdings Inc.,https://www.thelayoff.com//fmsa-holdings,FMSA
FNB Corp. (Virginia),https://www.thelayoff.com//fnb-(virginia),FNBP
FNB United Corp.,https://www.thelayoff.com//fnb-united,FNBN
FNC,https://www.thelayoff.com//fnc,
FORTIS Colleges and Institutes,https://www.thelayoff.com//fortis-colleges-and-institutes,
FP Newspapers Inc,https://www.thelayoff.com//fp-newspapers,FP
FPB Bancorp Inc.,https://www.thelayoff.com//fpb-bancorp,FPBI
FPIC Insurance Group Inc.,https://www.thelayoff.com//fpic-insurance-group,FPIC
FPL Group Inc.,https://www.thelayoff.com//fpl-group,FPL
FRP Holdings Inc.,https://www.thelayoff.com//frp-holdings,FRPH
FS Bancorp Inc.,https://www.thelayoff.com//fs-bancorp,FSBW
FSI International Inc.,https://www.thelayoff.com//fsi-international,FSII
FTD,https://www.thelayoff.com//ftd-group,FTD
FTI Consulting Inc.,https://www.thelayoff.com//fti-consulting,FCN
FUJIFILM Holdings Corp.,https://www.thelayoff.com//fujifilm-holdings,FUJI
FURminator,https://www.thelayoff.com//furminator,
FX Energy Inc.,https://www.thelayoff.com//fx-energy,FXEN
FX Real Estate & Entertainment Inc.,https://www.thelayoff.com//fx-real-estate-and-entertainment,FXRE
FX Solutions,https://www.thelayoff.com//fx-solutions,
FXCM Inc.,https://www.thelayoff.com//fxcm,FXCM
Fabens Independent School District,https://www.thelayoff.com//fabens-isd-school-district,
Fabius-Pompey Central School District,https://www.thelayoff.com//fabius-pompey-central-school-district,
Facebook,https://www.thelayoff.com//facebook,FB
Facet Technology,https://www.thelayoff.com//facet-technology,
Facilities Resource Group,https://www.thelayoff.com//facilities-resource,
Facility Wizard Software,https://www.thelayoff.com//facility-wizard-software,
FactSet Research Systems Inc.,https://www.thelayoff.com//factset-research-systems,FDS
Fagen,https://www.thelayoff.com//fagen,
"Fahnestock Plumbing, HVAC & Electric",https://www.thelayoff.com//fahnestock-plumbing,
Fair Grove R-X,https://www.thelayoff.com//fair-grove-r-x-school-district,
Fair Haven School District,https://www.thelayoff.com//fair-haven-school-district,
Fair Isaac Corp.,https://www.thelayoff.com//fair-isaac,FICO
Fair Lawn Public School District,https://www.thelayoff.com//fair-lawn-public-school-district,
Fair Play R-Ii,https://www.thelayoff.com//fair-play-r-ii-school-district,
Fair-Mont-Egan Elementary School District,https://www.thelayoff.com//fair-mont-egan-elementary-school-district,
FairCode Associates,https://www.thelayoff.com//faircode-associates,
FairPoint Communications Inc.,https://www.thelayoff.com//fairpoint-communications,FRP
FairWest Energy Corp.,https://www.thelayoff.com//fairwest-energy,FEC
Fairbanks Hospital,https://www.thelayoff.com//fairbanks-hospital,
Fairbanks Local School District,https://www.thelayoff.com//fairbanks-local-school-district,
Fairbanks Memorial Hospital,https://www.thelayoff.com//fairbanks-memorial-hospital,
Fairbanks North Star Borough,https://www.thelayoff.com//fairbanks-north-star,
Fairbanks North Star Borough School District,https://www.thelayoff.com//fairbanks-north-star-borough-school-district,
Fairborn City School District,https://www.thelayoff.com//fairborn-city-school-district,
Fairborne Energy Ltd.,https://www.thelayoff.com//fairborne-energy,FEL
Fairbury Public Schools,https://www.thelayoff.com//fairbury-public-schools-school-district,
Fairchild Corp.,https://www.thelayoff.com//fairchild,FA
Fairchild Medical Center,https://www.thelayoff.com//fairchild-medical-center,
Fairchild Semiconductor International Inc.,https://www.thelayoff.com//fairchild-semiconductor-international,FCS
Faircourt Gold Income Corp.,https://www.thelayoff.com//faircourt-gold-income,FGX
Fairfax Community Hospital,https://www.thelayoff.com//fairfax-community-hospital,
Fairfax County,https://www.thelayoff.com//fairfax,
Fairfax County Public Schools,https://www.thelayoff.com//fairfax-co-pblc-schs-school-district,
Fairfax Elementary School District,https://www.thelayoff.com//fairfax-elementary-school-district,
Fairfax Financial Holdings Limited,https://www.thelayoff.com//fairfax-financial-holdings,FFH
Fairfax R-Iii School District,https://www.thelayoff.com//fairfax-r-iii-school-district,
Fairfield 01 School District,https://www.thelayoff.com//fairfield-01-school-district,
Fairfield Area School District,https://www.thelayoff.com//fairfield-area-sd-school-district,
Fairfield City School District,https://www.thelayoff.com//fairfield-city-school-district,
Fairfield Comm H S District 225,https://www.thelayoff.com//fairfield-comm-h-s-dist-225-school-district,
Fairfield Community School District,https://www.thelayoff.com//fairfield-comm-school-district,
Fairfield Community Schools,https://www.thelayoff.com//fairfield-community-schools-school-district,
Fairfield County,https://www.thelayoff.com//fairfield-ct,
"Fairfield County, OH",https://www.thelayoff.com//fairfield-oh,
"Fairfield County, SC",https://www.thelayoff.com//fairfield-sc,
Fairfield Elementary School District,https://www.thelayoff.com//fairfield-elementary-school-district,
Fairfield H S - School District,https://www.thelayoff.com//fairfield-h-s-school-district,
Fairfield Independent School District,https://www.thelayoff.com//fairfield-isd-school-district,
Fairfield Local School District,https://www.thelayoff.com//fairfield-local-school-district,
Fairfield Medical Center,https://www.thelayoff.com//fairfield-medical-center,
Fairfield Memorial Hospital,https://www.thelayoff.com//fairfield-memorial-hospital,
Fairfield Memorial Hospital 1,https://www.thelayoff.com//fairfield-memorial-hospital-1,
Fairfield Psd 112,https://www.thelayoff.com//fairfield-psd-112-school-district,
Fairfield Public Schools School District,https://www.thelayoff.com//fairfield-public-schools-school-district,
Fairfield Regional School District 09,https://www.thelayoff.com//fairfield-regional-school-district-09-school-district,
Fairfield School District,https://www.thelayoff.com//fairfield-school-district,
Fairfield Township School District,https://www.thelayoff.com//fairfield-township-school-district,
Fairfield Union Local,https://www.thelayoff.com//fairfield-union-local-school-district,
Fairfield University,https://www.thelayoff.com//fu,
Fairfield-Suisun Unified School District,https://www.thelayoff.com//fairfield-suisun-unified-school-district,
Fairhaven School District,https://www.thelayoff.com//fairhaven-school-district,
Fairland Local School District,https://www.thelayoff.com//fairland-local-school-district,
Fairland School District,https://www.thelayoff.com//fairland-school-district,
Fairlawn Local School District,https://www.thelayoff.com//fairlawn-local-school-district,
Fairleigh Dickinson University/Madison Campus,https://www.thelayoff.com//fdumc,
Fairleigh Dickinson University/Teaneck/Hackensack Campus,https://www.thelayoff.com//fduthc,
Fairless Local School District,https://www.thelayoff.com//fairless-local-school-district,
Fairmont Area School District,https://www.thelayoff.com//fairmont-area-school-district,
Fairmont Regional Medical Center,https://www.thelayoff.com//fairmont-regional-medical-center,
Fairmont School District 89,https://www.thelayoff.com//fairmont-sd-89-school-district,
Fairmont State College,https://www.thelayoff.com//fsc,
Fairmount 18 School District,https://www.thelayoff.com//fairmount-18-school-district,
Fairport Central School District,https://www.thelayoff.com//fairport-central-school-district,
Fairport Harbor Exempted Village School District,https://www.thelayoff.com//fairport-harbor-exempted-village-school-district,
Fairview Area School District,https://www.thelayoff.com//fairview-area-school-district,
Fairview Developmental Center,https://www.thelayoff.com//fairview-developmental-center,
