company,ticker,title,body,date,replies
G-III Apparel Group Ltd.,GIII,Is G-III still in business,I do not see them any more in the news - G-III used to be hot what's going on now?,2016-10-13,0
GATX Corp.,GMT,GATX closing locations and lay-off 10/2015,Co-worker told me a friend of his works at GATX. Said GATX is closing locations in serveral states and termination significant numbers of jobs both salary and hourly. October 2015.,2015-10-19,3
GFI Group Inc.,GFIG,Now guess what's coming - 30% drop in profits = at least 30% workforce gone: Inter-dealer broker GFI (GFIG.O) posted a 30% drop in 2nd...,"Now guess what's coming - 30% drop in profits = at least 30% workforce gone: Inter-dealer broker GFI (GFIG.O) posted a 30% drop in 2nd quarter profit, mainly due to a drop in brokerage revenue. ""Capital commitment to the market by a number of dealers...
read more",2009-07-30,0
GMX Resources Inc.,GMXR,Chapter 11 Filing,GMX - so long. Things did not pan out well and a ton of debt is never a good thing.,2015-01-11,1
GNC,GNC,GNC Layoffs 2019,What's your prediction as it relates to the possibility of GNC Layoffs in 2019?,2018-10-30,1
GNC,GNC,It's getting tougher,"I hope they will not be cutting any more, but things are not going well. Folks are buying more online and this is putting pressure on everyone at GNC.",2018-07-10,0
GNC,GNC,GNC closing 200 stores,"In news that surprises exactly nobody working at GNC, the company has announced it will close 200 stores this year. To be honest, with the kind of debt we are carrying, I'm more surprised the number is not significantly higher than 200. Anybody knows...
read more",2018-04-27,0
GNC,GNC,On the way to bankruptcy,"It looks like we are in for a rough year. GNC is on the list of retail companies most likely to announce bankruptcy in 2018. We are in ""good"" company with Sears and Neiman Marcus...
read more",2017-12-29,2
GNC,GNC,GNC Layoffs 2018,I need (and you need) to better understand if job cuts and layoffs will be happening this year in Pittsburgh.,2017-10-15,0
GOL Linhas Aereas Inteligentes S.A.,GOL,GOL Linhas Aereas Inteligentes Layoffs 2018,"Just relax, focus on work, focus on delivering things, stay positive stay productive - making things happen and you will be safe from layoffs anywhere, especially here in Sao Paulo.",2017-10-15,0
GOL Linhas Aereas Inteligentes S.A.,GOL,GOL Linhas Aereas Inteligentes Layoffs 2017,Rumors here? Updates here? I want to know what executives are planning here in Sao Paulo.,2016-11-23,0
GOL Linhas Aereas Inteligentes S.A.,GOL,"GOL is really good, do not worry about layoffs","Expanding and growing, but Brazil has problems, Sao Paulo is hard city - no layoffs",2016-03-01,0
GSI Commerce Inc.,GSIC,"""anonymous (anonymous), Sunday 1/20/13 6:56 PM"" - I was laid off on 1/10 - are you from KOP too?","""anonymous (anonymous), Sunday 1/20/13 6:56 PM"" - I was laid off on 1/10 - are you from KOP too?",2013-01-21,0
GSI Commerce Inc.,GSIC,"Of the 200 people being laid off, many positions will be replaced with Offshore resources","Of the 200 people being laid off, many positions will be replaced with Offshore resources. Sad day for the American worker.",2013-01-20,0
GSI Commerce Inc.,GSIC,200 people were laid off in King of Prussia on Jan 10 2013.,200 people were laid off in King of Prussia on Jan 10 2013.,2013-01-20,0
