company,ticker,title,body,date,replies
H&E Equipment Services Inc.,HEES,Give the conditions in the construction industry what's the likelihood that H&E recovers and starts to hire again?,Give the conditions in the construction industry what's the likelihood that H&E recovers and starts to hire again?,2010-06-30,0
H&R Block,HRB,"Hiring, firing…",H&R Blocks hires seasonally,2018-10-30,0
H&R Block,HRB,H&R Block Layoffs 2019,Make a prediction and tell us what you think about H&R Block Layoffs in 2019 -- Thoughts??,2018-10-30,0
H&R Block,HRB,Major closing announced at H&R Block,"H&R Block is closing 400 of its smaller offices. The company claims that no jobs will be cut as part of the closings, but I'm pretty sure nobody is buying that. Even if everybody is given a job at other H&R Block locations nearby (as they claim the...
read more",2018-06-14,1
H&R Block,HRB,Layoffs at H&R Block,"They laid off 80 or so full time year round Area Managers that were a part of a company wide 3 year pilot program at the end of April and are going back to part time seasonal managers company wide. Posted in an old thread by @PL58zZd-3Ohqc but it's...
read more",2018-06-11,0
H&R Block,HRB,H&R Block Layoffs 2018,"Now, let's try to predict or forecast if we might have job cuts in Kansas City.",2017-10-15,1
H&R Block,HRB,H&R Block Layoffs 2017,"Financial Market keeps going up and down, there is a ton of uncertainty and people are talking about layoffs in Kansas City.",2016-11-23,1
H&R Block,HRB,H&R Block Layoffs AGAIN in 2016,"Layoffs started Monday, April 25th and continued through today. Hundreds of full time staff being laid off.",2016-04-26,2
H&R Block,HRB,Kansas City headquarters layoffs 2016,"Any updates here? I was part of the group that was cut in 2015, I heard that more folks might be leaving. I hope that the cuts are not deep and wide - all the best to all.",2016-04-26,1
H&R Block,HRB,All hands meeting last month lead by Bill Cobb cut backs were announced,"In fairness look at the Net Worth of the Leadership Team and compensation plans down to the ""pay check to pay check"" team. Suggest areas for improvement for a good story.",2016-04-07,1
H&R Block,HRB,H&R Block Layoffs 2016,What is the likelihood of H&R Block layoffs in Kansas City in 2016? Please let me know if you have any information.,2015-11-05,1
H&R Block,HRB,Do you always let people go after April 15?,Just asking,2014-03-10,0
H&R Block,HRB,"Kansas City layoffs? Anyone? I hear a ton of rumors, maybe 2014?","Kansas City layoffs? Anyone? I hear a ton of rumors, maybe 2014?",2013-11-06,0
H.B. Fuller Co.,FUL,I am a business manager are you hiring?,no body text,2013-12-12,0
H.J. Heinz Co.,HNZ,Significant synergy opportunities,"As we merge: ""Significant synergy opportunities"" are touted as one of the benefits of the merger. We should interpret this as ""MASSIVE LAYOFFS COMING""",2015-03-26,1
H.J. Heinz Co.,HNZ,2015 RIFs at Heinz and Kraft,Do you think we will be having layoffs in 2015 due to the merger with Kraft? How is this going to impact us? Do you think IT will be affected a lot?,2015-03-26,1
H.J. Heinz Co.,HNZ,Buffet makes everyone happy,"unless you work for him, in that case, you hate the sage... no layoffs right now",2014-08-29,1
H.J. Heinz Co.,HNZ,Pocatello plant,"Heinz will be closing Pocatello plant, over 400 people will be let go. This will impact everyone, the city might have to layoff of city workers.",2013-12-18,0
H.J. Heinz Co.,HNZ,Warren Buffet will take over Heinz,Warren Buffet will take over Heinz. Hope that means many will keep their jobs and not lose them.,2013-03-12,0
H.J. Heinz Co.,HNZ,Love their catchup? Bloody red...,Love their catchup? Bloody red...,2010-06-30,0
HCA Holdings Inc.,HCA,HCA Layoffs 2019,This is a master thread about HCA Layoffs in 2019?,2018-10-30,1
HCA Holdings Inc.,HCA,They are still lating people off in Irving and FL but this time no severance.,no body text,2018-07-17,1
HCA Holdings Inc.,HCA,No notice ahead of layoffs,"My friend worked in the Irving office. They were given three months severance pay and got to keep their benefits for the time. There was NO notice given that they were getting laid off. Literally they went into the conference room and without getting...
read more",2018-04-07,1
HCA Holdings Inc.,HCA,HCA layoffs this week,Layoffs in North Texas division Anybody here has more info on this and layoffs at HCA this week in general? Did anything else get hit?,2018-03-30,3
HCA Holdings Inc.,HCA,HCA Layoffs 2018,It's hard to see things getting better - are we going to have job reductions in corporate in Nashville.,2017-10-15,7
HCA Holdings Inc.,HCA,Contractors,"So the rumor mill for HCA is that contractors will be forced to move over as employees, or be let go. The decision to offer or let go is being made by upper management. So this might mean a large pay cut for many. Good thing is they are offering up...
read more",2017-02-03,1
HCA Holdings Inc.,HCA,FLSA Changes...,"So HCA went ahead with the FLSA changes, even though it got blocked. Hear there are a ton of people, mainly in administration, that are not happy. Moving from exempt to non-exempt, could upset those that don't really work all the hours they are...
read more",2016-11-29,0
HCA Holdings Inc.,HCA,HCA Layoffs 2017,How about a bit growth for a change - I do hear that we may have layoffs in Nashville.,2016-11-22,1
HCA Holdings Inc.,HCA,Layoffs in the North Texas Division,Was laid off today with about 15 minute's notice. Very sad to leave a great position and a great team.,2016-05-28,1
HCA Holdings Inc.,HCA,"Hca has begun layoff as of yesterday may 26,2016 in the north Texas division!",no body text,2016-05-27,1
HCA Holdings Inc.,HCA,HCA Layoffs 2016,What is the likelihood of HCA layoffs in Nashville in 2016? Please let me know if you have any information.,2015-11-05,0
HCL Technologies,HCLTECH,Is it ok to join hcl,"Hi, i just got an offer from hcl technologies as consultant in security domain at chennai. Pls let me know is it ok to join hcl or dxc.",2017-08-31,2
HCL Technologies,HCLTECH,layoff of non tamil employees in full swing,layoff of non tamil employees in full swing.,2017-04-11,1
HD Supply,HDS,HD Supply Layoffs 2019,Is there going to be any reorg or HD Supply Layoffs in 2019?,2018-10-30,0
HD Supply,HDS,HDS Cannot continue like this,"Folks running the ship at HDS need to be careful as the GE model is not the answer for the current problems - they need to think about their team members and stop just trying to save their own jobs and survive - they need to take care of the team -...
read more",2018-09-01,0
HD Supply,HDS,Rumors that the Hd supply Santee office closing,There are rumors circulating that the Santee office is going to close down . Is there any truth to the rumors ?,2018-05-24,2
HD Supply,HDS,HD Supply Layoffs 2018,I spent last 5years with our company and it'd be a real shame if they were to decide to lay people off from our offices in Atlanta.,2017-10-15,0
HD Supply,HDS,Atlanta Safe But HD Supply San Diego Layoffs Eminent,"HD Supply has made it clear that they are set to stReamline Operations and Bolster their efforts in the Atlanta market, so I am guessing that means HD Supply Atlanta based workforce shouldn't be seeing too much by way of layoffs. However HD Supply...
read more",2016-04-10,0
HHGregg Inc.,HGG,Things continue to slide - hhgregg will need a major turnaround,"It seems to me like nobody at hhgregg cares any more - things are not going well yet people are lethargic and they lack initiatives. Listen, I know that any initiative will be hard to push thru as managers always stonewall you with process, legal...
read more",2017-08-25,1
HHGregg Inc.,HGG,HHGREGG Layoffs QUESTION - What will happen with vacation time and benefits?,Do you know what will happen?,2017-04-07,1
HHGregg Inc.,HGG,Going out of business,Liquidation sales begin tomorrow for remaining stores,2017-04-07,2
HHGregg Inc.,HGG,Hhgregg lays off Sales Managers in sub $10m stores on February 2nd 2017. Stock prices respond with even bigger losses. Once $30 now half a dolla,no body text,2017-02-04,0
HHGregg Inc.,HGG,Massive job losses at hhgregg corporate office,hhgregg is bleeding money from disappointing sales. The retailer laid off 47 people from their corporate office on February 2nd 2017. More job losses to come as the retailer struggles to find it's footing in a hyper competitive market.,2017-02-03,0
HKN Inc.,HKN,Harken Energy Corporation is still doing well,"Texas and Gulf Region might have issues in 2015 because of oil prices dropping, but we will see what happens as you never know in what direction prices might go.",2015-01-11,2
HNI Corp. (HON Furniture),HNI,Leadership,"HNI leadership has been and continues to be a traditionally insulated group of Midwest males who believe who profess to be believers in the member culture but are nothing like the original founders. When Stan Askren took over it became a culture of...
read more",2019-03-06,0
HNI Corp. (HON Furniture),HNI,HNI Layoffs 2019,Do you predict that there will be HNI Layoffs in 2019?,2018-10-30,1
HNI Corp. (HON Furniture),HNI,"No updates, huh...","nothing so far. TF is laying off today, hopefully HON will be good.",2018-10-25,0
HNI Corp. (HON Furniture),HNI,HNI Layoffs 2018,Layoffs always happen - don’t freak out - be coooool… you cannot change that fact. Accept it and focus on work. We are not safe here in Muscatine Iowa.,2017-10-15,0
HNI Corp. (HON Furniture),HNI,HNI Layoffs 2017,If I tell you what - I am concerned you'll laugh - but how can you ignore so many warning signs here in Muscatine Iowa.,2016-11-23,0
HNI Corp. (HON Furniture),HNI,Artcobell Corp,"I guess HNI finally gave up. You bought Artcobell Corp in 2011. You didn't know a thing about the K-12 furniture industry and five years later you still could not figure it out. Teresa and Eric came in and could not make it work. I guess Eric will...
read more",2016-10-02,0
HNI Corp. (HON Furniture),HNI,HNI Layoffs 2016,What is the likelihood of HNI layoffs in Muscatine in 2016? Please let me know if you have any information.,2015-11-05,1
HP (Hewlett-Packard),HPQ,Any expected layoffs due poor Q1 2019 performance?,no body text,2019-02-28,2
HP (Hewlett-Packard),HPQ,Laid-off by HPI in 2016. Eligibility to join HPI back,I was paid 9 weeks of severance in 2016 by HP Inc. It was mentioned in the letter that I won’t be eligible to join HP Inc ever in future. Do HP Inc ex-employees still join with or without any exceptions?,2019-02-23,4
HP (Hewlett-Packard),HPQ,Layoffs in NJ/NY offices,Does anyone know of layoffs that are going to happen within the new jersey/new york area?,2019-01-29,0
HP (Hewlett-Packard),HPQ,"Forced Distribution Reviews, Still Alive and Kicking Here?","Old HP (before HP / HPE split) had ""Forced Distribution Reviews"", AKA ""kill teamwork policy"", AKA ""make your co-workers look bad, so that you can look better than them"", for raises for you and layoffs for them. HPE has now done away with them, and...
read more",2019-01-19,3
HP (Hewlett-Packard),HPQ,Wave of the future ... Happy New Year - 2019,"Change for the good or change for the better? This is a very interesting and long but VERY informational vid. For 3D or Conture Crafting., about 1:57:00., is see HP performing a major shift as other hi-tech companies. Happy New Year H-P. Zeitgeist...
read more",2019-01-04,1
HP (Hewlett-Packard),HPQ,Is this some kind of a joke?,"How are we among the top one hundred companies to work for according to Glassdoor? Maybe years ago, but today? HPI is not the company it once was and it certainly is not one of the best places to work for...
read more",2018-12-06,7
HP (Hewlett-Packard),HPQ,HP Layoffs 2019,"If the economy turns around, do you anticipate any HP Layoffs in 2019?",2018-10-30,6
HP (Hewlett-Packard),HPQ,Is HPI bringing jobs back to the US anytime soon,"In the AP news other tech companies are building new factories and therefore hiring US labor. I haven’t heard a peep about HP doing the same. With trade and technology theft, other companies have figured out that it’s best to return to On-shore...
read more",2018-10-28,3
