company_name,link,ticker
H & H Steel Fabricators,https://www.thelayoff.com//h-and-h-steel-fabricators,
H B Magruder Memorial Hospital,https://www.thelayoff.com//h-b-magruder-memorial-hospital,
H C Watkins Memorial Hospital,https://www.thelayoff.com//h-c-watkins-memorial-hospital,
H&E Equipment Services Inc.,https://www.thelayoff.com//h-and-e-equipment-services,HEES
H&H Gun Range Shooting Sports Outlet,https://www.thelayoff.com//h-and-h,
H&R Block,https://www.thelayoff.com//h-and-r-block,HRB
H-L-V Community School District,https://www.thelayoff.com//h-l-v-comm-school-district,
H.B. Fuller Co.,https://www.thelayoff.com//h-b-fuller,FUL
H.J. Heinz Co.,https://www.thelayoff.com//h-j-heinz,HNZ
H2H Solutions,https://www.thelayoff.com//h2h-solutions,
H2O Audio,https://www.thelayoff.com//h2o-audio,
"HBO - Home Box Office, Inc.",https://www.thelayoff.com//hbo,
HC2 Holdings Inc.,https://www.thelayoff.com//hc2-holdings,HCHC
HCA,https://www.thelayoff.com//hca,
HCA Holdings Inc.,https://www.thelayoff.com//hca-holdings,HCA
HCC Insurance Holdings Inc.,https://www.thelayoff.com//hcc-insurance-holdings,HCC
HCL Technologies,https://www.thelayoff.com//hcl,HCLTECH
HCP Inc.,https://www.thelayoff.com//hcp,HCP
HCSC (Health Care Service Corporation),https://www.thelayoff.com//hcsc,
HCSS,https://www.thelayoff.com//hcss,
HD Supply,https://www.thelayoff.com//hd-supply,HDS
HDFC Bank Ltd.,https://www.thelayoff.com//hdfc-bank,HDB
HE Butt Grocery,https://www.thelayoff.com//he-butt-grocery,
HEIT,https://www.thelayoff.com//heit,
HF Financial Corp.,https://www.thelayoff.com//hf-financial,HFFC
HFF Inc.,https://www.thelayoff.com//hff,HF
HGST - Hitachi Global Storage Technologies,https://www.thelayoff.com//hgst,
HHGregg Inc.,https://www.thelayoff.com//hhgregg,HGG
HKN Inc.,https://www.thelayoff.com//hkn,HKN
HKS Medical Information Systems,https://www.thelayoff.com//hks-medical-information-systems,
HLTH Corp.,https://www.thelayoff.com//hlth,HLTH
HMG/Courtland Properties Inc.,https://www.thelayoff.com//hmg-courtland-properties,HMG
HMN Financial Inc.,https://www.thelayoff.com//hmn-financial,HMNF
HMS Holdings Corp.,https://www.thelayoff.com//hms-holdings,HMSY
HNI Corp. (HON Furniture),https://www.thelayoff.com//hni,HNI
HNP Pharmaceuticals,https://www.thelayoff.com//hnp-pharmaceuticals,
HOK,https://www.thelayoff.com//hok,
HOMEQ Corporation,https://www.thelayoff.com//homeq-corporation,HEQ
HP (Hewlett-Packard),https://www.thelayoff.com//hewlett-packard,HPQ
HP Hood,https://www.thelayoff.com//hp-hood,
HQ Sustainable Maritime Industries Inc.,https://www.thelayoff.com//hq-sustainable-maritime-industries,HQS
HR Search Firm,https://www.thelayoff.com//hr-search-firm,
HRPT Properties Trust,https://www.thelayoff.com//hrpt-properties-trust,HRP
HRST,https://www.thelayoff.com//hrst,
HSBC,https://www.thelayoff.com//hsbc-holdings-plc,HSBC
HSBC Holdings PLC ADS,https://www.thelayoff.com//hsbc-holdings,
HSE Integrated Ltd.,https://www.thelayoff.com//hse-integrated,HSL
HSN Inc.,https://www.thelayoff.com//hsn,HSNI
HSW International Inc.,https://www.thelayoff.com//hsw-international,HSWI
HT Hackney,https://www.thelayoff.com//ht-hackney,
HTG Molecular Diagnostics Inc.,https://www.thelayoff.com//htg-molecular-diagnostics,HTGM
HUB09 Brand People,https://www.thelayoff.com//hub09-brand-people,
HVAC Distributors,https://www.thelayoff.com//hvac-distributors,
Haakon County,https://www.thelayoff.com//haakon,
Haakon School District 27-1,https://www.thelayoff.com//haakon-sd-27-1-school-district,
Habersham Bancorp,https://www.thelayoff.com//habersham-bancorp,HABC
Habersham County,https://www.thelayoff.com//habersham,
Habersham County Medical Center,https://www.thelayoff.com//habersham-county-medical-ctr,
Habersham County School District,https://www.thelayoff.com//habersham-county-school-district,
Habit Restaurants Inc.,https://www.thelayoff.com//habit-restaurants,HABT
Hacienda Children's Hospital.,https://www.thelayoff.com//hacienda-childrens-hospital,
Hacienda La Puente Unified School District,https://www.thelayoff.com//hacienda-la-puente-unified-school-district,
Hackberry School District,https://www.thelayoff.com//hackberry-school-district,
Hackensack - Umc Mountainside,https://www.thelayoff.com//hackensack-umc-mountainside,
Hackensack - Umc at Pascack Valley,https://www.thelayoff.com//hackensack-umc-at-pascack-valley,
Hackensack School District,https://www.thelayoff.com//hackensack-school-district,
Hackensack University Medical Center,https://www.thelayoff.com//hackensack-university-medical-center,
Hackett Group Inc.,https://www.thelayoff.com//hackett-group,HCKT
Hackett School District,https://www.thelayoff.com//hackett-school-district,
Hackettstown Public School District,https://www.thelayoff.com//hackettstown-public-school-district,
Hackettstown Regional Medical Center,https://www.thelayoff.com//hackettstown-regional-medical-center,
Haddon Heights School District,https://www.thelayoff.com//haddon-heights-school-district,
Haddon Township School District,https://www.thelayoff.com//haddon-township-school-district,
Haddonfield School District,https://www.thelayoff.com//haddonfield-school-district,
Hadley School District,https://www.thelayoff.com//hadley-school-district,
Hadley-Luzerne Central School District,https://www.thelayoff.com//hadley-luzerne-central-school-district,
Haemonetics Corp.,https://www.thelayoff.com//haemonetics,HAE
Hagar Township S/D #6 District,https://www.thelayoff.com//hagar-township-s-d-6-school-district,
Hagerman & Company,https://www.thelayoff.com//hagerman-and-company,
Hagerman Joint District,https://www.thelayoff.com//hagerman-joint-district-school-district,
Hagerman Municipal Schools,https://www.thelayoff.com//hagerman-municipal-schools-school-district,
Haggard & Stocking,https://www.thelayoff.com//haggard-and-stocking,
Hahnemann University Hospital,https://www.thelayoff.com//hahnemann-university-hospital,
Haig Service Corporation,https://www.thelayoff.com//haig-service-corporation,
Haileyville School District,https://www.thelayoff.com//haileyville-school-district,
Hailiang Education Group,https://www.thelayoff.com//hailiang-education-group,HLG
Hain Celestial Group Inc.,https://www.thelayoff.com//hain-celestial-group,HAIN
Haines Borough,https://www.thelayoff.com//haines,
