company,ticker,title,body,date,replies
HRG Group Inc.,HRG,Spectrum Brands Layoffs 2019,This thread is for info about potential Spectrum Brands Layoffs in 2019 or any other relevant information?,2018-10-30,0
HRG Group Inc.,HRG,HRG Layoffs 2019,Is there going to be any reorg or HRG Layoffs in 2019?,2018-10-30,0
HRG Group Inc.,HRG,Spectrum Brands Layoffs 2018,"I know that my opinion does not matter much, but I can tell you that our executives are way too greedy and that is putting us all in danger here in Madison.",2017-10-15,0
HRG Group Inc.,HRG,HRG Layoffs 2018,Is it possible that we'll have job cuts in NYC.,2017-10-15,0
HRG Group Inc.,HRG,Spectrum Brands Layoffs 2017,I do not know if we'll have job cuts but I do know that many folks here are worried - this applies only to Madison.,2016-11-23,0
HRG Group Inc.,HRG,HRG Layoffs 2017,"What do you think, what is the likelihood of having layoffs in NYC.",2016-11-23,0
HRG Group Inc.,HRG,HRG Layoffs 2016,What is the likelihood of HRG layoffs in New York in 2016? Please let me know if you have any information.,2015-11-05,0
HRG Group Inc.,HRG,Good company and no layoffs,no body text,2015-11-04,0
IAC/InterActiveCorp.,IACI,I wish they kill about.com,"seriously, let everyone go, the worst site on the web.",2014-07-23,0
IBERIABANK Corp.,IBKC,124 Laid off in Coral Gables,"This is for IberiaBank... 100+ people laid off... State of Florida - WARN Notice Company Name: IBERIABANK Corporation Number of Laid off Employees: 124 Address 1: Address 2: 55 Alhambra Plaza City: Coral Gables, FL WARN Notice Date: Wed 03/07/2018...
read more",2018-08-30,0
IBM,IBM,Ginni Layoffs,"So we urge the technology industry to formally rename the key executive officers appropriately: Tim Apple, Larry Oracle, Satya Microsoft and Ginni Layoffs?",2019-03-22,2
IBM,IBM,Where is age not a liability?,"We all know age is a liability at IBM - there was a whole article on that a while ago - but is there a place where it's not? Where somebody in their late forties and up can find a good job that pays well? Because I've been looking, and I haven't been...
read more",2019-03-21,7
IBM,IBM,2018 annual report,"IBM lays out their business model going forward (page 23 and 24 of the report see below) NOTE the “enterprise” emphasis. I interpret this to mean “scale out and low margin businesses are to be de-emphasized”. A couple of interesting reading points...
read more",2019-03-17,6
IBM,IBM,IBM to train over 1 million female students in India in 3 years,Gotta get the sweatshop workers at least mildly prep.'d before transferring the work. Expect to see a big RA in ~3yrs. https://www.businesstoday.in/current/corporate/ibm-to-train-over-1-million-female-students-in-india-in-3-years/story/326787.html,2019-03-14,5
IBM,IBM,IBM withdraws plan to bring customer contact center to Baton Rouge,"An IBM spokesperson said the client considering the customer contact center no longer needed it. “Despite that development, IBM has continued driving significant growth in our local operations and we are actively working to bring even more...
read more",2019-03-14,2
IBM,IBM,Signs emerge IBM-Red Hat merger may face delay; IBM says it’s still on,Nothing's done until it's done. https://www.wraltechwire.com/2019/03/12/signs-emerge-ibm-red-hat-merger-may-face-delay-ibm-says-its-still-on/,2019-03-13,4
