company_name,link,ticker
HRG Group Inc.,https://www.thelayoff.com//hrg-group,HRG
I & I Software,https://www.thelayoff.com//i-and-i-software,
I - 70 Community Hospital,https://www.thelayoff.com//i-70-community-hospital,
I-Flow Corp.,https://www.thelayoff.com//i-flow,IFLO
I-Trax Inc.,https://www.thelayoff.com//i-trax,DMX
I-many Inc.,https://www.thelayoff.com//i-many,IMNY
I.D. Systems Inc.,https://www.thelayoff.com//i-d-systems,IDSY
IA Global Inc.,https://www.thelayoff.com//ia-global,IAO
IAC/InterActiveCorp.,https://www.thelayoff.com//iac-interactivecorp,IACI
IAMGOLD Corp.,https://www.thelayoff.com//iamgold,IAG
IAMGOLD Corporation,https://www.thelayoff.com//iamgold-corporation,IMG
IBB Consulting,https://www.thelayoff.com//ibb-consulting,
IBERIABANK Corp.,https://www.thelayoff.com//iberiabank,IBKC
IBI Group Inc,https://www.thelayoff.com//ibi-group,IBG
IBIS Technology Corp.,https://www.thelayoff.com//ibis-technology,IBIS
IBM,https://www.thelayoff.com//international-business-machines,IBM
IBT Bancorp Inc.,https://www.thelayoff.com//ibt-bancorp,IRW
IBT Enterprises,https://www.thelayoff.com//ibt-enterprises,
IC Engineering,https://www.thelayoff.com//ic-engineering,
IC Potash Corp.,https://www.thelayoff.com//ic-potash,ICP
ICC Industries,https://www.thelayoff.com//icc-industries,
ICF International Inc.,https://www.thelayoff.com//icf-international,ICFI
ICICI Bank Ltd.,https://www.thelayoff.com//icici-bank,IBN
ICO Global Communications Holdings Ltd.,https://www.thelayoff.com//ico-global-communications-holdings,ICOG
ICO Inc.,https://www.thelayoff.com//ico,ICOC
ICONMA,https://www.thelayoff.com//iconma,
ICOP Digital Inc.,https://www.thelayoff.com//icop-digital,ICOP
ICOR Partners,https://www.thelayoff.com//icor-partners,
ICR,https://www.thelayoff.com//icr,
ICS Marketing Support Services,https://www.thelayoff.com//ics-marketing-support-services,
ICSN,https://www.thelayoff.com//icsn,
ICT Group Inc.,https://www.thelayoff.com//ict-group,ICTG
ICU Medical Inc.,https://www.thelayoff.com//icu-medical,ICUI
ICx Technologies Inc.,https://www.thelayoff.com//icx-technologies,ICXT
IDACORP Inc.,https://www.thelayoff.com//idacorp,IDA
IDEO,https://www.thelayoff.com//ideo,
IDEX Corp.,https://www.thelayoff.com//idex,IEX
IDEXX Laboratories Inc.,https://www.thelayoff.com//idexx-laboratories,IDXX
IDM Pharma Inc.,https://www.thelayoff.com//idm-pharma,IDMI
IDT Corp.,https://www.thelayoff.com//idt,IDT
IEC Electronics Corp.,https://www.thelayoff.com//iec-electronics,IEC
IF Bancorp Inc.,https://www.thelayoff.com//if-bancorp,IROQ
IGI Inc.,https://www.thelayoff.com//igi,IG
IGM Financial Inc.,https://www.thelayoff.com//igm-financial,IGM
IHOP Corp.,https://www.thelayoff.com//ihop,IHP
IHS Inc.,https://www.thelayoff.com//ihs,IHS
II-VI Inc.,https://www.thelayoff.com//ii-vi,IIVI
IKEA,https://www.thelayoff.com//ikea,
ILOG S.A.,https://www.thelayoff.com//ilog,ILOG
ILX Resorts Inc.,https://www.thelayoff.com//ilx-resorts,ILX
IMA Exploration Inc.,https://www.thelayoff.com//ima-exploration,IMR
IMAX Corporation,https://www.thelayoff.com//imax-corporation,IMX
IMI Health,https://www.thelayoff.com//imi-health,
IMPAC Mortgage,https://www.thelayoff.com//impac-mortgage-holdings,IMH
IMPACT Group,https://www.thelayoff.com//impact,
IMRIS Inc.,https://www.thelayoff.com//imris,IMRS
IMS ExpertServices,https://www.thelayoff.com//ims-expertservices,
IMS Health Holdings Inc.,https://www.thelayoff.com//ims-health-holdings,IMS
IMS Health Inc.,https://www.thelayoff.com//ims-health,RX
INC Research Holdings Inc.,https://www.thelayoff.com//inc-research-holdings,INCR
INDUS Technology,https://www.thelayoff.com//indus-technology,
ING Group,https://www.thelayoff.com//ing-groep,ING
INNCOM International,https://www.thelayoff.com//inncom-international,
INSCAPE Corporation,https://www.thelayoff.com//inscape-corporation,INQ
INSiGHT Merchandising,https://www.thelayoff.com//insight-merchandising,
INT Technologies,https://www.thelayoff.com//int-technologies,
INTL FCStone Inc.,https://www.thelayoff.com//intl-fcstone,INTL
INTTRA,https://www.thelayoff.com//inttra,
