company,ticker,title,body,date,replies
J&J (Johnson & Johnson),JNJ,Major layoffs at Johnson & Johnson in early 2019,"I’ve heard that the J&J consumer division is expecting sweeping layoffs in early 2019. According to my friend who’s an employee, they quietly laid off quite a few people in Q4 because of lackluster sales results, and next year’s forecasts are looking...
read more",2018-12-20,0
J&J (Johnson & Johnson),JNJ,Adding…,"J&J keeps hiring more people, that's a good sign",2018-10-30,0
J&J (Johnson & Johnson),JNJ,Johnson & Johnson Layoffs 2019,"If the market makes a turn soon, do you think there will be Johnson & Johnson Layoffs in 2019?",2018-10-30,1
J&J (Johnson & Johnson),JNJ,No layoffs as of August 2018,"This is in pharma, not sure about other groups. Some other companies are hiring big time, so no layoffs per se but still...",2018-09-03,2
J&J (Johnson & Johnson),JNJ,"Few hundred here, few hundred there...","We're constantly laying people off in bits and pieces but the company is so big and so diverse that most don't even know it unless it happens in their division and department. I think the company wants it that way too, as the layoffs are hardly ever...
read more",2018-03-18,2
J&J (Johnson & Johnson),JNJ,December layoffs at Johnson & Johnson,Nearly 300 folks will be laid off in West Chester and Wayne as J&J reduces its Animas operations.,2017-10-24,2
J&J (Johnson & Johnson),JNJ,Johnson & Johnson Layoffs 2018,Let's see what the rest of this year brings - RIFs maybe? Here in New Brunswick.,2017-10-15,3
J&J (Johnson & Johnson),JNJ,Johnson & Johnson Layoffs 2017,I need to decide if I'll stay around - I hear that there might be layoffs in New Brunswick.,2016-11-22,0
J&J (Johnson & Johnson),JNJ,More consolidation in the sector means fewer jobs,More consolidation in the sector means fewer jobs. Looks like several mergers or takeovers coming...which means...,2016-10-03,0
J&J (Johnson & Johnson),JNJ,It's very political,"I am not surprised that there will be major job cuts in Medical - seriously, there are so many people who just protect their positions, great walls are built around departments. It's ultra political and you need to be very careful with every...
read more",2016-01-20,1
J&J (Johnson & Johnson),JNJ,Johnson & Johnson - Medical Devices Layoffs 2016 - About 3000 to be laid off (4 to 6 % of the overall headcount),"4% to 6% overall - about 3000 people this has been announced to day (Jan 19 2016) and will be a world-wide exercise - sorry to hear this - I left the company in 2015 and we all kind of saw this coming, I was not expecting such a big cut though. If we...
read more",2016-01-19,0
J&J (Johnson & Johnson),JNJ,MD&D Layoffs in 2016? Is this realistic rumor?,I hear that D1 and D2 positions may be impacted in a major way. It's a rumor so take it with a big grain of salt.,2015-11-30,1
J&J (Johnson & Johnson),JNJ,Johnson & Johnson Layoffs 2016,What is the likelihood of Johnson & Johnson layoffs in New Brunswick in 2016? Please let me know if you have any information.,2015-11-05,1
J&J (Johnson & Johnson),JNJ,2016 Layoffs at Johnson and Johnson,"Do you think that we may be having cuts next year? I mean, if things do not improve and the economy continues to be very weak, what will happen with consumer spending and is J&J going to be able to make money for shareholders? I hear rumors all the...
read more",2015-08-25,2
J&J (Johnson & Johnson),JNJ,Johnson and Johnson Layoffs (second part of 2014),"I heard rumors about possible layoffs at J&J - I am not with company any more as I went to work for a company in a different industry but many dear friends are still there. I am not sure how accurate or reliable this info is but wanted to share it...
read more",2014-06-26,1
J&J (Johnson & Johnson),JNJ,"Do you remember 2011? Well, 2014 will be much WORSE!","Do you remember 2011? Well, 2014 will be much WORSE!",2013-11-06,0
J&J (Johnson & Johnson),JNJ,news?,news?,2013-09-25,0
J&J (Johnson & Johnson),JNJ,11/6/09 - Cheer up J&J said Tuesday that it would nix up to 8K jobs..,11/6/09 - Cheer up J&J said Tuesday that it would nix up to 8K jobs... THis is gonna be global and will amount to around 6 percent of the overall workforce... Are you on the list?,2009-11-06,0
J&J Snack Foods Corp.,JJSF,J&J under pressure,just like all other companies in the sector... We'll see what happens...,2017-09-13,0
J. Crew Group Inc.,JCG,Wilmington and Mayfaire stores closing,"J.Crew is closing Wilmington and Mayfaire stores, among others from what I'm hearing. I can't find a full list though, nor can I find if all the stores have been notified yet. I keep worrying that more of us will get the bad news before the end of...
read more",2019-01-22,0
J. Crew Group Inc.,JCG,J crew is laying off majority of the full time staff in stores,"This upcoming National Stripes Holiday will be terrible for most J. Crew stores as it will be the last day for most of the full time staff. J. Crew did not offer severance packages to everyone impacted. J. Crew also gave an average of 2 days to let...
read more",2018-03-29,1
J. Crew Group Inc.,JCG,We are in trouble,"It looks that situation is more dire at J. Crew than I thought. USA Today has a list of companies on a death watch for 2018, and we are on it, near the top as well. Keeping my fingers crossed this is just alarmist journalism...
read more",2018-01-04,1
J. Crew Group Inc.,JCG,What stores will be closing down?,News says that now 50 stores will be closing. Does anyone know what locations are slated?,2017-11-29,0
J. Crew Group Inc.,JCG,Mickey Drexler stepping down July 2017,Stepping down as CEO of @jcrew and @madewell in July 2017. Guess what will happen once he's gone...,2017-06-05,0
J. Crew Group Inc.,JCG,Not long now,no body text,2017-01-30,1
