company,ticker,title,body,date,replies
Coperion K-Tron,KTII,No cuts...,K-Tron was acquired by Coperion in 2013. No layoffs no updates for now. There was a ton of companies in the industry that merged and layoffs followed.,2018-07-10,0
K-Fed Bancorp,KFED,Any news here,Very small,2014-06-11,0
K-Sea Transportation Partners L.P.,KSP,Solid and Stable,K-Sea is pretty good,2014-06-11,0
K-Sea Transportation Partners L.P.,KSP,Solid and Stable,K-Sea is pretty good,2014-06-11,0
K-V Pharmaceutical Co.,KVA,"Tough business, tough luck","KV has been struggling in 2013 and 2014, nothing more to add",2014-06-11,0
K12 Inc.,LRN,"Trump, DeVos, and K-12",How will the Trump administration's new Department of Education affect K-12? https://www.linkedin.com/pulse/educational-corruption-devos-devolution-dahn-shaulis?published=u,2016-12-01,1
K12 Inc.,LRN,K12 Layoffs and 2016 Prospects,Do you think that we'll be doing better in 2016 and that there will be no layoffs or any other RIFs?,2015-07-14,0
KAR Auction Services Inc.,KAR,KAR Auction Services Layoffs 2019,Do you think there may be small/medium/large KAR Auction Services Layoffs in 2019?,2018-10-30,1
KAR Auction Services Inc.,KAR,KAR Auction Services Layoffs 2018,"Last year all was good, now all of the sudden, people are complaining and there are rumors about layoffs here in Carmel.",2017-10-15,0
KAR Auction Services Inc.,KAR,KAR Auction Services Layoffs 2017,This is going to be a short note - I heard there will be layoffs in our corporate office in Carmel.,2016-11-23,0
KAR Auction Services Inc.,KAR,KAR Auction Services Layoffs 2016,What is the likelihood of KAR Auction Services layoffs in Carmel in 2016? Please let me know if you have any information.,2015-11-05,0
KB Home,KBH,More layoffs at KB,More?,2015-06-19,1
KBR,KBR,KBR Layoffs 2019,How likely is that there will be KBR Layoffs in 2019?,2018-10-30,0
KBR,KBR,Good,Energo is doing well now thanks to half of its staff losing their jobs in 2016. The company is never the same as it used to be when independent. The KBR take-over is nearly completed.,2018-09-18,0
KBR,KBR,Positions Info,"Please share and post any information you might have regarding KBR Postal jobs (For example, Clerks, Mail processors, Postmaster, or any other positions - also COPE) - I am specifically interested in any postings they may have in Iraq or Afghanistan...
read more",2018-09-18,0
KBR,KBR,Birmingham Layoffs 2018,"If you are in Birmingham you know everything you need to know about layoffs. Things are going from bad to worse and it'll not improve any time soon... I miss Bill Utt - at least he came by and talked to folks, shook their hands, etc....Engaged in...
read more",2018-02-28,2
KBR,KBR,KBR Layoffs 2018,There is some anxiety about possible job cuts in Houston.,2017-10-15,1
KBR,KBR,"KBR Vacation, Paid Time Off Corporate Policy - NO PAID HOLIDAY","Just be careful with KBR, that's all I got to say on the topic",2017-06-26,0
KBR,KBR,Skills & bonuses not...,If you happen to be a skilled craftsman (Main./Mech.) You haven't had a bonus in 5-6 years. Yes I said years. Bust your hump and in lieu of a bonus you get an ROF three weeks before Christmas.,2017-04-05,4
KBR,KBR,hello folks,hello folks,2017-03-17,0
KBR,KBR,Do we still get bonus this year?,Or it is only reserved for certain grade level and higher? I'm guessing level 60 and higher.,2017-03-10,3
KBR,KBR,KBR Layoffs 2017,Someone please confirm RIFs in Houston.,2016-11-23,12
KBR,KBR,KBR Bankruptcy,Any updates here?,2016-08-25,17
KBR,KBR,KBR GETING READY TO FILE BANKRUPTCY. STILL UNDECIDED IF CHAPTER 7 OR 11. NO BACKLOG FOR NEXT 3 YEARS. KBR DOWNTOWN HAS LET 1200 GO.,"What a shame what has happened to KBR, It all comes down to the management and leadership of the company. Their lack of billable work, coupled with the downturn of the industry has caused a large number of people to lose their jobs. The downtown...
read more",2016-06-09,10
KBR,KBR,KBR / Energo Layoffs 2016,"During Jan 2016, 10% (4 engineers) were laid-off from the Energo office.",2016-02-03,2
KBR,KBR,KBR Layoffs 2016,What is the likelihood of KBR layoffs in Houston in 2016? Please let me know if you have any information.,2015-11-05,21
KBR,KBR,All of America missed it,"KBR laid off several hundred people in Raleigh, Wilmington, Birmingham and Houston over the period from Dec 2014 through date. They exited power, mining and minerals and real estate industries.",2015-03-04,2
KBR,KBR,kbr layoffs 12/11/14,The layoffs are happening right now,2014-12-11,1
KBR,KBR,"Traditionally, being spread across multiple business lines, like KBR is - is a good thing. One biz line can compensate when another is slow.",no body text,2014-02-26,0
KBR,KBR,Bill Utt’s departure is a signal for layoffs,"Bill Utt’s departure is a signal for all of us. We all know layoffs are coming, there is quite bit of fat that can be trimmed. I think we are spread over too many things and over too many locations: engineering, construction, energy, hydrocarbon...
read more",2013-12-18,7
KBS Fashion Group Ltd.,KBSF,Contact,http://ir.kbsfashion.com Hong’ri (FuJian) sports goods Co.Ltd. ADD: Fujian Shishi Yupu industrial area New Style Block Tel: 0595-8850 7988 Fax: 0595-8885 3196 National customer service hotline : 4008 892 678 Postcode :362700,2017-10-17,0
KCG Holdings Inc.,KCG,Layoffs at KCG,"120 employees are expected to be laid off on Monday, May 22nd, 2017 as an effort to cut costs ahead of the acquisition by Virtu.",2017-05-19,4
KHD Humboldt Wedag International Ltd.,KHD,"Layoffs at KHD Humboldt Wedag, Norcross, GA 30092, USA","On 12/15/2016, the new owners of KHD, the Chinese government owned corporation, AVIC, laid off over half of the employees (29 of 57 employees in Norcross office) due to Lack of Work. The laid off employees consisted of older near retirement employees...
read more",2017-08-14,0
KKR & Co. L.P.,KKR,KKR's Portfolio (Full Listing as of 9/2018),"Associated Partners Headquarters are located in Philadelphia, PA, USA Acquired by KKR in 2013 Academy Sports + Outdoors Headquarters are located in Katy, TX, USA Acquired by KKR in 2011 ACCO Material Handling Solutions Headquarters are located in...
read more",2018-10-17,0
KKR & Co. L.P.,KKR,KKR's Portfolio (Full Listing as of 9/2018) (cont..),"Ambea AB Headquarters are located in Stockholm, Sweden Acquired by KKR in 2010 PRA Health Sciences Headquarters are located in Raleigh, NC, USA Acquired by KKR in 2013 Acciona Energia Internacional Headquarters are located in Madrid, Spain Acquired...
read more",2018-10-17,0
KKR & Co. L.P.,KKR,KKR's Portfolio (Full Listing as of 9/2018) (cont.),"Cohera Medical Headquarters are located in Raleigh, NC, USA Acquired by KKR in 2015 Coherus BioSciences Headquarters are located in Redwood City, CA, USA Acquired by KKR in 2014 Ebb Therapeutics (fka Cerêve) Headquarters are located in Oakmont, PA...
read more",2018-10-17,0
KKR & Co. L.P.,KKR,KKR Keeps Zombie Colleges Going,"KKR keeps zombie colleges like EDMC (Art Institutes) and Laureate (Walden University) going. These predatory companies should have failed, but with KKR capital and loads of government funds, these subprime schools are still standing...
read more",2016-09-17,1
KKR & Co. L.P.,KKR,KKR is responsible for many job cuts,"KKR buys companies and makes them lay off thousands of people. It's called capitalism, things work that way",2015-08-13,0
KLA-Tencor Corp.,KLAC,Are there going to be layoffs as a result of the merger?,no body text,2015-10-21,5
KLA-Tencor Corp.,KLAC,Layoffs 2015,"The recurring theme these days in semi is consolidation and cost reduction. with the recent reorg announcement it's clear that layoffs are inevitable. good luck to all intending to stay in this industry. for young people entering the field - you...
read more",2015-04-24,1
KLA-Tencor Corp.,KLAC,KLA Tencor Layoffs 2015,Do you have any info on the planned reorg and subsequent layoffs at KLA Tencor?,2015-04-17,5
KLA-Tencor Corp.,KLAC,"Layoffs at KLA-Tencor on Thursday Jan 15 across many departments, product divisions, operations, IT, etc. Numbers not known.",no body text,2015-01-18,2
KLA-Tencor Corp.,KLAC,KLA to downsize in 2014,"That's what I heard, this is more or less done deal. You will have to polish your resume and start to look for job - please do it right now. If you are with the IT group you will certainly be affected.",2014-02-24,1
KLX Inc.,KLXI,Rock Springs Updates,Do you know what's happening in Rock Springs right now? Do they still hire a lot. Thanks.,2018-11-27,0
KLX Inc.,KLXI,Did KLX aerospace in Carson let people go last week?,no body text,2018-02-28,0
KLX Inc.,KLXI,rock springs klx employees or should i say Richards family can not be protected any more. Welcome to the real world.,no body text,2016-03-29,2
KLX Inc.,KLXI,You all deserved it after all those fk ups on your 'tests' in S Tx,no body text,2016-01-25,2
KLX Inc.,KLXI,Laredo tx,They just let us go and shut the whole yard down 25 employees and managers,2016-01-15,2
KLX Inc.,KLXI,horroble company,no body text,2015-12-08,3
KT Corp. ADS,KT,The whole industry is in shambles,It's hard to make money nowdays,2014-07-22,0
Kadant Inc.,KAI,"I think are going well for paper in pulp in genera, so Kadant is doing well","I think are going well for paper in pulp in genera, so Kadant is doing well. I think that demand for condensate pump systems and steam specialties is particulary strong... Rotaru joints and unions/union accessories are doing well too. Overall Kadant...
read more",2012-07-14,0
Kaiser Aluminum Corp.,KALU,"This is an old news, Kaiser is actually hiring right now not only in California","This is an old news, Kaiser is actually hiring right now not only in California. Aluminum business is cyclical and is connected to manufacturing, infrastructure and housing (among others) and KaiserAluminum is not immune to cyclical shocks, things...
read more",2012-07-14,0
Kaiser Aluminum Corp.,KALU,Cannot find a page for Kaiser Permanente so I am posting it here even unrelated (except the name): Kaiser Permanente says it is...,"Cannot find a page for Kaiser Permanente so I am posting it here even unrelated (except the name): Kaiser Permanente says it is eliminating 1,850 jobs in California as the Oakland health care giant faces a drop in subscribers and shrinking...
read more",2009-08-19,0
Kaman Corp.,KAMN,Kaman corporation layoffs,"No updates, huh... I was laid off last year, there were about two dozen of us let go in Bloomfield.",2018-10-25,0
Kaman Corp.,KAMN,September 2017 layoffs at Kaman,"Close to 50 people will be let go from commercial components division in Bloomfield, with as many transferred to another facility. I wish they'd just come out and call it what it is, layoffs, not restructuring. Hopefully, there will be no additional...
read more",2017-09-10,1
Kaman Corp.,KAMN,JUNE '10: Aerospace manufacturer Kaman Corp,"JUNE '10: Aerospace manufacturer Kaman Corp. warned that its results for the current quarter will come in under expectations because the company has suspended production of a certain type of bomb fuze for the Air Force. Kaman said a component for the...
read more",2010-07-14,0
Kansas City Life Insurance Co.,KCLI,Great company,"No cuts, growth, good management",2014-06-11,0
Kansas City Life Insurance Co.,KCLI,KCLI is a good company to work for - there are no layoffs are the company is paying well and taking good care of it's employees - I would...,KCLI is a good company to work for - there are no layoffs are the company is paying well and taking good care of it's employees - I would recommend it to anyone who wants to have a stable and long lasting career.,2012-12-04,0
Kansas City Southern,KSU,2014 Rumors,Any layoff rumors lately? I hear that the fourth quarter might be interesting at KCS,2014-06-11,0
KapStone Paper & Packaging Corp.,KS,KAPSTONE SEVERANCE PAY,What is a typical or average severance pay?,2015-06-07,4
KapStone Paper & Packaging Corp.,KS,"What kind of exit package are they getting, does any one know",no body text,2015-06-06,0
KapStone Paper & Packaging Corp.,KS,"I see Longview is laying off 33 hourly, I work at the charleston mill, 24 salary are being layed off by first of June. Praying for you all.",no body text,2015-06-06,3
KapStone Paper & Packaging Corp.,KS,"About: Headquartered in Northbrook, Illinois, KapStone is a leading American maker of unbleached Kraft paper items and linerboard","About: Headquartered in Northbrook, Illinois, KapStone is a leading American maker of unbleached Kraft paper items and linerboard. Kapstone the parent company of KapStone Kraft Paper Corporation, which includes paper mills in Roanoke Rapids and North...
read more",2010-07-14,0
KapStone Paper & Packaging Corp.,KS,"The orders are down 22 percent, this should indicate that kapstone needs to eliminate a quarter of the workforce","The orders are down 22 percent, this should indicate that kapstone needs to eliminate a quarter of the workforce",2009-06-22,0
Kate Spade & Co.,KATE,Kate Spade Brand,"It's fading. When something is fading and is going down, people complain. The more people complain, the more people leave. It's a Kate Spade's viscous cycle.",2016-10-13,1
Kayne Anderson Energy Development Co.,KED,"Any news here, i hear rumors but there is no communication from the management and we are left in dark","Any news here, i hear rumors but there is no communication from the management and we are left in dark. I have two small girls that i have to solely provide for and i",2009-05-21,0
Kearny Financial Corp.,KRNY,Kearny's back,"Things are improving, no layoffs at Kearny - things can be much worse.",2014-06-11,0
Keegan Resources Inc,KGN,Keegan's riding the wave,"However, things are slowing down a bit - good luck to all of us here at Keegan",2014-06-11,0
Keithley Instruments Inc.,KEI,Keithley has seen better days,Do not want to sound negative but I have a feeling we might have layoffs soon,2014-06-11,0
Kellwood Co.,KWD,Nothing new at Kellwood,"No layoffs, just bad management",2014-06-11,0
Kelly Services Inc.,KELYA,NEW US Ops VP is swinging her Axe,"Big old trees are falling left and right branches will be closing, no longer a player in the general staffing business.",2019-02-07,2
Kelly Services Inc.,KELYA,Kelly Layoffs 2015,Anyone has more info? What about Kelly layoffs in 2016?,2015-08-27,0
Kelly Services Inc.,KELYA,Kelly Services is going down - massive layoffs August 25th 2015 - Not a healthy company,no body text,2015-08-27,2
Kelly Services Inc.,KELYA,Kelly Services Layoffs,I think 2015 will see some offices close,2014-11-03,1
Kelly Services Inc.,KELYA,Kelly's numbers are doing up,Time of growth - Kelly Services is as strong as it ever was,2014-06-11,0
Kemet Corp.,KEM,Simpsonville layoffs,"Last year we terminated at least 200 people, a big cut for a small company",2014-06-11,0
Kemet Corp.,KEM,"No issues at Kemet - the company offers premium quality products focusing on capacitor technologies across tantalum, film, aluminum, ceramic...","No issues at Kemet - the company offers premium quality products focusing on capacitor technologies across tantalum, film, aluminum, ceramic, electrolytic and paper dielectrics... A fine niche market for Kemet and the company is doing well for...
read more",2012-07-14,0
Kenexa Corp.,KNXA,"Guys, Kenexa helps other companies hire people, why would they lay off anyone, they are in business of managing staff - they should know what...","Guys, Kenexa helps other companies hire people, why would they lay off anyone, they are in business of managing staff - they should know what's the proper load of resources",2012-07-14,0
Kenexa Corp.,KNXA,"Any news on kenexa, the latest i heard is that some folks in it were let go and that another wave of layoffs is coming in july timeframe","Any news on kenexa, the latest i heard is that some folks in it were let go and that another wave of layoffs is coming in july timeframe. I also think that beside tech guys our marketing may be affected and that a number of folks will be let go.",2009-05-21,0
Kennametal Inc.,KMT,Kennametal Layoffs 2019,What's your prediction as it relates to the possibility of Kennametal Layoffs in 2019?,2018-10-30,1
Kennametal Inc.,KMT,Kennametal Layoffs 2018,"No layoffs, yes layoffs, no layoffs, yes layoffs - SO!!! What's correct, there is a ton of rumors about layoffs here in Latrobe.",2017-10-15,1
Kennametal Inc.,KMT,Is business picking up at KennaMetal?,"Thoughts? No layoffs in 2017, right? All metal companies are up, right?",2017-05-24,0
Kennametal Inc.,KMT,Fallon,"What will happen to the plant in Fallon? Why not force workers who are over the retirement years to retire, as most here in Fallon just sit around do nothing. Reduce the salary of them Group and regular supervisors too they just there wasting space",2016-12-01,0
Kennametal Inc.,KMT,Kennametal Layoffs 2017,I wanted to ask you guys here if you heard about any possible layoffs in Latrobe.,2016-11-23,0
