company_name,link,ticker
Coperion K-Tron,https://www.thelayoff.com//k-tron-international,KTII
K & B Machining,https://www.thelayoff.com//k-and-b-machining,
K Bro Linen Inc,https://www.thelayoff.com//k-bro-linen,KBL
K Logix,https://www.thelayoff.com//k-logix,
K-Fed Bancorp,https://www.thelayoff.com//k-fed-bancorp,KFED
K-Sea Transportation Partners L.P.,https://www.thelayoff.com//k-sea-transportation-partners,KSP
K-Swiss Inc.,https://www.thelayoff.com//k-swiss,KSWS
K-Tec,https://www.thelayoff.com//k-tec,
K-V Pharmaceutical Co.,https://www.thelayoff.com//k-v-pharmaceutical,KVA
K-VA-T Food Stores,https://www.thelayoff.com//k-va-t-food-stores,
K12 Inc.,https://www.thelayoff.com//k12,LRN
K2M Group Holdings Inc.,https://www.thelayoff.com//k2m-group-holdings,KTWO
K4 Architecture,https://www.thelayoff.com//k4-architecture,
K4 Solutions,https://www.thelayoff.com//k4-solutions,
KAB Laboratories,https://www.thelayoff.com//kab-laboratories,
KAR Auction Services Inc.,https://www.thelayoff.com//kar-auction-services,KAR
KAR Holdings,https://www.thelayoff.com//kar-holdings,
KB Home,https://www.thelayoff.com//kb-home,KBH
KBL Healthcare Acquisition Corp. III,https://www.thelayoff.com//kbl-healthcare-acquisition-iii,KHA
KBL Merger Corp Un,https://www.thelayoff.com//kbl-merger-corp-un,KBLMU
KBR,https://www.thelayoff.com//kbr,KBR
KBS Fashion Group Ltd.,https://www.thelayoff.com//kbs-fashion-group,KBSF
KBTS Technologies,https://www.thelayoff.com//kbts-technologies,
KBW Inc.,https://www.thelayoff.com//kbw,KBW
KCAP Financial Inc.,https://www.thelayoff.com//kcap-financial,KCAP
KCG Holdings Inc.,https://www.thelayoff.com//kcg-holdings,KCG
KEEPRS,https://www.thelayoff.com//keeprs,
KEYW Holding Corp.,https://www.thelayoff.com//keyw-holding,KEYW
KHD Humboldt Wedag International Ltd.,https://www.thelayoff.com//khd-humboldt-wedag-international,KHD
KHN Solutions,https://www.thelayoff.com//khn-solutions,
KIRA,https://www.thelayoff.com//kira,
KKR & Co. L.P.,https://www.thelayoff.com//kkr-and-co,KKR
KKR Financial Holdings LLC,https://www.thelayoff.com//kkr-financial-holdings-llc,KFN
KKR Real Estate Finance Trust,https://www.thelayoff.com//kkr-real-estate-finance-trust,KREF
KLA-Tencor Corp.,https://www.thelayoff.com//kla-tencor,KLAC
KLM Construction,https://www.thelayoff.com//klm-construction,
KLX Inc.,https://www.thelayoff.com//klx,KLXI
KMG Chemicals Inc.,https://www.thelayoff.com//kmg-chemicals,KMG
KPMG LLP,https://www.thelayoff.com//kpmg,
