company_name,link,ticker
Ericsson,https://www.thelayoff.com//l-m-ericsson-telephone,ERIC
L & H Industrial,https://www.thelayoff.com//l-and-h-industrial,
L Brands,https://www.thelayoff.com//limited-brands,LTD
L V Stabler Memorial Hospital,https://www.thelayoff.com//l-v-stabler-memorial-hospital,
L'Anse Area Schools,https://www.thelayoff.com//l-anse-area-schools-school-district,
L'Anse Creuse Public Schools,https://www.thelayoff.com//l-anse-creuse-public-schools-school-district,
L-1 Identity Solutions Inc.,https://www.thelayoff.com//l-1-identity-solutions,ID
L.B. Foster Co.,https://www.thelayoff.com//l-b-foster,FSTR
L.F. Driscoll,https://www.thelayoff.com//lf-driscoll,
L.P.R. Construction,https://www.thelayoff.com//lpr-construction,
L.S. Starrett Co.,https://www.thelayoff.com//l-s-starrett,SCX
L3 Technologies,https://www.thelayoff.com//l-3-communications-holdings,LLL
LAB Research Inc.,https://www.thelayoff.com//lab-research,LRI
LAC and USC Medical Center,https://www.thelayoff.com//lac-and-usc-medical-center,
LAI International,https://www.thelayoff.com//lai-international,
LAN Airlines S.A.,https://www.thelayoff.com//lan-airlines,LFL
LCA-Vision Inc.,https://www.thelayoff.com//lca-vision,LCAV
LCC International Inc.,https://www.thelayoff.com//lcc-international,LCCI
LCNB Corp.,https://www.thelayoff.com//lcnb,LCNB
LDK Solar Co. Ltd.,https://www.thelayoff.com//ldk-solar,LDK
LDR Holding Corp.,https://www.thelayoff.com//ldr-holding,LDRH
LECG Corp.,https://www.thelayoff.com//lecg,XPRT
LEVEL5,https://www.thelayoff.com//level5,
LG,https://www.thelayoff.com//lg,
LG Philips LCD Co. Ltd.,https://www.thelayoff.com//lg-philips-lcd,LPL
LGC Associates,https://www.thelayoff.com//lgc-associates,
LGI Development,https://www.thelayoff.com//lgi-development,
LGI Homes Inc.,https://www.thelayoff.com//lgi-homes,LGIH
LGL Group Inc.,https://www.thelayoff.com//lgl-group,LGL
LHC Group,https://www.thelayoff.com//lhc-group,LHCG
LHR,https://www.thelayoff.com//lhr,
LHR Technologies,https://www.thelayoff.com//lhr-technologies,
LJ International Inc.,https://www.thelayoff.com//lj-international,JADE
LKQ Corp.,https://www.thelayoff.com//lkq,LKQ
LL Bean,https://www.thelayoff.com//ll-bean,
LL&E Royalty Trust,https://www.thelayoff.com//ll-and-e-royalty-trust,LRT
LMI Aerospace Inc.,https://www.thelayoff.com//lmi-aerospace,LMIA
LML Payment Systems Inc.,https://www.thelayoff.com//lml-payment-systems,LMLP
LMR Solutions,https://www.thelayoff.com//lmr-solutions,
LMS Medical Systems Inc.,https://www.thelayoff.com//lms-medical-systems,LMZ
LNB Bancorp Inc.,https://www.thelayoff.com//lnb-bancorp,LNBB
LOUD Technologies Inc.,https://www.thelayoff.com//loud-technologies,LTEC
LPCiminelli,https://www.thelayoff.com//lpciminelli,
LPL Financial Holdings Inc.,https://www.thelayoff.com//lpl-financial-holdings,LPLA
LPL Investment Holdings,https://www.thelayoff.com//lpl-investment-holdings,
LRAD Corp.,https://www.thelayoff.com//lrad,LRAD
LRR Energy L.P.,https://www.thelayoff.com//lrr-energy,LRE
LSB Corp.,https://www.thelayoff.com//lsb,LSBX
LSB Financial Corp.,https://www.thelayoff.com//lsb-financial,LSBI
LSB Industries Inc.,https://www.thelayoff.com//lsb-industries,LXU
LSC Communications,https://www.thelayoff.com//lsc-communications,
LSI Corp.,https://www.thelayoff.com//lsi,LSI
LSI Industries Inc.,https://www.thelayoff.com//lsi-industries,LYTS
LSInc,https://www.thelayoff.com//lsinc,
LT Environmental,https://www.thelayoff.com//lt-environmental,
LTC Financial Partners,https://www.thelayoff.com//ltc-financial-partners,
LTC Properties Inc.,https://www.thelayoff.com//ltc-properties,LTC
LTC Trading,https://www.thelayoff.com//ltc-trading,
LTX Corp.,https://www.thelayoff.com//ltx,LTXX
La Bonita Ole,https://www.thelayoff.com//la-bonita-ole,
La Canada Unified School District,https://www.thelayoff.com//la-canada-unified-school-district,
La Center School District,https://www.thelayoff.com//la-center-school-district,
La Conner School District,https://www.thelayoff.com//la-conner-school-district,
La Crescent-Hokah School District,https://www.thelayoff.com//la-crescent-hokah-school-district,
La Crosse County,https://www.thelayoff.com//la-crosse-wi,
La Crosse Litho Supply,https://www.thelayoff.com//la-crosse-litho-supply,
La Crosse School District,https://www.thelayoff.com//la-crosse-school-district,
La Farge School District,https://www.thelayoff.com//la-farge-school-district,
La Fargeville Central School District,https://www.thelayoff.com//la-fargeville-central-school-district,
La Feria Independent School District,https://www.thelayoff.com//la-feria-isd-school-district,
La Gloria Independent School District,https://www.thelayoff.com//la-gloria-isd-school-district,
La Grande School District 1,https://www.thelayoff.com//la-grande-sd-1-school-district,
La Grange Independent School District,https://www.thelayoff.com//la-grange-isd-school-district,
La Grange School District 102,https://www.thelayoff.com//la-grange-sd-102-school-district,
La Grange School District 105 South,https://www.thelayoff.com//la-grange-sd-105-south-school-district,
La Habra City Elementary School District,https://www.thelayoff.com//la-habra-city-elementary-school-district,
La Harpe Central School District 347,https://www.thelayoff.com//la-harpe-csd-347-school-district,
La Honda-Pescadero Unified School District,https://www.thelayoff.com//la-honda-pescadero-unified-school-district,
La Jolla Pharmaceutical Co.,https://www.thelayoff.com//la-jolla-pharmaceutical,LJPC
La Joya Independent School District,https://www.thelayoff.com//la-joya-isd-school-district,
"La Mancha Resources, Inc.",https://www.thelayoff.com//la-mancha-resources,LMA
La Mesa-Spring Valley,https://www.thelayoff.com//la-mesa-spring-valley-school-district,
La Moille CUSD 303,https://www.thelayoff.com//la-moille-cusd-303-school-district,
La Monte R-Iv School District,https://www.thelayoff.com//la-monte-r-iv-school-district,
La Palma Intercommunity Hospital,https://www.thelayoff.com//la-palma-intercommunity-hospital,
La Paz County,https://www.thelayoff.com//la-paz,
La Paz Regional Hospital,https://www.thelayoff.com//la-paz-regional-hospital,
La Plata County,https://www.thelayoff.com//la-plata,
La Plata R-Ii,https://www.thelayoff.com//la-plata-r-ii-school-district,
La Porte Hospital,https://www.thelayoff.com//la-porte-hospital,
La Porte Independent School District,https://www.thelayoff.com//la-porte-isd-school-district,
La Pryor Independent School District,https://www.thelayoff.com//la-pryor-isd-school-district,
La Puente Valley ROP School District,https://www.thelayoff.com//la-puente-valley-rop-school-district,
La Quinta Holdings Inc.,https://www.thelayoff.com//la-quinta-holdings,LQ
La Roche College,https://www.thelayoff.com//lrc,
La Salle County,https://www.thelayoff.com//la-salle-tx,
La Salle Esd 122,https://www.thelayoff.com//la-salle-esd-122-school-district,
La Salle Parish,https://www.thelayoff.com//la-salle-parish-la,
La Salle University,https://www.thelayoff.com//lsu,
La Salle-Peru Twp HSD 120,https://www.thelayoff.com//la-salle-peru-twp-hsd-120-school-district,
La Sierra University,https://www.thelayoff.com//la-sierra,
La Vega Independent School District,https://www.thelayoff.com//la-vega-isd-school-district,
La Vernia Independent School District,https://www.thelayoff.com//la-vernia-isd-school-district,
La Veta School District Re-2,https://www.thelayoff.com//la-veta-sd-re-2-school-district,
La Villa Independent School District,https://www.thelayoff.com//la-villa-isd-school-district,
La-Z-Boy Inc.,https://www.thelayoff.com//la-z-boy,LZB
LaBranche & Co. Inc.,https://www.thelayoff.com//labranche-and,LAB
LaGrange College,https://www.thelayoff.com//lagrange,
LaGrange County,https://www.thelayoff.com//lagrange-in,
LaMoure County,https://www.thelayoff.com//lamoure,
LaPorte Bancorp Inc.,https://www.thelayoff.com//laporte-bancorp,LPSB
LaPorte County,https://www.thelayoff.com//laporte,
LaSalle Hotel Properties,https://www.thelayoff.com//lasalle-hotel-properties,LHO
LabConnect,https://www.thelayoff.com//labconnect,
LabCorp,https://www.thelayoff.com//labcorp,
LabCorp,https://www.thelayoff.com//laboratory-of-america-holdings,LH
Labarge Inc.,https://www.thelayoff.com//labarge,LB
Labatt Breweries of Canada,https://www.thelayoff.com//labatt-breweries-of-canada,
Labette County,https://www.thelayoff.com//labette,
Labette County School District,https://www.thelayoff.com//labette-county-school-district,
Labette Health,https://www.thelayoff.com//labette-health,
Labopharm Inc.,https://www.thelayoff.com//labopharm,DDS
Labor Staffing,https://www.thelayoff.com//labor-staffing,
LaborLawCenter,https://www.thelayoff.com//laborlawcenter,
LaborWorks,https://www.thelayoff.com//laborworks,
Laboratory Institute of Merchandising,https://www.thelayoff.com//lim,
Labrador Iron Mines Holdings Limited,https://www.thelayoff.com//labrador-iron-mines-holdings,LIM
Labrae Local School District,https://www.thelayoff.com//labrae-local-school-district,
Lac Du Flambeau #1 School District,https://www.thelayoff.com//lac-du-flambeau-1-school-district,
Lac Qui Parle Valley,https://www.thelayoff.com//lac-qui-parle-valley-school-district,
