company,ticker,title,body,date,replies
M&F Worldwide Corp.,MFW,MFW rocks,"One of the best companies around, they can pay better but in 6 months here at MFW I learned a lot",2014-02-07,0
M&T Bank Corp.,MTB,M&T Bank Layoffs 2019,"If the market makes a turn soon, do you think there will be M&T Bank Layoffs in 2019?",2018-10-30,0
M&T Bank Corp.,MTB,M&T Bank Layoffs 2018,Let's see what the rest of this year brings - or maybe next year - RIFs maybe? Here in Buffalo.,2017-10-15,0
M&T Bank Corp.,MTB,M&T Bank Layoffs 2017,I need to decide if I'll stay around - need a decision ASAP and cannot make a mistake. I hear that there might be layoffs in Buffalo.,2016-11-23,0
M&T Bank Corp.,MTB,M&T Bank Layoffs 2016,What is the likelihood of M&T Bank layoffs in Buffalo in 2016? Please let me know if you have any information.,2015-11-05,0
M&T Bank Corp.,MTB,"M&T has major issues, may be downsizing","I left in 2010, the bank had major issues and I did not trust leadership - I think they are downsizing right now",2014-02-07,0
M-wave Inc.,MWAV,MWAVE Downsizing,"I am considering applying with M Wave but I heard some people were let go, any truth in this - not sure if we have M Wave insders and people familiar with the company and downsizing here.",2014-02-07,0
M.D.C. Holdings Inc.,MDC,MDC Has major issues,"I would not go working there, I do hear they pay well",2014-02-07,0
M/A-COM Technology Solutions Holdings Inc.,MTSI,MACOM layoffs 2018,"Lansing is being hit, around 50 people are being laid off. I wonder if this will be limited to just Lansing or if we'll be learning about additional layoffs in other locations in the following several weeks...
read more",2018-10-25,0
M/A-COM Technology Solutions Holdings Inc.,MTSI,Divestiture of ARM server/x-gene business,Did macon find a buyer for applied micro ARM-server/x-gene business?,2017-05-08,3
M/A-COM Technology Solutions Holdings Inc.,MTSI,Lowell [email protected] 2016,"What is the likelihood of MACOM layoffs in Lowell, MA? Please let me know if you have any information.",2016-04-05,0
M/I Homes Inc.,MHO,MIH Downsizes,Everyone in industry is cutting jobs right now,2014-02-07,0
MAG Silver Corp.,MVG,MAG Silver and The Prices,Prices are going down and MAG will be cutting staff - downsizing is a common word now days in the whole industry,2014-02-07,0
MAG Silver Corp.,MVG,"Does anybody know their location, is it only in Canada? Any openings?",no body text,2013-12-16,0
MAP Pharmaceuticals Inc.,MAPP,MAP can be doing better,"If you compare us with our peers we can and should be doing SOOOOO much better - now, we do not have layoffs like some companies (I hear Merck is letting thousands go)",2014-02-07,0
MB Financial Inc.,MBFI,It's all over the news,"Every single media outlet is Michigan is covering the story now. They cannot hide things any more. I wish if the journos were to be more courageous and dig below the surface - they would see an ocean of mismanagement and plain stupidity, and yes...
read more",2018-04-30,0
MB Financial Inc.,MBFI,MB Financial layoffs 2018,"Huge layoffs at MB Financial starting on July 2. The entire national mortgage origination business is closing, which is leaving close to 500 people without a job. From what I understand, Michigan will be hit the hardest, but closures in other parts...
read more",2018-04-27,0
MBF Healthcare Acquisition Corp.,MBH,Smal company,"Very small, very dynamics, no layoffs but a lot of attrition",2014-02-07,0
MBIA Inc.,MBI,Any layoff updates for 2017 and 2018 for MBIA,Do you know if they are laying off people right now?,2017-11-01,0
MBIA Inc.,MBI,MBIA Rocks and Takes Good Care of People,"Do not be concerned about MBIA, I've been here for 5 years, loved every day of it. Good mentors, no downsizing and a lots of growth.",2014-02-07,0
MBIA Inc.,MBI,horrible situation - many long timers are being let go because they are compensated more - it's a horrible situation at any rate,horrible situation - many long timers are being let go because they are compensated more - it's a horrible situation at any rate,2013-08-07,0
MCAN Mortgage Corporation,MKP,Mortgage Industry prediction for 2019,What do you think will happen to many mortgage companies in 2019? How about MCAN?,2018-10-08,0
MDC Partners Inc.,MDCA,MDC is small and cannot be compared to other copanies,"Do not worry, if you are offered a job with MDC, accept it and do not be worried with job cuts",2014-02-07,0
MDI Inc.,MDII,MDI - an enigma,"A weird company, something they hire, something they fire - which is it you tell me - MDI is very quirckly",2014-02-07,0
MDS Inc.,MDZ,MDS is growing,"And no signs of downsizing, you might want to do your research before start trashing this great company",2014-02-07,0
MDU Resources Group Inc.,MDU,MDU Resources is in dire straits,"I think MDU Resources has issues with cash flow, I am a vendor and the payment is over 20 days late",2014-02-07,0
MEDecision Inc.,MEDE,MEDecision to downsize in 2014,"Major cuts in works, get ready - get your resume refreshed, start to network",2014-02-07,0
MEDecision Inc.,MEDE,There were big cuts at the beginning of 2013,There were big cuts at the beginning of 2013. I think over 100 people.,2013-09-27,0
MEDecision Inc.,MEDE,Many were let go last week,Many were let go last week,2013-01-20,0
MEDecision Inc.,MEDE,"It's done, 83 people laid off mostly from development, but most all departments hit","It's done, 83 people laid off mostly from development, but most all departments hit. Many consultants left go also. All positions worker bee level some middle managers and team leads. Last official day of work communicated as 2/1/2013. Count of full...
read more",2012-12-19,0
MEDecision Inc.,MEDE,ANY NEWS? PLEASE? I AM FREAKING OUT!,ANY NEWS? PLEASE? I AM FREAKING OUT!,2012-12-08,0
MEDecision Inc.,MEDE,Aerial - what groups are affected?,Aerial - what groups are affected?,2012-12-04,0
