company,ticker,title,body,date,replies
NACCO Industries Inc.,NC,NACCO to lay off 75 employees,"Layoffs by NACCO at Liberty Fuels mine have been confirmed - 75 people will be losing their jobs... Workers will get two more months, as mandated by WARN. Good luck to those affected!...
read more",2017-08-11,0
NACCO Industries Inc.,NC,NACCO is pretty awesome,But many management issues can be noted here - I think if NACCO improves they will be the best company in the industry,2014-07-22,0
NACCO Industries Inc.,NC,"NACCO Materials Handling Group (NMHG): NACCO Designs, manufactures and sells, services and leases full line of lift trucks under...","NACCO Materials Handling Group (NMHG): NACCO Designs, manufactures and sells, services and leases full line of lift trucks under Hyster and Yale brand names. It operates two wholly owned subsidiaries, NMHG Distribution (Retail group) and NMHG...
read more",2009-06-14,0
NAVTEQ Corp.,NVT,pretty cool co to work for - it's an awesome place to start a career - would recommend,pretty cool co to work for - it's an awesome place to start a career - would recommend,2013-05-11,0
NAVTEQ Corp.,NVT,it's ongoing right now,"it's ongoing right now. cost cutting, reorg and broad staff cuts at navteq...",2011-06-30,0
NBTY Inc.,NTY,Plant closing,NBTY closing plant in Garden Grove California,2017-03-06,0
NBTY Inc.,NTY,Natures bounty formally known as NBTY is closing the whole garden grove facility at the end of April,no body text,2017-03-01,0
NBTY Inc.,NTY,Any news on additional lay-offs in California? The Director and one of the sales personnel was laid off 10/21/14,no body text,2014-10-31,0
NBTY Inc.,NTY,"NBTY, at it again layoffs like crazy, first round of layoffs was 10/20/20144.. everyone is nervous, on pins and needles.The board has no regards","NBTY, at it again layoffs like crazy, first round of layoffs was 10/20/20144.. everyone is nervous, on pins and needles.The board has no regards for saving jobs only saving their bonus and raises..",2014-10-26,1
NBTY Inc.,NTY,6 Facilities down,6 Facilities down. 650 associates to be let go. Announced today. 3/12/13,2013-03-12,1
NBTY Inc.,NTY,18 people laid off this week,18 people laid off this week,2012-12-06,0
NBTY Inc.,NTY,I was let go in September 2011 (Ronkonkoma) - the process was fair and HR was OK throughout,"I was let go in September 2011 (Ronkonkoma) - the process was fair and HR was OK throughout. I went to work for Quantum Medical Imaging here in Ronkonkoma - we are hiring right now, just hit the website and submit the resume if you are affected with...
read more",2012-12-04,1
NBTY Inc.,NTY,It's happening again - no word about layoffs here - this board is useless,It's happening again - no word about layoffs here - this board is useless,2012-12-03,0
NBTY Inc.,NTY,I work in a different area I heard a person fainted and because of stress is any one from the company going to help this person or look...,I work in a different area I heard a person fainted and because of stress is any one from the company going to help this person or look onto helping to reduce stress because I am stressed out,2012-11-16,0
NBTY Inc.,NTY,"Also, what about Holland & Barrett","Also, what about Holland & Barrett",2012-10-22,0
NBTY Inc.,NTY,Confirming California layoffs,Confirming California layoffs,2012-10-22,0
NBTY Inc.,NTY,Lay-offs happened at the nbty garden grove facitity.,Lay-offs happened at the nbty garden grove facitity.,2012-10-21,0
NBTY Inc.,NTY,They laid off over 40 people total this past week.,They laid off over 40 people total this past week.,2012-10-21,0
NBTY Inc.,NTY,All of the 3rd shift supervisors were let go.,All of the 3rd shift supervisors were let go.,2012-10-21,0
NBTY Inc.,NTY,"vitamins please, we are anemic - no growth here..","vitamins please, we are anemic - no growth here... might need minerals too...",2012-09-27,0
NBTY Inc.,NTY,I hope NBTY is up for sale - is that true? I also heard that more than 30 folks were let go this year...,I hope NBTY is up for sale - is that true? I also heard that more than 30 folks were let go this year...,2012-07-19,0
NBTY Inc.,NTY,"I like the products, I hope Nature's doing well.","I like the products, I hope Nature's doing well.",2011-08-29,0
NBTY Inc.,NTY,any news on recent layoffs at nbty?,any news on recent layoffs at nbty?,2010-12-14,0
NBTY Inc.,NTY,Nature's Bounty is a well regarded brand but what else to say when you see sales tank and employee morale in ruins,"Nature's Bounty is a well regarded brand but what else to say when you see sales tank and employee morale in ruins. I have no info on any upcoming layoffs at NBTY but i'd say that give the state of the business we will not be surprised to see deep...
read more",2009-08-02,0
NCI Building Systems Inc.,NCS,PlyGem Layoffs,Any news about layoffs after the Ply Gem merger just happened?,2019-01-25,0
NCI Building Systems Inc.,NCS,NCI......worst company ever,"NCI is the worst place to work, I wouldn't recommend working or buying anything for this company",2018-12-25,0
NCI Building Systems Inc.,NCS,"NCI is doing well, things are picking up big time, the construction is rebounding and jobs are abundant - do not fear, we'll be good again","NCI is doing well, things are picking up big time, the construction is rebounding and jobs are abundant - do not fear, we'll be good again",2013-05-11,0
NCI Inc.,NCIT,No layoffs but...,Each member Rotate on call for 5pm to 6am (for a full month) - some people hate this and they quit.,2018-11-20,0
NCI Inc.,NCIT,"i would recommend that you avoid NCI at all costs, very bad compensation and very bad middle mgmt","i would recommend that you avoid NCI at all costs, very bad compensation and very bad middle mgmt",2013-05-11,0
NCR Corp.,NCR,NCR Global Sales massive Layoff,"Yesterday ( 11/29/2018) , me and over 60 other people were laid off. With the new ""5 days a week"" rule , many people were forced to quit .Those who did not , got their severance package ready. NCR is replacing older, long term employees and replacing...
read more",2018-11-30,9
NCR Corp.,NCR,End of Work from Home,They are looking to force out as many Atlanta people as possible without having to pay severance or unemployment. Cowards!,2018-11-04,3
