company_name,link,ticker
N Line Electric,https://www.thelayoff.com//n-line-electric,
N Pekin & Marquette Hght School District 102,https://www.thelayoff.com//n-pekin-and-marquette-hght-sd-102-school-district,
N-Tron,https://www.thelayoff.com//n-tron,
N. County Regional Occupational Program JPA,https://www.thelayoff.com//n-co-regional-occupational-program-jpa-school-district,
N. Little Rock School District,https://www.thelayoff.com//n-little-rock-school-district,
N.P.Construction of North Florida,https://www.thelayoff.com//npconstruction-of-north-florida,
NACCO Industries Inc.,https://www.thelayoff.com//nacco-industries,NC
NAES College,https://www.thelayoff.com//nc,
NAL Energy Corp,https://www.thelayoff.com//nal-energy-corp,NAE
NASB Financial Inc.,https://www.thelayoff.com//nasb-financial,NASB
NAVTEQ Corp.,https://www.thelayoff.com//navteq,NVT
NB&T Financial Group Inc.,https://www.thelayoff.com//nb-and-t-financial-group,NBTF
NBT Bancorp Inc.,https://www.thelayoff.com//nbt-bancorp,NBTB
NBTY Inc.,https://www.thelayoff.com//nbty,NTY
NCI Building Systems Inc.,https://www.thelayoff.com//nci-building-systems,NCS
NCI Inc.,https://www.thelayoff.com//nci,NCIT
NCO Group,https://www.thelayoff.com//nco-group,
NCR Corp.,https://www.thelayoff.com//ncr,NCR
NCS Multistage Holdings,https://www.thelayoff.com//ncs-multistage-holdings,NCSM
NCSoft,https://www.thelayoff.com//ncsoft,
NDS Group PLC,https://www.thelayoff.com//nds-group-plc,NNDS
NEOS GeoSolutions,https://www.thelayoff.com//neos-geosolutions,
NET Systems,https://www.thelayoff.com//net-systems,
NETGEAR Inc.,https://www.thelayoff.com//netgear,NTGR
NETech,https://www.thelayoff.com//netech,
NEXT Financial Holding,https://www.thelayoff.com//next-financial-holding,
NF Energy Saving Corp.,https://www.thelayoff.com//nf-energy-saving,NFEC
NFF,https://www.thelayoff.com//nff,
NGAS Resources Inc.,https://www.thelayoff.com//ngas-resources,NGAS
NGEx Resources Inc,https://www.thelayoff.com//ngex-resources,NGQ
NGP Software,https://www.thelayoff.com//ngp-software,
NIC Inc.,https://www.thelayoff.com//nic,EGOV
NICE-Systems Ltd.,https://www.thelayoff.com//nice-systems,NICE
NICKLE Electrical Companies,https://www.thelayoff.com//nickle-electrical-companies,
NII Holdings Inc.,https://www.thelayoff.com//nii-holdings,NIHD
NIS Group Co. Ltd.,https://www.thelayoff.com//nis-group,NIS
NL Industries Inc.,https://www.thelayoff.com//nl-industries,NL
NLR,https://www.thelayoff.com//nlr,
"NMCI Group (National Marine Consultants, Inc)",https://www.thelayoff.com//nmci-group,
NMI Holdings Inc.,https://www.thelayoff.com//nmi-holdings,NMIH
NMS Communications Corp.,https://www.thelayoff.com//nms-communications,NMSS
NMT Medical Inc.,https://www.thelayoff.com//nmt-medical,NMTI
NN Inc.,https://www.thelayoff.com//nn,NNBR
NOV Middle East,https://www.thelayoff.com//nov-middle-east,
NOVA Chemicals Corp.,https://www.thelayoff.com//nova-chemicals,NCX
NOW Inc.,https://www.thelayoff.com//now,DNOW
NPS Pharmaceuticals Inc.,https://www.thelayoff.com//nps-pharmaceuticals,NPSP
NPX Semicoductors,https://www.thelayoff.com//npx,NPXI
NQ Mobile Inc. ADS,https://www.thelayoff.com//nq-mobile,NQ
NRDC Acquisition Corp.,https://www.thelayoff.com//nrdc-acquisition,NAQ
NRG Energy Inc.,https://www.thelayoff.com//nrg-energy,NRG
NRG Yield Inc.,https://www.thelayoff.com//nrg-yield,NYLD
NSTAR,https://www.thelayoff.com//nstar,NST
NStar Global Services,https://www.thelayoff.com//nstar-global-services,
NTELOS Holdings Corp.,https://www.thelayoff.com//ntelos-holdings,NTLS
NTH Generation Computing,https://www.thelayoff.com//nth-generation-computing,
NTK Holdings,https://www.thelayoff.com//ntk-holdings,
NTN Buzztime Inc.,https://www.thelayoff.com//ntn-buzztime,NTN
NTR Acquisition Co.,https://www.thelayoff.com//ntr-acquisition,NTQ
NTS Realty Holdings L.P.,https://www.thelayoff.com//nts-realty-holdings,NLP
NTT DoCoMo Inc.,https://www.thelayoff.com//ntt-docomo,DCM
NV5 Holdings Inc.,https://www.thelayoff.com//nv5-holdings,NVEE
NVE Corp.,https://www.thelayoff.com//nve,NVEC
NVIDIA Corp.,https://www.thelayoff.com//nvidia,NVDA
NVIS,https://www.thelayoff.com//nvis,
NVR Inc.,https://www.thelayoff.com//nvr,NVR
NW Freedom,https://www.thelayoff.com//nw-freedom,
NXP,https://www.thelayoff.com//nxp-semiconductors,NXPI
NY Eye and Ear Infirmary,https://www.thelayoff.com//ny-eye-and-ear-infirmary,
NYC Health and Hospitals,https://www.thelayoff.com//nyc-health-and-hospitals,
NYCDOE - New York City Department of Education,https://www.thelayoff.com//nycdoe,
NYMAGIC INC.,https://www.thelayoff.com//nymagic,NYM
NYSE EURONEXT,https://www.thelayoff.com//nyse-euronext,NYX
NYU Hospitals Center,https://www.thelayoff.com//nyu-hospitals-center,
Nabi Biopharmaceuticals,https://www.thelayoff.com//nabi-biopharmaceuticals,NABI
Nabisco,https://www.thelayoff.com//nabisco,
Nabors Industries Ltd.,https://www.thelayoff.com//nabors-industries,NBR
Nabriva Therapeutics,https://www.thelayoff.com//nabriva-therapeutics,NBRV
Naches Valley School District,https://www.thelayoff.com//naches-valley-school-district,
Naco Elementary District,https://www.thelayoff.com//naco-elementary-district-school-district,
Nacogdoches County,https://www.thelayoff.com//nacogdoches,
Nacogdoches Independent School District,https://www.thelayoff.com//nacogdoches-isd-school-district,
Nacogdoches Medical Center,https://www.thelayoff.com//nacogdoches-medical-center,
Nadaburg Unified School District,https://www.thelayoff.com//nadaburg-unified-school-district,
Nader Homes,https://www.thelayoff.com//nader-homes,
Nadler Modular Structures,https://www.thelayoff.com//nadler-modular-structures,
Nahant School District,https://www.thelayoff.com//nahant-school-district,
Nalco Holding Co.,https://www.thelayoff.com//nalco-holding,NLC
Nam Tai Electronics Inc.,https://www.thelayoff.com//nam-tai-electronics,NTE
Nam Tai Property Inc.,https://www.thelayoff.com//nam-tai-property,NTP
Namanny Sports & Entertainment,https://www.thelayoff.com//namanny-sports-and-entertainment,
NameMedia,https://www.thelayoff.com//namemedia,
Namibia Rare Earths Inc,https://www.thelayoff.com//namibia-rare-earths,NRE
Namifiers,https://www.thelayoff.com//namifiers,
Nampa School District,https://www.thelayoff.com//nampa-school-district,
Nana Wall Systems,https://www.thelayoff.com//nana-wall-systems,
Nance County,https://www.thelayoff.com//nance,
NanoString Technologies Inc.,https://www.thelayoff.com//nanostring-technologies,NSTG
NanoViricides Inc.,https://www.thelayoff.com//nanoviricides,NNVC
Nanogen Inc.,https://www.thelayoff.com//nanogen,NGEN
Nanometrics Inc.,https://www.thelayoff.com//nanometrics,NANO
Nanophase Technologies Corp.,https://www.thelayoff.com//nanophase-technologies,NANX
Nanosphere Inc.,https://www.thelayoff.com//nanosphere,NSPH
NantHealth,https://www.thelayoff.com//nanthealth,NH
NantKwest,https://www.thelayoff.com//nantkwest,NK
Nantero,https://www.thelayoff.com//nantero,
Nanticoke Memorial Hospital,https://www.thelayoff.com//nanticoke-memorial-hospital,
Nantucket Cottage Hospital,https://www.thelayoff.com//nantucket-cottage-hospital,
Nantucket County,https://www.thelayoff.com//nantucket,
Nantucket School District,https://www.thelayoff.com//nantucket-school-district,
Nanuet Union Free School District,https://www.thelayoff.com//nanuet-union-free-school-district,
Napa County,https://www.thelayoff.com//napa-ca,
Napa County Office Of Education,https://www.thelayoff.com//napa-county-office-of-education-school-district,
