company,ticker,title,body,date,replies
O'Charley's Inc.,CHUX,How are things over there at O'Charley's,Used to work there,2015-03-05,1
O'Reilly Automotive Inc.,ORLY,O'Reilly Automotive Layoffs 2019,Will there be any O'Reilly Automotive Layoffs in 2019?,2018-10-30,0
O'Reilly Automotive Inc.,ORLY,O'Reilly Automotive Layoffs 2018,Who is to blame at this point in time and you need to know that things can be better but people are talking about job cuts in Springfield.,2017-10-15,1
O'Reilly Automotive Inc.,ORLY,Massive Restructuring in 2017,"Do you think that we may have massive restructuring at O'Reilly (always may lead to layoffs) in 2017 - or in early 2018 - if yes, what do you expect to happen?",2017-06-21,2
O'Reilly Automotive Inc.,ORLY,O'Reilly Automotive Layoffs 2017,"Rumors are flying around, they sometimes can be true and accurate especially when they are talking about layoffs in Springfield.",2016-11-23,0
O'Reilly Automotive Inc.,ORLY,O'Reilly Automotive Layoffs 2016,What is the likelihood of O'Reilly Automotive layoffs in Springfield in 2016? Please let me know if you have any information.,2015-11-05,0
O'Reilly Automotive Inc.,ORLY,List of stores closing in 2015,Do you have a draft or final list of stores that will shut down,2014-09-12,3
O'Reilly Automotive Inc.,ORLY,Is it true that you closed 100 stores,"I am not sure what to tell you, I used to like you but your stores are the same like they were 20 years ago - you got to adjust a bit, do not you",2014-07-22,0
O'Reilly Automotive Inc.,ORLY,stores closing,stores closing,2013-03-17,0
O'Reilly Automotive Inc.,ORLY,"Hard to say what's happening at O'Reilly - some folks are reporting layoffs, small though, mostly in the stores...","Hard to say what's happening at O'Reilly - some folks are reporting layoffs, small though, mostly in the stores...",2012-07-14,0
O2Diesel Corp.,OTD,We are not doing good - got delisted from the stock exchange and moved to the over the counter board - O2Diesel used to be a great company -...,We are not doing good - got delisted from the stock exchange and moved to the over the counter board - O2Diesel used to be a great company - some of our competitors are having issues though.,2012-07-14,0
OGE Energy Corp.,OGE,2016 Layoffs at OGE Energy Corp,Any updates on layoffs in OKC?,2016-03-04,1
OGE Energy Corp.,OGE,OGE will downsize in 2014,"No doubt about that, look, all energy companies are doing the same thing",2014-02-24,0
OMNOVA Solutions Inc.,OMN,"Omnova closing Howard plant, laying off close to 50 people","I know most of you already know this, but I thought I'd post here as well just in case. Omnova Solutions is shutting down Howard plant sometime next year and laying off 48 people in the process...
read more",2018-06-30,0
