company,ticker,title,body,date,replies
PAETEC Holding Corp.,PAET,PAETEC to lay off people,"You hear rumors about this but they never materialize, so, now get ready",2014-07-22,0
PAREXEL International Corp.,PRXL,PAREXEL International Layoffs 2019,If there are PAREXEL International Layoffs in 2019 what departments and positions will be affected the most?,2018-10-30,0
PAREXEL International Corp.,PRXL,PAREXEL International Layoffs 2018,I need to decide if I'll stay around - need a decision ASAP and cannot make a mistake. I hear that there might be layoffs in Waltham.,2017-10-15,1
PAREXEL International Corp.,PRXL,CMA positions off,"I heard that CMA position will be ceased. Not sure if we will be laid off (and if yes, when) or there is chance for becoming CRA/CTS. What do you think?",2017-06-23,0
PAREXEL International Corp.,PRXL,2017 Layoffs,Any news? Looks like it's already happening. Does anyone have any information?,2017-05-11,1
PAREXEL International Corp.,PRXL,CRAs and PMs,"Talked with many CRAs and PMs - nothing new was learned, layoffs in June - that's all what folks know. About 1000 folks will be laid off, that's about 5% of the total headcount - but that's only for now, we don't know what they are planning and if...
read more",2017-05-10,2
PAREXEL International Corp.,PRXL,acquisition in the stars for parexel,"Do you guys think that we'll be acquired in next 12 months and if yes, who will be acquiring us? Do you think it's possible a private equity firm acquires us as that would not be good - my wife worked for a healthcare firm that got acquired by a...
read more",2017-05-10,1
PAREXEL International Corp.,PRXL,Locations affected by layoffs?,Does anyone have an idea which offices will be affected by the layoffs? Will some be more affected? I'm worried....,2017-05-10,2
PAREXEL International Corp.,PRXL,Parexel and LayOffs,"Parexel INternational is a confused company with many fingers in the pie who change the direction every now and then. I worked at Parexel in India for a while. I could not catch up with the senior management as there were too many changes . They...
read more",2017-05-04,0
PAREXEL International Corp.,PRXL,Jobs leaving the country,"I hope the US government punishes these companies for laying off Americans and sending there jobs overseas. The executive officers love are money but hate paying an appropriate wage to American workers. If you want your head to swell up like an...
read more",2017-05-04,0
PAREXEL International Corp.,PRXL,Parexel layoffs 2017,"A restructuring of lower to middle management of parexel is well overdue. There are too many fingers in the pie for anything to move with any speed. Too many levels of people trying to protect or expand their turf at the cost of employee engagement...
read more",2017-01-18,5
PAREXEL International Corp.,PRXL,PAREXEL International Layoffs 2017,"Do not worry too much, I am one of those who is always positive, always optimistic - things will pan out good and we will not have layoffs here in Waltham.",2016-11-23,0
PAREXEL International Corp.,PRXL,Parexel is a good company to work for unless you're in the United States. You are more expendable than your Asian or Latin American counterparts,no body text,2015-12-14,0
PAREXEL International Corp.,PRXL,PAREXEL International Layoffs 2016,What is the likelihood of PAREXEL International layoffs in Waltham in 2016? Please let me know if you have any information.,2015-11-05,1
PAREXEL International Corp.,PRXL,Layoffs Continuing at Parexel (2015 and 2016 job cuts),"I think we cut over 1000 people this year here at Parexel. Things will not improve and it seems that the executive line up does not care about our people any more. I know it's challenging and that it's super competitive in the whole industry, I know...
read more",2015-09-15,1
PAREXEL International Corp.,PRXL,Layoffs are happening right now,"everyone is afraid to speak up, even on this site",2015-06-25,0
PAREXEL International Corp.,PRXL,CMA Positions,Do you have any open positions right now?,2014-09-10,0
PAREXEL International Corp.,PRXL,Downsizing news,Anybody has additional information,2014-01-30,0
PAREXEL International Corp.,PRXL,From 2011: Parexel is eliminating ~30% of Phase I capacity and ~300 staff as it reacts to to changes in early phase demand. Sponsors now...,"From 2011: Parexel is eliminating ~30% of Phase I capacity and ~300 staff as it reacts to to changes in early phase demand. Sponsors now want a bigger proportion of early phase trials to use patient populations, as opposed to currently used healthy...
read more",2013-09-27,0
PAREXEL International Corp.,PRXL,2011 was not fun and we are about to repeat it,2011 was not fun and we are about to repeat it,2013-09-05,0
PAREXEL International Corp.,PRXL,"why are you saying parexel rocks - the place is horrible, backstabbing and instability are rampant - some of the most insecure people i ever...","why are you saying parexel rocks - the place is horrible, backstabbing and instability are rampant - some of the most insecure people i ever met work for parexel.",2013-06-05,0
PAREXEL International Corp.,PRXL,"PAREXEL rocks, come work for us - no layoffs here..","PAREXEL rocks, come work for us - no layoffs here..",2013-01-23,0
PAREXEL International Corp.,PRXL,"OK, with governements around world increasing control and regulatory oversight, and public freaking out on a slightest note of health care...","OK, with governements around world increasing control and regulatory oversight, and public freaking out on a slightest note of health care risk can someone tell me how do we increase time to market? It seems to me that time to market is gonna be...
read more",2010-01-15,0
PC Connection Inc.,PCCC,PC Connection to be Acquired,"There is an acquisition coming in the next two months. Get ready to get merged by one of your competitors. Confirmed by both sides. Looks like lots of jobs are going away. They just need the partner status. Good thing they got the new CFO Sarno. What...
read more",2018-11-17,1
PC Connection Inc.,PCCC,"Layoffs are happening, it's reality",Do not say it's fake news as they are happening for sure.,2018-11-17,0
PC Connection Inc.,PCCC,Layoffs 11/1/2018,"I am currently still employed with these slugs. I used to enjoy it but after 7 years of being stagnant in the industry and after today’s layoffs of 20% of the workforce st Connection, I am out. This is a dinosaur of a company with old antiquated...
read more",2018-11-02,2
PCM Inc.,PCMI,PCM laying off 50,"PCM is letting go of 50 employees at Rio Rancho... Layoffs are only a year after a big boost in number of employees... At least everybody who was laid off can still apply for other positions within the company...
read more",2017-08-04,0
PCM Inc.,PCMI,2nd layoff,no body text,2016-02-05,0
PDC Energy Inc.,PDCE,They're coming in 2Q,no body text,2016-01-25,1
PDF Solutions Inc.,PDFS,what does this company do? converts PDF files,what does this company do? converts PDF files. awesome! you should all be laid off.,2011-03-17,1
PDI Inc.,PDII,2017 Layoffs,Do you have any updates on layoffs at PDI?,2017-03-10,0
PDI Inc.,PDII,PDI is going thru a difficult period right now - people are questioning leadership and things may turn ugly very soon.,PDI is going thru a difficult period right now - people are questioning leadership and things may turn ugly very soon.,2013-01-23,0
PDL BioPharma Inc.,PDLI,The whole bio pharma sector is exploding right now - many folks in this sector have made a ton of money - most regular folks do not even know...,The whole bio pharma sector is exploding right now - many folks in this sector have made a ton of money - most regular folks do not even know what we do but overall PDL is doing great,2013-01-23,0
PETsMART Inc.,PETM,JK is a good leader,"For those that do not understand Business - Nor have ever worked for a Fortune 500 Company they would not understand how a CEO must guide and evolve a company, a family owned company at some point must evolve - and yes the culture will change, when...
read more",2018-06-08,2
PETsMART Inc.,PETM,Poor Petsmart Employees,"With the announcement of JK as you’re CEO I thought it fair to let you know what you are getting. Your town hall meetings will feel like a beat down, JK will take bad sales and rip you apart and he inspires nothing but trepidation. Expect...
read more",2018-05-21,3
PETsMART Inc.,PETM,Petsmart Layoffs - June 2017,"There was announcement on Tue that about 5% of the total # of employees will be cut a the HQ in Phoenix. More things are being moved online, Chewy acquisition is a proof. I am not sure where we go from here. In AZ we have about 4000 people working...
read more",2017-06-08,2
PETsMART Inc.,PETM,PETSMART BUYOUT,Does anyone have any idea what the buyout would mean for Petsmart stores and employees. Are any stores slated to close?,2014-12-16,2
PETsMART Inc.,PETM,Corp layoffs in 2015,Pretty certain I would say,2014-12-15,2
PETsMART Inc.,PETM,List of PETsMART stores closing,Does someone have the list of PETsMART stores that are planned to close in 2014 and 2015,2014-08-25,3
PETsMART Inc.,PETM,Noting SMART here - avoid at all costs - I am a pet groomer and I know what I am talking about,Noting SMART here - avoid at all costs - I am a pet groomer and I know what I am talking about,2013-01-23,1
PFSweb Inc.,PFSW,PFSweb 2017 Job Cuts,Please post updates here if you have any - not sure why we have such a silent board when all other companies are fairly vocal,2017-04-24,1
PG&E Corp.,PCG,How bad will it get?,"I'm worried that PG&E will use this opportunity to get rid of whoever they want, especially older employees who make more money, with no consequences and smaller severance. We all know it will get bad, but I'm afraid it might get much worse than many...
read more",2019-01-18,3
PG&E Corp.,PCG,Contractors to be laid off first.,PG&E will lay-off contractors first. Then it will tighten the belt on PG&E employees as it shrinks its best to income ratio. Watch and see.,2019-01-16,1
PG&E Corp.,PCG,Maybe Twice,"How many Small companies declare BK ? (quite a few as a Percentage of small companies) How many Large companies declare BK ? (Not too many as a Percentage of large companies) How Many companies declare BK TWICE in a 10-15 year span. Well we soon may...
read more",2018-11-20,1
PG&E Corp.,PCG,PG&E Layoffs 2019,Is there going to be any reorg or PG&E Layoffs in 2019?,2018-10-30,3
PG&E Corp.,PCG,restructure and union jobs,Does anyone have any intel on the union jobs and the potential restructure of PG&E? Does anyone think the union pension might be altered of union workers laid off? Nobody is saying nothing!,2018-08-09,0
PG&E Corp.,PCG,Treating us like animals,"Once this was a great place to work at, but in the last several years that has changed completely. The office conditions at PG&E today are truly horrible. They are packing us in offices to the point you can't hear yourself think, stacking us in the...
read more",2017-12-03,2
PG&E Corp.,PCG,we need to move with the times,"talk about old fashioned companies... PG&E takes the cake... office politics abound... excessive bureaucracy is still considered essential... so much unnecessary red tape, but nobody wants to change it... leadership seems to believe that we don't...
read more",2017-12-01,0
PG&E Corp.,PCG,Pacific Gas & Electric is shrinking,"Everybody has given up on even attempting any kind of growth for the company. Positions that have been vacated through layoffs or people who left on their own are simply eliminated. Of course, some will open in India or another country, but I hardly...
read more",2017-11-13,0
PG&E Corp.,PCG,Outsourcing is not the solution!,"PG&E has been going down for years thanks to its incompetent management and CEO. When will people realize that outsourcing jobs to cheaper countries is not the solution to all of your problems? Of course, most of this is due to the fact that instead...
read more",2017-11-11,2
PG&E Corp.,PCG,PG&E Layoffs 2018,"I do not want to be laid off. Yet, there are many rumors about potential job cuts here in San Francisco.",2017-10-15,2
PG&E Corp.,PCG,180 IT jobs on the chopping block,"I work right across the street from PG&E (my former employer), and have spoken to some of my former IT colleagues, and there appear to be more cuts...about 180 IT jobs, 70 of which are being offshored to India. And....they are asking about 110 of...
read more",2017-08-21,0
PG&E Corp.,PCG,More PG&E layoffs?,"Its also rumored that they will eliminate all the contractors in Gas Operations by the end of the year. They will also reduce the management pool, especially the individuals supervising 5 or less employees. They will also not back fill any position...
read more",2017-07-26,4
PG&E Corp.,PCG,PG&E Gas Operations,"they have announced today that there will be restructuring in gas operations tomorrow. They already layoff some directors last month and its expected that they hit mangers and supervisors tomorrow. Also some notable people got layoff today. This is...
read more",2017-07-19,2
PG&E Corp.,PCG,Round 2 - PG&E Layoffs,What do we know so far? Let's consolidate in this thread.,2017-06-27,1
PG&E Corp.,PCG,"""American steel for pipelines, rebuild our infrastructure and no foreign outsourcing of American jobs""",no body text,2017-03-01,0
PG&E Corp.,PCG,The Bobs are Here,"Now McKinsey is here and planning the next round of layoffs. Anyone familiar with ""Office Space""? Yeah, I'm gonna have to go ahead and ask you to do the work of 10 people now... and since you were already doing the work of 5 people, it won't be too...
read more",2017-02-24,1
PG&E Corp.,PCG,PG&E March 2017 Layoffs,"Starting this thread just in case someone wanted to contribute info as it relates to March 2017 layoffs. The first pass and cuts back in late 2016 and Jan 2017 were poorly covered in the media, and we may want to use this space to share info. In...
read more",2017-02-23,2
PG&E Corp.,PCG,https://www.google.com/amp/s/www.bizjournals.com/sanfrancisco/news/2017/01/19/exclusive-pg-e-pcg-layoffs-india-tata.amp.html?client=safari,no body text,2017-01-24,0
