company_name,link,ticker
Q-Industries,https://www.thelayoff.com//q-industries,
Q-MED Inc.,https://www.thelayoff.com//q-med,QMED
Q.E.P. Co.,https://www.thelayoff.com//q-e-p,QEPC
Q2 Holdings Inc.,https://www.thelayoff.com//q2-holdings,QTWO
QAD Inc.,https://www.thelayoff.com//qad,QADA
QC Holdings Inc.,https://www.thelayoff.com//qc-holdings,QCCO
QCR Holdings Inc.,https://www.thelayoff.com//qcr-holdings,QCRH
QEP Midstream Partners LP,https://www.thelayoff.com//qep-midstream-partners,QEPM
QEP Resources Inc.,https://www.thelayoff.com//qep-resources,QEP
QFC,https://www.thelayoff.com//quality-food-centers,
QIWI PLC ADS,https://www.thelayoff.com//qiwi,QIWI
QKD (Quality King Distributors),https://www.thelayoff.com//quality-king-distributors,
QKL Stores Inc.,https://www.thelayoff.com//qkl-stores,QKLS
QL2,https://www.thelayoff.com//ql2,
QLT Inc.,https://www.thelayoff.com//qlt,QLTI
QLogic Corp.,https://www.thelayoff.com//qlogic,QLGC
QMC Technologies,https://www.thelayoff.com//qmc-technologies,
QSR Steel,https://www.thelayoff.com//qsr-steel,
QSound Labs Inc.,https://www.thelayoff.com//qsound-labs,QSND
QVC,https://www.thelayoff.com//qvc,
Qiagen N.V.,https://www.thelayoff.com//qiagen,QGEN
Qiao Xing Mobile Communication Co. Ltd.,https://www.thelayoff.com//qiao-xing-mobile-communication,QXM
Qiao Xing Universal Telephone Inc.,https://www.thelayoff.com//qiao-xing-universal-telephone,XING
Qihoo 360 Technology Co. Ltd.,https://www.thelayoff.com//qihoo-360-technology-co,QIHU
Qimonda AG,https://www.thelayoff.com//qimonda-ag,QI
Qlik Technologies Inc.,https://www.thelayoff.com//qlik-technologies,QLIK
Qorvo,https://www.thelayoff.com//qorvo,QRVO
Quad/Graphics,https://www.thelayoff.com//quad/graphics,
Quad/Graphics Inc.,https://www.thelayoff.com//quad-graphics,QUAD
Quadna,https://www.thelayoff.com//quadna,
Quadra FNX Mining Ltd,https://www.thelayoff.com//quadra-fnx-mining-ltd,QUX
Quadra Realty Trust Inc.,https://www.thelayoff.com//quadra-realty-trust,QRR
QuadraMed Corp.,https://www.thelayoff.com//quadramed,QD
Quadrant,https://www.thelayoff.com//quadrant,
Quaero,https://www.thelayoff.com//quaero,
Quagga,https://www.thelayoff.com//quagga,
Quail Creek Surgical Hospital,https://www.thelayoff.com//quail-creek-surgical-hospital,
