company,ticker,title,body,date,replies
R.G. Barry Corp.,DFZ,2015 Layoffs and Reorg,"What are your thoughts, are we going to reorg next year?",2014-12-15,0
R.G. Barry Corp.,DFZ,Review,I used to work for RG Barry. It is a good company to work for. No layoffs.,2013-12-05,0
R.H. Donnelley Corp.,RHD,2015 Layoffs at RH Donnelley,"Maybe you see something different, but all I see is doom and gloom and the executive line-up without a coherent strategy. I see layoffs in 2015.",2014-12-15,0
R.H. Donnelley Corp.,RHD,sarit - this is from 2008 (october) - you go and figure: Struggling yellow pages publisher RH Donnelley has trimmed about 13 percent of its...,"sarit - this is from 2008 (october) - you go and figure: Struggling yellow pages publisher RH Donnelley has trimmed about 13 percent of its work force through layoffs and attrition this year, or more than 500 workers companywide. So, now tell me -...
read more",2009-08-02,0
R.H. Donnelley Corp.,RHD,On Donnelley Layoffs - 7/22 Via spencerdailyreporter.com: R,"On Donnelley Layoffs - 7/22 Via spencerdailyreporter.com: R. Scott Bigelow, the vice president of human resources at RR Donnelley, informed city leaders on Jan. 13 that the company planned to close its Spencer location. The decision left 160...
read more",2009-07-23,0
R.R. Donnelley & Sons Co.,RRD,RR Donnelley cuts 62 jobs at the Bedford plant,https://www.bizjournals.com/boston/news/2019/02/11/commercial-printer-rr-donnelly-cuts-62-jobs-in.html?ana=yahoo&yptr=yahoo,2019-02-11,0
R.R. Donnelley & Sons Co.,RRD,"Logan, Utah - Layoffs","Has anyone heard if the Logan, Utah plant will have any layoffs?",2019-01-23,0
R.R. Donnelley & Sons Co.,RRD,RR Donnelley Layoffs 2019,Share any updates you may have about RR Donnelley Layoffs in 2019 or beyond?,2018-10-30,3
R.R. Donnelley & Sons Co.,RRD,Layoffs,Just want to know if there is any news on layoffs at RR Donnelley in Grand Island New York? Or are we one of the plants closing. Can someone shed some light because no one is saying anything,2018-10-16,1
R.R. Donnelley & Sons Co.,RRD,More layoffs at R.R. Donnelley & Sons in October,"A lot more than that! Like around 600 jobs in October. Know of several complete sites closing. Split into 3 companies has not been good for this company. Lots more Exec jobs with the 3 company split though!.... 3 CEO, COO, CFO etc etc. Now its time...
read more",2017-10-23,3
R.R. Donnelley & Sons Co.,RRD,RR Donnelley Layoffs 2018,"Is this really happening, hello? Updates? Rumors? Hearing many rumors about layoffs in Chicago.",2017-10-15,9
R.R. Donnelley & Sons Co.,RRD,San Francisco Layoffs (RR Donnelley),"This was announced a few weeks back. The last day will be Nov 12 2017. Over 30 people were laid off and I am not aware of any media coverage of this layoff - it was just silent and nobody seems to care any more - there are so many layoffs and folks...
read more",2017-10-04,2
R.R. Donnelley & Sons Co.,RRD,Thread missing?!,"There was a thread here earlier, and I don't see it anymore",2017-03-22,1
R.R. Donnelley & Sons Co.,RRD,RR Donnelley Layoffs 2017,"My head is super spinning right now as I heard the same rumor from thee folks, both told me that we may have layoffs in Chicago.",2016-11-23,1
R.R. Donnelley & Sons Co.,RRD,RR Donnelley Layoffs 2016,What is the likelihood of RR Donnelley layoffs in Chicago in 2016? Please let me know if you have any information.,2015-11-05,2
R.R. Donnelley & Sons Co.,RRD,Permanent layoffs? Recurring Layoffs? Feels like a constant siege?,"Cannot describe the feeling about working for RR Donnelley - I've been with the company for about four years, it'll be five years in December. 2014 was bad, I thought that things may improve and that there will be no layoffs in 2015. RR Donnelley...
read more",2015-09-23,0
RADCOM Ltd.,RDCM,"Radcom has never been in such a bad position, i am waitin for the axe to fall","Radcom has never been in such a bad position, i am waitin for the axe to fall. I hate uncertanty and would love for all of this to be over soon. This economy is so bad there is no industry that is doing well so even if i wanted to switch profession i...
read more",2009-05-29,0
RADVision Ltd.,RVSN,I wonder how is a relationship between Avaya and S&T Bancorp Inc. today...,no body text,2013-12-12,0
RAE Systems Inc.,RAE,RAE Systems Will Grow In 2015,"I do not see layoffs in 2015, I see growth and expansion for RAE",2014-12-15,0
RAE Systems Inc.,RAE,Possible layoffs by end of July,"Possible layoffs by end of July. Just a rumor, but given the state of business at RAE I would not be surprised.",2010-07-11,0
RAM Energy Resources Inc.,RAME,2015 Layoffs Due To Contant Drops In Prices,"I see difficult times ahead of us, prices are dropping, I think it'll continue to drop and we may see layoffs",2014-12-15,1
RBC Bearings Inc.,ROLL,Great company and no layoffs here,"I am looking forward to 2015, we should have no layoffs",2014-12-15,0
RBS (Royal Bank of Scotland Group),RBS,You will see,Just look at the pots below. You will see what's going on,2018-10-30,0
RBS (Royal Bank of Scotland Group),RBS,Royal Bank of Scotland Layoffs 2019,Is this going to be an interesting year as it relates to Royal Bank of Scotland Layoffs in 2019?,2018-10-30,0
RBS (Royal Bank of Scotland Group),RBS,Thank God I jumped ship in summer 2014,"I was in the Ops area of RBS for 6 months. Got a better offer back in NYC. Hated the reverse commute but had to do it due to nice wages. Now that I am no longer in the industry and will enjoy something called a pension, look that up folks...not a...
read more",2018-05-07,0
RBS (Royal Bank of Scotland Group),RBS,IT layoffs again (Stamford),"NatWest Markets continues to lay off people, they call it right sizing but we know that that is. IT is always hit the most - they love to hit IT due to higher wages if compared to other groups...
read more",2018-02-22,1
RBS (Royal Bank of Scotland Group),RBS,RBS Layoffs,RBS layoffs in it operations in the uk. announced 29/11/2017. details to follow.,2017-11-29,0
RBS (Royal Bank of Scotland Group),RBS,Stamford,http://www.stamfordadvocate.com/business/article/As-layoffs-mount-RBS-holds-on-in-Stamford-12311440.php,2017-10-31,0
RBS (Royal Bank of Scotland Group),RBS,Royal Bank of Scotland Layoffs 2018,Is it really true that we may have some modest job cuts in Edinburgh.,2017-10-15,0
RBS (Royal Bank of Scotland Group),RBS,Where are we with the announced 800 layoffs?,"I was wondering if anybody knew how many people from IT Royal Bank of Scotland laid off by now? I know they said they will get rid of 800 by 2020, but I was wondering if we have any idea how the process will go? This job is stressful enough, having...
read more",2017-08-19,0
RBS (Royal Bank of Scotland Group),RBS,Stamford Layoffs Continue,"The RBS Stamford cuts are not as big as before, the carnage has turned into a slow trickle attrition and an occasional bigger cut... Here is an update for July 2017 - take all info with a grain of salt - the media filters out things big time:...
read more",2017-07-18,0
RBS (Royal Bank of Scotland Group),RBS,Stamford Cuts,http://www.stamfordadvocate.com/business/article/RBS-announces-15-more-Stamford-layoffs-11164597.php,2017-05-22,1
RBS (Royal Bank of Scotland Group),RBS,Royal Bank of Scotland Layoffs 2017,"It's hard to predict things, for now, at least - but folks are saying that there might be cuts in Edinburgh.",2016-11-23,2
RBS (Royal Bank of Scotland Group),RBS,Royal Bank of Scotland Layoffs and Redundancies 2015,"We are so massive in size that layoffs in 1000s of people are not that unusual for us. You'll see many reports on the web about cuts in the investment group, asset management, private wealth, etc. However, you will never see reports about us having...
read more",2015-09-14,1
RBS (Royal Bank of Scotland Group),RBS,CIB Division Layoffs 2015,"This is a bit old, but here it goes anyway - Rory Cullinan's CIB division continues to bleed money and radical steps will be needed. When it's all said and done there will be very little investment banking action at RBS, you can rest assured here...
read more",2015-03-09,1
RBS (Royal Bank of Scotland Group),RBS,Less focus on Investment banking and large downsizing move,"30,000 of us will be cut over the next three to five years. The intent is to withdraw from Investment Banking where we sucked big time anyway. Good luck all.",2014-02-25,1
RCN Corp.,RCNI,"yes the company still exists. they have customers, a website, workers and everything. to the OP, you sound like an idiot that they let go!",no body text,2015-12-09,0
RCN Corp.,RCNI,I thought RCN closed long time ago?,"Not sure if there are layoffs or if this company exists in 2015 at all, not to mention job cuts",2015-04-08,0
RCS Capital Corp.,RCAP,Chapter 11 bankruptcy Filed,"Layoffs to follow, 2016 to be the worst year on record - there is panic all over the firm",2016-02-04,0
RCS Capital Corp.,RCAP,The company is dying slowly,Sad,2015-12-08,0
RE/MAX Holdings Inc.,RMAX,Any updates on possible layoffs at RE/MAX?,How are things as we prep for 2017? Are they going to be layoffs?,2016-12-07,0
RELM Wireless Corp.,RWC,Changed name to BK Technologies,They have a board here as well &bk-technologies,2018-09-12,0
RELM Wireless Corp.,RWC,Well managed but tough industry,"No layoffs in 2014, probably no layoffs in 2015",2014-12-15,1
RELM Wireless Corp.,RWC,Things are getting worse at RELM,"used to be a great place, we are laying off folks right now. wireless industry is making money but we are very poorly managed.",2014-01-08,0
REX Energy,REXX,PennEnergy Resources bought REX' assets after the bankruptcy,REX filed for Chapter 11 BK on May 18.,2018-11-26,0
REX Energy,REXX,Wow 6 Rex employee applications came in this week ! Everyone is bailing ship,Not your bottom feeders either haha,2017-11-07,1
REX Energy,REXX,#bankruptcity See you later.,no body text,2016-11-11,3
REX Energy,REXX,Already laying off staff,"In PA most of the staff is gone already with the first wave of layoffs around April/May second wave in November & last wave this month. I only say ""last wave"" because the department of 10 is down to 2, everyone who was not laid off got a pay cut...
read more",2016-02-26,3
REX Energy,REXX,2016 Layoffs at REX,"That's the rumor, but we shall see as things are fluid even though the prices are so much down, it's like 20 per gallon right now - I hope we have no layoffs",2016-01-20,0
REX Energy,REXX,"If the prices keep going down, shall we see layoffs in 2015",I am not sure but people are anxious,2014-12-15,1
RF Micro Devices Inc.,RFMD,2015 - This thread moved to QORVO page - http://www.thelayoff.com/qorvo,Since merger with Triquint is official as of 1/1/2015 - Now visit the new page - www.thelayoff.com/qorvo,2015-01-13,1
RF Micro Devices Inc.,RFMD,layoffs in 2014 and 2015,"i think we have a plan to restructure the whole company, departments, teams, heads will roll at the end of this year and next year. RF used to be a fine company but now it's just about backstabbing and minimal professional growth.",2014-03-04,0
RF Micro Devices Inc.,RFMD,Triquint acquisition,Do you think this will affect us? IT? HR?,2014-02-25,0
RH (Restoration Hardware),RH,More RH stores to be open,"The concept is changing though - there will be jobs added, some jobs will be lost.",2017-10-26,0
RH (Restoration Hardware),RH,Company wide firing began Thursday 9 Jun 16!,no body text,2016-06-12,0
RONA Inc.,RON,"No layoffs, the company is expanding","Things are improving, 2015 was bad, 2016 a bit better - we are now OK. We are adding locations and I am not aware of any layoffs.",2017-06-21,0
RPC Inc.,RES,It happened. RPC did layoff this week.,I pray for the families that this downturn is affecting. May God bless all who are affected.,2015-03-21,1
RPC Inc.,RES,2015 Layoffs Due to Price Drops,All who deal with Oil will be affected if the prices continue to drop. I think RPC will cut staff in 2015.,2014-12-15,1
RPM International Inc.,RPM,RPM Layoffs 2019,Make a prediction and tell us what you think about RPM Layoffs in 2019 -- Thoughts??,2018-10-30,0
RPM International Inc.,RPM,Elliot Management,Elliot Management is behind all the people losing their jobs. Look them up. https://www.newyorker.com/magazine/2018/08/27/paul-singer-doomsday-investor,2018-08-29,0
RPM International Inc.,RPM,RPM Layoffs 2018,Hey all - hello - a quick layoff question on rumors and factual info we have - Are we going to cut any resources this year in Medina.,2017-10-15,0
RPM International Inc.,RPM,Signs of Layoffs Coming,"The most obvious sign layoffs are coming: Executives hint at layoffs using other terms, like 'restructuring' ""downsizing,"" ""reorganizing,"" ""incremental synergies,"" organizational efficiency,"" ""offshoring,"" ""streamlining,"" ""headcount reductions""...
read more",2017-06-30,0
RPM International Inc.,RPM,RPM Layoffs 2017,How about Q4 cuts - really???? Info? do you expect that we'll be laying people off in Medina.,2016-11-23,0
RPM International Inc.,RPM,RPM Layoffs 2016,What is the likelihood of RPM layoffs in Medina in 2016? Please let me know if you have any information.,2015-11-05,0
RPX Corp.,RPXC,Got laid off last week. A total of 18 employees were asked to leave RPX,"A total of 18 employees were asked to leave RPX as part of a massive layoff (considerable percentage of total). This is one of the many aftermaths of the recent Acquisition of Inventus which was a disastrous deal burning all cash also making the...
read more",2016-06-01,0
RSC Holdings Inc.,RRR,2015 Layoffs,What do you think? Any possibility? Certain? Maybe?,2014-12-15,0
RSC Holdings Inc.,RRR,RSC is going strong,"No problems, no layoffs at RSAC - great company to work for",2014-05-26,1
RTI International Metals Inc.,RTI,large group of folks were laid off on 5/20/14,be careful here,2014-08-15,1
RTI International Metals Inc.,RTI,Layoffs in 2014 and 2015,"Do you know if we are planning to hire or layoff people in 2014? A friend of mine is interested applying this year (2014) or next year (2015) and any info would be very helpful for her. Thanks to all RTI folks who can help with this layoff /...
read more",2014-05-21,2
Rackable Systems Inc.,RACK,Rackable is pretty good,"I cannot complain, it's a good employer, I worked for worse places",2014-05-26,0
Rackspace Hosting Inc.,RAX,"It's all good, no job cuts, the management says",Here it goes: http://www.expressnews.com/business/article/Rackspace-restructures-staff-6862057.php,2016-03-01,0
Rackspace Hosting Inc.,RAX,Still growing,"I do not think things will be worse in 2016, I think we'll continue to grow and expand so all is good for now",2015-07-14,0
RadNet Inc.,RDNT,awful company,"lay offs before christmas, no notice. 20+ year old employees given 1 day notice. billion dollar company gave no raises for 15+ years, underpaid peeps who tolerated it and then said, don't let the door hit u on the way out. md's will now be required...
read more",2018-11-29,1
RadNet Inc.,RDNT,Good company to work for,"No issues at RADNET, come work for us - that would be a rather smart decision",2014-05-26,0
RadNet Inc.,RDNT,Managed Imaging Services,"I have experience with Managed Imaging Services, do you maybe have open positions. I heard about layoffs, but it seems that Radnet is pretty good right now. Any insight is appreciated.",2014-01-18,0
