company_name,link,ticker
R & B Network Services,https://www.thelayoff.com//r-and-b-network-services,
R & L Construction,https://www.thelayoff.com//r-and-l-construction,
R & R Cartage,https://www.thelayoff.com//r-and-r-cartage,
R O W V A CUSD 208,https://www.thelayoff.com//r-o-w-v-a-cusd-208-school-district,
R&B Films,https://www.thelayoff.com//r-and-b-films,
R. M. Moore Real Estate,https://www.thelayoff.com//r-m-moore-real-estate,
R.E.D. Stamp,https://www.thelayoff.com//red-stamp,
R.F. Stearns,https://www.thelayoff.com//rf-stearns,
R.G. Barry Corp.,https://www.thelayoff.com//r-g-barry,DFZ
R.H. Donnelley Corp.,https://www.thelayoff.com//r-h-donnelley,RHD
R.J. Throckmorton Distributing,https://www.thelayoff.com//rj-throckmorton-distributing,
R.K. Barnes & Associates,https://www.thelayoff.com//rk-barnes-and-associates,
R.R. Donnelley & Sons Co.,https://www.thelayoff.com//r-r-donnelley-and-sons,RRD
R/GA,https://www.thelayoff.com//r-ga,
RAC Enterprise,https://www.thelayoff.com//rac-enterprise,
RADCOM Ltd.,https://www.thelayoff.com//radcom,RDCM
RADVision Ltd.,https://www.thelayoff.com//radvision,RVSN
RAE Systems Inc.,https://www.thelayoff.com//rae-systems,RAE
RAIT Financial Trust,https://www.thelayoff.com//rait-financial-trust,RAS
RAM Energy Resources Inc.,https://www.thelayoff.com//ram-energy-resources,RAME
RAM Holdings Ltd.,https://www.thelayoff.com//ram-holdings,RAMR
RAM Technologies,https://www.thelayoff.com//ram-technologies,
RAPP Advertising,https://www.thelayoff.com//rapp-advertising,
RAZOR Business Strategy Consultants,https://www.thelayoff.com//razor-strategy,
RB Interior Trim,https://www.thelayoff.com//rb-interior-trim,
RBC Bearings Inc.,https://www.thelayoff.com//rbc-bearings,ROLL
RBS (Royal Bank of Scotland Group),https://www.thelayoff.com//royal-bank-of-scotland-group-plc,RBS
RC2 Corp.,https://www.thelayoff.com//rc2,RCRC
RCCH Healthcare Partners,https://www.thelayoff.com//rcch-hospitals,
RCD-Atlanta,https://www.thelayoff.com//rcd-atlanta,
RCI Consultants,https://www.thelayoff.com//rci-consultants,
RCM Technologies Inc.,https://www.thelayoff.com//rcm-technologies,RCMT
RCN Corp.,https://www.thelayoff.com//rcn,RCNI
RCS Capital Corp.,https://www.thelayoff.com//rcs-capital,RCAP
RDK Engineers,https://www.thelayoff.com//rdk-engineers,
RDM Corporation,https://www.thelayoff.com//rdm-corporation,RC
RE/MAX Holdings Inc.,https://www.thelayoff.com//re-max-holdings,RMAX
REC Solar,https://www.thelayoff.com//rec-solar,
REGENXBIO,https://www.thelayoff.com//regenxbio,RGNX
RELM Wireless Corp.,https://www.thelayoff.com//relm-wireless,RWC
REMEDI Electronic Commerce Group,https://www.thelayoff.com//remedi-electronic-commerce,
REV Group,https://www.thelayoff.com//rev-group,REVG
REX Energy,https://www.thelayoff.com//rex-energy,REXX
RF Industries Ltd.,https://www.thelayoff.com//rf-industries,RFIL
RF Micro Devices Inc.,https://www.thelayoff.com//rf-micro-devices,RFMD
RF Monolithics Inc.,https://www.thelayoff.com//rf-monolithics,RFMI
RGC Resources Inc.,https://www.thelayoff.com//rgc-resources,RGCO
RH (Restoration Hardware),https://www.thelayoff.com//restoration-hardware-holdings,RH
RISE Education Cayman,https://www.thelayoff.com//rise-education-cayman,REDU
RIT Technologies Ltd.,https://www.thelayoff.com//rit-technologies,RITT
RL Public Relations,https://www.thelayoff.com//rl-public-relations,
RLI Corp.,https://www.thelayoff.com//rli,RLI
RLJ Entertainment Inc.,https://www.thelayoff.com//rlj-entertainment,RLJE
RMA Transportation Services,https://www.thelayoff.com//rma-transportation-services,
RMCN Credit Services,https://www.thelayoff.com//rmcn-credit-services,
RMG Networks Holding Corp.,https://www.thelayoff.com//rmg-networks-holding,RMGN
RMP Energy Inc,https://www.thelayoff.com//rmp-energy,RMP
RNB Technologies,https://www.thelayoff.com//rnb-technologies,
ROI Acquisition Corp. II,https://www.thelayoff.com//roi-acquisition-ii,ROIQ
ROI Communication,https://www.thelayoff.com//roi-communication,
ROME Corporation,https://www.thelayoff.com//rome-corporation,
RONA Inc.,https://www.thelayoff.com//rona,RON
RPC Inc.,https://www.thelayoff.com//rpc,RES
RPM International Inc.,https://www.thelayoff.com//rpm-international,RPM
RPX Corp.,https://www.thelayoff.com//rpx,RPXC
RR Media Ltd.,https://www.thelayoff.com//rr-media,RRM
RRSat Global Communications Network Ltd.,https://www.thelayoff.com//rrsat-global-communications-network,RRST
RSA,https://www.thelayoff.com//rsa,
RSC Holdings Inc.,https://www.thelayoff.com//rsc-holdings,RRR
RSP Permian Inc.,https://www.thelayoff.com//rsp-permian,RSPP
RTG Medical,https://www.thelayoff.com//rtg-medical,
RTI International Metals Inc.,https://www.thelayoff.com//rti-international-metals,RTI
RTI Laboratories,https://www.thelayoff.com//rti-laboratories,
RTL Networks,https://www.thelayoff.com//rtl-networks,
RWD Technologies,https://www.thelayoff.com//rwd-technologies,
RXI Pharmaceuticals Corp.,https://www.thelayoff.com//rxi-pharmaceuticals,RXII
RYB Education ADR,https://www.thelayoff.com//ryb-education-adr,RYB
Ra Pharmaceuticals,https://www.thelayoff.com//ra-pharmaceuticals,RARX
Rabun County,https://www.thelayoff.com//rabun,
Rabun County School District,https://www.thelayoff.com//rabun-county-school-district,
Raccoon Cons School District 1,https://www.thelayoff.com//raccoon-cons-sd-1-school-district,
RaceTrac Petroleum,https://www.thelayoff.com//racetrac-petroleum,
Raceland-Worthington Independent School District,https://www.thelayoff.com//raceland-worthington-independent-school-district,
Racine County,https://www.thelayoff.com//racine-wi,
Racine Unified School District,https://www.thelayoff.com//racine-unified-school-district,
Rackable Systems Inc.,https://www.thelayoff.com//rackable-systems,RACK
Rackspace Hosting Inc.,https://www.thelayoff.com//rackspace-hosting,RAX
Rackspace Managed Hosting,https://www.thelayoff.com//rackspace-managed-hosting,
RadNet Inc.,https://www.thelayoff.com//radnet,RDNT
Rada Electronic Industries Ltd.,https://www.thelayoff.com//rada-electronic-industries,RADA
Radford City Public Schools,https://www.thelayoff.com//radford-city-pblc-schs-school-district,
Radford University,https://www.thelayoff.com//ru,
Radian Group Inc.,https://www.thelayoff.com//radian-group,RDN
Radiance Technologies,https://www.thelayoff.com//radiance-technologies,
Radiant Logistics Inc.,https://www.thelayoff.com//radiant-logistics,RLGT
Radiant Systems Inc.,https://www.thelayoff.com//radiant-systems,RADS
Radiation Therapy Services Inc.,https://www.thelayoff.com//radiation-therapy-services,RTSX
Radio One Inc.,https://www.thelayoff.com//radio-one,ROIA
RadioShack Corp.,https://www.thelayoff.com//radioshack,RSH
Radiometric Services and Instruments,https://www.thelayoff.com//radiometric,
Radisys Corp.,https://www.thelayoff.com//radisys,RSYS
Radius Health Inc.,https://www.thelayoff.com//radius-health,RDUS
Radlink,https://www.thelayoff.com//radlink,
Radnor Township School District,https://www.thelayoff.com//radnor-township-sd-school-district,
Radware Ltd.,https://www.thelayoff.com//radware,RDWR
Rady Children's Hospital - San Diego,https://www.thelayoff.com//rady-childrens-hospital-san-diego,
Radyne Corp.,https://www.thelayoff.com//radyne,RADN
RagingWire Enterprise Solutions,https://www.thelayoff.com//ragingwire-enterprise-solutions,
Rahway Public School District,https://www.thelayoff.com//rahway-public-school-district,
RailComm,https://www.thelayoff.com//railcomm,
RainTrade,https://www.thelayoff.com//raintrade,
Rainbow Babies and Children's Hospital,https://www.thelayoff.com//rainbow-babies-and-childrens-hospital,
Rainbow Foods,https://www.thelayoff.com//rainbow-foods,
Rainbow Waterproofing & Restoration,https://www.thelayoff.com//rainbow-waterproofing,
Rainier Fisheries,https://www.thelayoff.com//rainier-fisheries,
Rainier Pacific Financial Group Inc.,https://www.thelayoff.com//rainier-pacific-financial-group,RPFG
Rainier School District,https://www.thelayoff.com//rainier-school-district,
Rainier School District 13,https://www.thelayoff.com//rainier-sd-13-school-district,
Raining Data Corp.,https://www.thelayoff.com//raining-data,RDTA
Raining Rose,https://www.thelayoff.com//raining-rose,
Rainmaker Entertainment Inc.,https://www.thelayoff.com//rainmaker-entertainment,RNK
Rainmaker Systems Inc.,https://www.thelayoff.com//rainmaker-systems,RMKR
Rains County,https://www.thelayoff.com//rains,
Rains Independent School District,https://www.thelayoff.com//rains-isd-school-district,
Rainy Lake Medical Center,https://www.thelayoff.com//rainy-lake-medical-center,
Rainy River Resources Limited,https://www.thelayoff.com//rainy-river-resources,RR
Raisin City Elementary School District,https://www.thelayoff.com//raisin-city-elementary-school-district,
Raising Cane's Chicken Fingers,https://www.thelayoff.com//raising-canes-chicken-fingers,
Ralcorp Holdings Inc.,https://www.thelayoff.com//ralcorp-holdings,RAH
Raleigh County,https://www.thelayoff.com//raleigh-wv,
Raleigh County Schools,https://www.thelayoff.com//raleigh-county-schools-school-district,
Raleigh General Hospital,https://www.thelayoff.com//raleigh-general-hospital,
Raley's,https://www.thelayoff.com//raleys,
Ralls Co. R-Ii,https://www.thelayoff.com//ralls-co-r-ii-school-district,
Ralls County,https://www.thelayoff.com//ralls,
Ralls Independent School District,https://www.thelayoff.com//ralls-isd-school-district,
Rally Software Development Corp.,https://www.thelayoff.com//rally-software-development,RALY
Ralphs Grocery Store,https://www.thelayoff.com//ralphs,
Ralston Public Schools,https://www.thelayoff.com//ralston-public-schools-school-district,
Ram Power Corp,https://www.thelayoff.com//ram-power-corp,RPG
Ram Tech Systems,https://www.thelayoff.com//ram-tech-systems,
Ram Tool & Supply,https://www.thelayoff.com//ram-tool-and-supply,
Ramaco Resources,https://www.thelayoff.com//ramaco-resources,METC
Ramapo Central School District (Suffern) School District,https://www.thelayoff.com//ramapo-central-sd-suffern-school-district,
Ramapo College of New Jersey,https://www.thelayoff.com//rcnj,
