company,ticker,title,body,date,replies
S&T Bancorp Inc.,STBA,Stock,December has been bad for S&T Bancorp Inc.,2013-12-12,0
SABMiller ,SAB,You can expect up to 30 percent management over a few years. 10 percent almost immediately. I am a current AB employee,no body text,2016-09-28,1
SABMiller ,SAB,Massive job cuts in UK to be expected,"Heard they are moving almost everything to Belgium and New York after AB acquisition takes place, so major layoffs to be expected in UK. Good luck to us all.",2016-09-05,1
SABMiller ,SAB,Same ole same ole,"Did the same thing when Imbev bought out Bud, that way Brito and his buddies got a big fat bonus , he'll with all those employees who invested all those years to make those company's gret",2016-09-01,1
SABMiller ,SAB,"It is all over the internet - ""Anheuser-Busch Expects Major Layoffs After It Buys SABMiller""",Does anyone within the company know anything? numbers or locations where layoffs will take place?,2016-08-30,2
SAIC (Science Applications International Corp.),SAIC,Lay-offs effective 1/15/19,"Yep it's all true. The purchase of Engility resulted in 30% lay off of the current SAIC staff. Apparently SAIC now prefers cheaper employees rather than well trained experienced ones. SAIC is no longer the company it was when they were employed...
read more",2019-01-14,2
SAIC (Science Applications International Corp.),SAIC,Science Applications International Layoffs 2019,Share any updates you may have about Science Applications International Layoffs in 2019 or beyond?,2018-10-30,0
SAIC (Science Applications International Corp.),SAIC,Taking over some of Northrop Grumman data center operations,About 300 folks will be transferred to SAIC - I wander how many will still be employed a year from now. It'll be brutal.,2018-06-22,0
SAIC (Science Applications International Corp.),SAIC,Science Applications International Layoffs 2018,"Is this really happening, hearing many rumors about layoffs in McLean.",2017-10-15,0
SAP,SAP,Any updates of US + S4 Services team?,Heard some greyvine in S4 Services team being hit. Anyone care to confirm?,2019-03-06,1
SAP,SAP,Any more layoffs in the U.S. today?,I'll take it that no news is good news?,2019-03-06,6
SAP,SAP,Age of those laid off?,"Is it just me, or did this layoff round slant significantly towards older employees? It could be just my location, but most of the people who received their notifications here are in their late forties, early fifties... What's the situation like...
read more",2019-03-06,5
SAP,SAP,Important info,"Standard HR process - a MR sent to you by your immediate manger with your HRBP. They run through the benefits ane keep it to point. They will send you a summary at end of day and a written notice required by WARN act on March 11th. You are on payroll...
read more",2019-03-06,1
SAP,SAP,Successfactors Layoffs Today,"Several of the team members were let go today in Successfactors, but a manager who has no clue / don't know anything and a couple of other folks who are in the same boat like their boss are let continue. Their turn probably tomorrow or a few days...
read more",2019-03-06,8
SAP,SAP,What's going on with layoffs?,Has everybody been notified or can we expect more? Was this just the first wave? This is really nerve wrecking...,2019-03-05,37
SAP,SAP,Severance info,"Usually SAP gives 2 weeks per year of service (3 weeks per year of service for level T5) in the U.S. (by @XmBIJKg-ztnh) Health care supplement payment is paid in a lump sum equivalent to six months of COBRA coverage. If you are given notice under...
read more",2019-03-05,2
SAP,SAP,There are folks from Consulting getting hit?,"There are folks from Consulting getting hit. HEC team is consolidating. Some were given 2 weeks to look for alternative roles. More letters expected this week, month end of Feb’19 Is this true? Can anybody confirm this? PostID of the original post...
read more",2019-02-26,9
SAP,SAP,Three stages of layoffs for SAP,Apparently layoffs are done in 3 stages: a. Early retirement for those 60+ b. Voluntary layoffs c. Forced layoffs,2019-02-26,1
SAP,SAP,"Bernd Leuker out, Michael Klenermeier stays",Bernd Leuker left SAP with immediate effect and Michael Klenermeier got an extension of his contract until 2020. Battle of the Titans for the “king” of Digital Business Service (DBS) in the boardroom!,2019-02-22,6
SAP,SAP,"4,000 to be laid off by SAP","Restructuring: Confirmed Early Retirement and Voluntary Separation Packages (VSP): Available, confirmed for US, Germany, France and Canada Layoff Scope: 4,000 employees to be laid off, worldwide. India: 400 targeted for layoffs Transfer: If laid off...
read more",2019-02-07,10
SAP,SAP,SAP APJ and GC...,SAP APJ and GC - please expect the special letter and meeting with your manager’s manager and HR after Chinese New Year. This will be in time to recognize all the restructuring costs in Q1. The show must go on,2019-02-07,10
