company,ticker,title,body,date,replies
Andeavor,ANDV,I guess now we post to MP,https://www.thelayoff.com/marathon-petroleum,2018-10-16,0
Andeavor,ANDV,Is the Marathon buyout a good thing for Andeavor?,Is it a good thing that Marathon is buying out Tesoro/Andeavor? Tesoro/Andeavor seemed to improve with new leadership over the past 8 years. How will the cultures of Andeavor and Marathon mesh?,2018-05-07,5
Andeavor,ANDV,What about 2015? Do you think we'll have layoffs next year?,"If prices continue to slide, the executives will have to cut fat. I think the IT group and marketing might be affected? Tesoro's done it before.",2014-12-17,1
Andeavor,ANDV,Hawaii,Tesoro Hawaii was letting people go earlier this year. Not sure what's in store for 2014 but I've seen better years if compared to 2013.,2013-12-18,0
T-Mobile,TMUS,Arbitration opt out,Who do I email or contact to opt out of the employee arbitration agreement.,2019-03-12,1
T-Mobile,TMUS,T-mobile and Ashford University,Has anyone at T-Mobile gotten free tuition at Ashford University? Why would anyone want a degree from this subprime college? https://www.thelayoff.com/bridgepoint-education,2018-12-10,0
T-Mobile,TMUS,TMOBILE Layoffs 2019,This is a master thread about TMOBILE Layoffs in 2019?,2018-10-30,0
T-Mobile,TMUS,Job offer in Frisco Office,I just received a job offer to join T-mobile in the Frisco office. Is the company stable now? Customer base is growing and network quality is pretty close to verizon and at&t. Does anyone have any feedback or advice?,2018-10-20,3
T-Mobile,TMUS,Severance,Can someone summarize the current severance policy for exempt?,2018-10-17,0
T-Mobile,TMUS,Incoming layoffs at T-Mobile,"How many layoffs should we expect as part of this merger? I've checked Sprint's page on this forum and they seem to believe they will be hit harder. I have no idea how they came to that conclusion and while I wish they were right I'm afraid they are...
read more",2018-05-01,2
T-Mobile,TMUS,Is so quiet I am worried,That's my number once concern. I hope things turn out well .,2017-10-15,0
T-Mobile,TMUS,TMOBILE Layoffs 2018,"My head is spinning right now as I heard the same rumor from two folks, both told me that we may have layoffs in Bellevue.",2017-10-15,4
T-Mobile,TMUS,T-Mobile and Sprint merger layoffs?,"Anybody else worried that the merger will bring consolidation and layoffs? I am yet to hear of a merger, no matter how small or big, that did not have at least some reductions in workforce. The main issue is how many and which company will be the...
read more",2017-09-22,4
T-Mobile,TMUS,TMOBILE Layoffs 2017,"Another day, another surprise, there are folks that think that job reductions may happen in corporate in Bellevue.",2016-11-23,2
T-Mobile,TMUS,"Thoughts on John Legere, CEO",What are your thoughts - how is Legere doing? Where will he take us in short and long term?,2016-10-04,1
T-Mobile,TMUS,Crazy Interview at TMobile,"A friend of mine not too long ago went on a crazy T-Mobile interview. Based on the department I believe the hiring manager was Elisabeth Bridon, some crazy French broad. Here is her account. Funny and sad at the same time. Application I applied...
read more",2016-01-24,0
T-Mobile,TMUS,TMOBILE Layoffs 2016,What is the likelihood of TMOBILE layoffs in Bellevue in 2016? Please let me know if you have any information.,2015-11-05,1
T-Mobile,TMUS,At least they spent loads of money on Catherine Zeta Jones! Ha.,"T-Mobile is NOT a well-run company, nor does it provide a great product, nor does it deliver great customer service. My mother suffered through a year-long contract with their crappy service before I could get her on to the same company as us -...
read more",2015-10-23,2
T-Mobile,TMUS,"(2012 Job Cuts News): Broad new layoffs at T-Mobile USA, 900 jobs cut","T-Mobile USA Chief Executive Philipp Humm warned employees a few months ago that more layoffs would happen by the end of May. It's happening right on schedule. Today, the company is informing employees of ""a series of organizational changes,"" a...
read more",2015-10-23,15
T-Mobile,TMUS,"I was part of a large group of 3,300 people laid off from T-Mobile's Call Centers","This was back in 2012. It was not fun time. At the same time cannot blame T-Mobile too much, the job was crappy and being laid off helped me as I got unemployement insurance and some time to look for a better job. Had it not been for that severance...
read more",2015-10-23,0
T-Mobile,TMUS,2016 Layoffs at TMOBILE,"If our number do not improve I think we may have massive layoffs very quickly, probably in the first quarter of 2016 or little bit latter. All of our competitors are quickly reacting by shrinking payroll, and the price war is not helping anybody. All...
read more",2015-10-23,1
T-Mobile,TMUS,"Layoffs always happen, you cannot change that fact. Accept it and focus on work. We are not safe here in Bellevue?",-,2015-08-03,1
T. Rowe Price Group Inc.,TROW,All true.... to this very day,The job eliminations are incredibly covert and include severance packages contingent on signed non-disclosures.,2018-09-17,1
T. Rowe Price Group Inc.,TROW,T. Rowe Layoffs in 2018 targeting long term employees,"T. Rowe has continued laying off during 2018 in small enough groups to avoid news coverage. Just recently a group comprised of mostly long term employees. It's pure cost cutting even though the company and stock are doing well. Mid -senior management...
read more",2018-08-23,0
T. Rowe Price Group Inc.,TROW,New T Rowe vision is already falling apart,"This place use to be great place to work. Now it stinks. With new CTO he has his vision to scale in NY & it has already started to fall apart. 2 key resources have left the tiny NY team, and CTO came in person to ask them to stay back with the firm...
read more",2017-08-29,1
T. Rowe Price Group Inc.,TROW,2017 and 2018 layoffs for T Rowe Price,Do you know what the plans for the cuts are for T Rowe Price for next one or two years. What positions will be affected and is there any plan to cut resources on the IT side?,2017-08-13,1
T. Rowe Price Group Inc.,TROW,used to be a great place to work,"it's horrible now, backstabbing, politics, shrinking opportunities - many people are thinking about leaving...",2013-12-12,0
T. Rowe Price Group Inc.,TROW,"The business is pretty good at TROWE right now - no issues, no layoffs and i expect this to stay like this for quite some time","The business is pretty good at TROWE right now - no issues, no layoffs and i expect this to stay like this for quite some time. Good luck...",2013-10-03,0
TATA Consultancy Services ,TTM,Govt advise - Hire Now and fire after general election - Help Modi ward off bad economy image,Govt advise - Hire Now and fire after general election - Help Modi ward off bad economy image,2018-11-12,1
TATA Consultancy Services ,TTM,This excessive management is going to bring their own downfall,"I do not understand what is the need for developers or even other IT professionals to go to a particular office, a particular desk/cabin and work from there only. It's quite common in US and Europe for IT professionals to work from home(WFH) and a...
read more",2018-11-07,1
TATA Consultancy Services ,TTM,fake hiring drive to help modi era stave off worst unemployment figures,"fake hiring drive to help modi era stave off worst unemployment figures. thiusands of freshers resigning with in 2 years, due poor future prospects in IT services forms",2018-10-29,0
TATA Consultancy Services ,TTM,Many managers are collecting details of employee domicile(local non local) in Maharashtra offices,"Many managers are collecting details of employee domicile(local non local) in Maharashtra offices thro informal channels, be tight lipped your local colleague ask or details on how long you have been in Pune / Mumbai/nagapur and details of place of...
read more",2018-10-13,3
TATA Consultancy Services ,TTM,Outsiders face layoff in Mumbai& Pune due to government rule on local hiring - Brace for mistreatment,"Outsiders face layoff in Mumbai& Pune due to government rule on local hiring. Companies might have been asked to ease out outsiders thro non formal means like mobbing, harassment, and forced resignation so that local BJP government can come back to...
read more",2018-10-13,2
TATA Consultancy Services ,TTM,with 95% roles not requiring programming skill how the Indian IT firms fooling Indian government on skills,"with 95% roles not requiring programming skill how the Indian IT firms fooling Indian government on skills - answer bribery thro election funding for BJP government of Modi Business friendly means the Indian society is looted by Indian Business...
read more",2018-09-06,1
TATA Consultancy Services ,TTM,90% freshers being given support and manual testing roles - career dead end in 5 years,"90% freshers being given support and manual testing roles - career dead end in 5 years especially those in testing ....5000 sr functional testers waiting on bench for last six months, being prevented from moving into other roles even after learning...
read more",2018-07-12,4
TATA Consultancy Services ,TTM,hired a python developer in off campus hiring drive - asked to do manual testing on joining.,"hired a python developer in off campus hiring drive - asked to do manual testing on joining. after 5 rounds of evaluation code challenges etc, got offer and on joining given manual testing roles on protesting offered a support roles in junk project...
read more",2018-04-26,1
TATA Consultancy Services ,TTM,As a campus hire forced into manual testing - I quit today to protect my long terms career path,"As a campus hire forced into manual testing - I quit today to protect my long term prospects and build a better career path and avoid the use and throw career path in TCS - continuing just to have job means layoff after 3-5 years and career dead end...
read more",2018-03-12,3
TATA Consultancy Services ,TTM,use freshers in steel factories and give us indian cheaper steel Mr chandra,"use freshers in steel factories and give us indian cheaper steel Mr tata chandra - You are burden on our daily life, or atleast stop begging government to block imported steel which is cheaper. We dont need your jobs in It sector and your...
read more",2018-01-31,1
TATA Consultancy Services ,TTM,IT Firms form cartel lobby for Hire and fire with huge political donations,"The present indiani government is introducing Hire and Fire policy that make it easy for companies to implement exploitative and intimidating practices like these in India, so things are likely worsen and salaries are going to be reduced to boost...
read more",2018-01-01,4
TATA Consultancy Services ,TTM,TCS Anti american lawsuit broadened - excluded american to drive down salaries using H1B - cartels at work,"TCS Anti american lawsuit broadened - TCS excluded american employees to rive down salaries using H1B visa holder Most of H1 B holder of Indian IT serices firms are freshers with two years stint at offshore who can babble a lot in English but have...
read more",2017-12-29,0
TATA Consultancy Services ,TTM,"Time to do cost cutting & unnecessary expenditure. can save losses of company,",no body text,2017-12-14,2
TATA Consultancy Services ,TTM,"GOT offer in TCS 5years exp payin 80k , it good or bad to join",no body text,2017-12-05,15
TATA Consultancy Services ,TTM,indian employees life & work in U.S,no body text,2017-11-09,16
TATA Consultancy Services ,TTM,classic CMC destroyed by TCS,no body text,2017-11-09,6
TATA Consultancy Services ,TTM,"sal hike and promotion are very bad seeing more then 5 years, relocated other cities very difficult",no body text,2017-11-08,21
TATA Consultancy Services ,TTM,H1B visa stop renewal also?,no body text,2017-11-08,2
TATA Consultancy Services ,TTM,any layoffs in india?,no body text,2017-11-02,8
TATA Consultancy Services ,TTM,layoff of seniors - This comany is burden on Indian Tax payer - 100000 crore Taxsubsidy per year on SEZ,"layoff of seniors - This company is burden on Indian Tax payer - 100000 crore Tax subsidy per year on SEZ. If they think the old employee cant learn new technology, this old time family management companies cannot handle new generation technology...
read more",2017-09-18,0
TATA Consultancy Services ,TTM,layoff thro forced resignations: issue moves tocourt,layoff thro forced resignations issue moves to court http://indiatoday.intoday.in/story/it-layoffs-11-tech-mahindra-employees-move-labour-court-%C2%A0-%C2%A0/1/1023450.html,2017-08-24,0
TATA Consultancy Services ,TTM,layoff thro forced resignations: IT employees move labour court,layoff thro forced resignations: 11 IT employees move labour court http://indiatoday.intoday.in/story/it-layoffs-11-tech-mahindra-employees-move-labour-court-%C2%A0-%C2%A0/1/1023450.html,2017-08-24,0
TATA Consultancy Services ,TTM,which firm started forced resignation practice in india - read here https://www.thelayoff.com/t/OOkEYqa,which firm first invented the fraudulent forced resignation practice to increase profits in india - read here https://www.thelayoff.com/t/OOkEYqa,2017-08-17,0
TATA Consultancy Services ,TTM,Layoff thro forced resignation and prevent rehire any where else-Nasty,"Nasty practices of Indian Tier 1 and Tier 2 companies. to prevent fired senior employees from getting jobs in other Tier1 and Tier 2 companies have come to informal agreement and shared the database and are not hiring senior employees even if they...
read more",2017-08-11,1
TATA Consultancy Services ,TTM,layoff disguised as voluntary attrition ( by means of forced Resignations)to retain tax exemptions,"layoff disguised as voluntary attrition to retain tax exemptions layoff disguised as voluntary attrition ( by means of forced Resignations) Are Becoming Common in Pune's IT Sector...
read more",2017-08-03,0
TATA Consultancy Services ,TTM,thousands of crores of indian tax payers money going into hands of tcs share holders,"thousands of crores of tax payers money going into hands of tcs share holders in the form of high windfall profits due tax breaks. such inefficient white elephant gujarat based group gets so much support of government,. no automation being used in...
read more",2017-08-02,0
TATA Consultancy Services ,TTM,firing employee with higher pay- TATA affordable homes cost 1.5 crore each.,"firing employee with higher pay- TATA affordable homes cost 1.5 crore each after getting land on subsidy from government. Desi Business Families looting India and moving profits to USA . using Nasscom to throttle whistle blowers. IT folks start...
read more",2017-07-25,2
TATA Consultancy Services ,TTM,Forced Resignations Are Becoming Common in Pune's IT Sector,Forced Resignations Are Becoming Common in Pune's IT Sector http://www.news18.com/news/india/forced-resignations-are-becoming-common-in-punes-it-sector-1464893.html,2017-07-19,2
TATA Consultancy Services ,TTM,why uncompetetive tata steel get support from govt.- blicking chine steel imports,why uncompetetive tata steel get support from govt.- blicking chine steel imports. Tata has spoiled IT martket with low billing rate and should be gven same treatment.,2017-06-29,3
TATA Consultancy Services ,TTM,layoff - IT pros aremost exploted workforce in India,"Layoffs and forced resignations the false label of being highly paid hurting IT Pros. IT pros salary levels have stagnated for more than decade and are far below the level in finance and manufacturing sector. Considering the high risk of knowledge...
read more",2017-06-27,0
TATA Consultancy Services ,TTM,India’s worst engineers come from the city that sends the most STEM students to the US,https://qz.com/977850/hyderabad-a-city-that-sends-the-most-software-engineers-to-the-us-has-the-worst-engineers-in-india/,2017-05-09,3
TATA Consultancy Services ,TTM,TCS mid to senior ranks need total change,The company needs to seriously change mid to senior rank significantly. It has been rotten for too long.,2017-04-27,0
TATA Consultancy Services ,TTM,thanks to h1b executive order by trump today - slave labour begins to end.,"thanks to h1b executive order by trump today - slave labor begins to end. If these It services companies cant pay better salaries they should no claim tax benefits. it is better for government to pay salaries directly to un employed then pay these...
read more",2017-04-18,0
TATA Consultancy Services ,TTM,dirty practices of this indian firm led to crash in tech billing rates,"dirty practices of this indian firm led to crash in tech billing rates as these Indian firms consider employees as coolies who must be exploited. The affordable housing of tata's costs about 10-15 million rupees and keeping increasing every quarter...
read more",2017-04-09,0
TATA Consultancy Services ,TTM,Trying to dump Seniors,"TCS is also resorting to other #DISCRIMINATORY tactics for e.g make it a policy not to hit ex- TCS'ers and this is all being carried out in a hush hush way under a close watch of HR. Many groups who would live to hire oldies are at a loss . Trying to...
read more",2016-10-21,4
TATA Consultancy Services ,TTM,Transport system,"TCS have very unmanaged transport system in Delhi/NCR. Although TCS is very good company in IT sector even then there is no transport applications.After paid services of transport system we are fighting for cab everyday. Please spread this message to...
read more",2016-10-21,1
TATA Consultancy Services ,TTM,PGCIL,I am working with TCS New Delhi. PGCIL project. People are asking for release. Holding them without their will and those asking for opportunities are not given chance. Nobody is giving their best due to grudges with manager or say management.,2016-10-20,0
TATA Consultancy Services ,TTM,Politics !,"We all have heard about the famous quote making rounds in IT sector - ""TCS is like a government company"" Sure it is ! Not sure in terms of work but undoubtedly for polictics ! People in the managerial roles have zero vision and are managers only by...
read more",2016-10-20,2
TATA Consultancy Services ,TTM,"Oh, well...","Q2 Results: While shareholders have been rewarded with 6 times the face value per share, the employees ( only for mid seniors and above) variable pay has been cut by half or more. Also, mgmnt seems to have run out of ideas and only struggling to...
read more",2016-10-19,2
TATA Consultancy Services ,TTM,Only boot lickers are safe,"They did similar layoffs in Jan-feb 2015 but have to stop in between before they could fire all they targeted seniors. Now how TCS select who to fire is by giving power to Group Leads and his cha-chas who have been working in same for project for...
read more",2016-10-19,1
TCF Financial Corp.,TCB,Layoffs are a tool used by leaders without vision and intended to keep employees off balance,"Layoffs are never done. It is a tool used by leaders without vision and intended to keep employees off balance. Until TCF starts trimming management there is no end in sight. The ramp up to the formal merger will have a substantial impact on...
read more",2019-02-22,1
TCF Financial Corp.,TCB,Failure of leadership,"There is a management failure at the highest levels in this company. There is no obvious long term strategy for any of the business units at TCF. Management is over matched by Chemical, a smaller and less complicated bank. The number of people that...
read more",2019-02-22,0
TCF Financial Corp.,TCB,Are layoffs done?,"Or can we expect more TCF departments to be hit today or sometime next week? I've been worried about more layoffs for a while now. Considering the situation, it was only a matter of time before the higher ups decided to cut more people. Which is why...
read more",2019-02-22,1
TCF Financial Corp.,TCB,TCF Equipment Finance Operations Dept layoffs today,"Started work this morning and was called into a ""mandatory"" Capital Solutions update where they promptly terminated my employment, along with many others. After hearing Craig Dahl and Bill Henak spew their b---s--- about not foreseeing layoffs, they...
read more",2019-02-20,1
TCF Financial Corp.,TCB,Merger,"I would have thought this board might have some activity today. So you are merging with a bank you never heard of, and they will run it under the TCF brand. The last time TCF did a 'merger of equals' was with a different Michigan bank, Great Lakes...
read more",2019-01-29,1
