company_name,link,ticker
Andeavor,https://www.thelayoff.com//tesoro,ANDV
Art Institutes,https://www.thelayoff.com//the-art-institutes,
T & S Hoist and Rigging,https://www.thelayoff.com//t-and-s-hoist-and-rigging,
T J Health Columbia,https://www.thelayoff.com//t-j-health-columbia,
T J Samson Community Hospital,https://www.thelayoff.com//t-j-samson-community-hospital,
T Or C Municipal Schools,https://www.thelayoff.com//t-or-c-municipal-schools-school-district,
T-3 Energy Services Inc.,https://www.thelayoff.com//t-3-energy-services,TTES
T-Mobile,https://www.thelayoff.com//t-mobile-us,TMUS
T. Rowe Price Group Inc.,https://www.thelayoff.com//t-rowe-price-group,TROW
"T.D. Williamson, Inc.",https://www.thelayoff.com//tdw,
T2 Biosystems Inc.,https://www.thelayoff.com//t2-biosystems,TTOO
T2 Products,https://www.thelayoff.com//t2-products,
T3,https://www.thelayoff.com//t3,
TAB India-Amsum and Ash,https://www.thelayoff.com//tab-india-amsum-and-ash,
TAG Employer Services,https://www.thelayoff.com//tag-employer-services,
TAG OIL LTD,https://www.thelayoff.com//tag-oil-ltd,TAO
TAL Education Group ADS,https://www.thelayoff.com//tal-education-group,XRS
TAL International Group Inc.,https://www.thelayoff.com//tal-international-group,TAL
TAM S/A,https://www.thelayoff.com//tam,TAM
TAMCO,https://www.thelayoff.com//tamco,
TARGUSinfo,https://www.thelayoff.com//targusinfo,
TASER International Inc.,https://www.thelayoff.com//taser-international,TASR
TATA Consultancy Services ,https://www.thelayoff.com//tcs,TTM
TBJ,https://www.thelayoff.com//tbj,
TBS International Ltd.,https://www.thelayoff.com//tbs-international,TBSI
TBWA,https://www.thelayoff.com//tbwa,
TC PipeLines L.P.,https://www.thelayoff.com//tc-pipelines,TCLP
TC Trans,https://www.thelayoff.com//tc-trans,
TC3 Telecom,https://www.thelayoff.com//tc3-telecom,
TCAssociates,https://www.thelayoff.com//tcassociates,
TCF Financial Corp.,https://www.thelayoff.com//tcf-financial,TCB
TCI College of Technology,https://www.thelayoff.com//tci-college-of-technology,
TCMPI,https://www.thelayoff.com//tcmpi,
TCP Capital Corp.,https://www.thelayoff.com//tcp-capital,TCPC
TCP International Holdings Ltd.,https://www.thelayoff.com//tcp-international-holdings,TCPI
TD Ameritrade Holding Corp.,https://www.thelayoff.com//td-ameritrade-holding,AMTD
TDC Systems Integration,https://www.thelayoff.com//tdc-systems-integration,
TDH Holdings,https://www.thelayoff.com//tdh-holdings,PETZ
TDK Corp.,https://www.thelayoff.com//tdk,TDK
TEAM Technologies,https://www.thelayoff.com//team-technologies,
TEC Equipment,https://www.thelayoff.com//tec-equipment,
TECO Energy Inc.,https://www.thelayoff.com//teco-energy,TE
TECSYS Inc.,https://www.thelayoff.com//tecsys,TCS
TEL Offshore Trust UBI,https://www.thelayoff.com//tel-offshore-trust-ubi,TELOZ
TELUS Corp.,https://www.thelayoff.com//telus,TU
TELUS Corporation,https://www.thelayoff.com//telus-corporation,
TEPPCO Partners L.P.,https://www.thelayoff.com//teppco-partners,TPP
TERNIUM S.A.,https://www.thelayoff.com//ternium,TX
TES Engineering,https://www.thelayoff.com//tes-engineering,
TESARO Inc.,https://www.thelayoff.com//tesaro,TSRO
TESSCO,https://www.thelayoff.com//tessco,
TF Financial Corp.,https://www.thelayoff.com//tf-financial,THRD
TF Warren,https://www.thelayoff.com//tf-warren,
TFE,https://www.thelayoff.com//tfe,
TFS Financial Corp.,https://www.thelayoff.com//tfs-financial,TFSL
TG Therapeutics Inc.,https://www.thelayoff.com//tg-therapeutics,TGTX
TGC Industries Inc.,https://www.thelayoff.com//tgc-industries,TGE
TGW,https://www.thelayoff.com//tgw,
TGaS Advisors,https://www.thelayoff.com//tgas-advisors,
THI,https://www.thelayoff.com//thi,
THL Credit Inc.,https://www.thelayoff.com//thl-credit,TCRD
THQ Inc.,https://www.thelayoff.com//thq,
THT Heat Transfer Technology Inc.,https://www.thelayoff.com//tht-heat-transfer-technology,THTI
TIAA (TIAA-CREF),https://www.thelayoff.com//tiaa-cref,
TIB Financial Corp.,https://www.thelayoff.com//tib-financial,TIBB
TIBCO Software Inc.,https://www.thelayoff.com//tibco-software,TIBX
TIC Holdings,https://www.thelayoff.com//tic-holdings,
TICC Capital Corp.,https://www.thelayoff.com//ticc-capital,TICC
TIG Global,https://www.thelayoff.com//tig-global,
TII Network Technologies Inc.,https://www.thelayoff.com//tii-network-technologies,TIII
TIM Participacoes S/A,https://www.thelayoff.com//tim-participacoes,TSU
TJX Cos.,https://www.thelayoff.com//tjx-cos,TJX
TK Engineering,https://www.thelayoff.com//tk-engineering,
TLC Vision Corp.,https://www.thelayoff.com//tlc-vision,TLCV
TM Entertainment & Media Inc.,https://www.thelayoff.com//tm-entertainment-and-media,TMI
TMA Systems,https://www.thelayoff.com//tma-systems,
TMC - Bonham Hospital,https://www.thelayoff.com//tmc-bonham-hospital,
TMSi Logistics,https://www.thelayoff.com//tmsi-logistics,
"TMX Group, Inc.",https://www.thelayoff.com//tmx-group,
TMone,https://www.thelayoff.com//tmone,
TNG Enterprises,https://www.thelayoff.com//tng-enterprises,
TNS Inc.,https://www.thelayoff.com//tns,TNS
TOD,https://www.thelayoff.com//tod,
TOP Ships Inc.,https://www.thelayoff.com//top-ships,TOPS
TOPCON,https://www.thelayoff.com//topcon,
TOR Minerals International Inc.,https://www.thelayoff.com//tor-minerals-international,TORM
TORC Financial,https://www.thelayoff.com//torc-financial,
TPG Pace,https://www.thelayoff.com//tpg-pace,TPGHU
TPG Specialty Lending Inc.,https://www.thelayoff.com//tpg-specialty-lending,TSLX
TPI Composites,https://www.thelayoff.com//tpi-composites,TPIC
TQM Apparel Group,https://www.thelayoff.com//tqm-apparel,
TRACON Pharmaceuticals Inc.,https://www.thelayoff.com//tracon-pharmaceuticals,TCON
TRC Cos. Inc.,https://www.thelayoff.com//trc-cos,TRR
TRENDnet,https://www.thelayoff.com//trendnet,
TRI Pointe Homes Inc.,https://www.thelayoff.com//tri-pointe-homes,TPH
TRM Corp.,https://www.thelayoff.com//trm,TRMM
TRMC of Orangeburg & Calhoun,https://www.thelayoff.com//trmc-of-orangeburg-and-calhoun,
TRW Automotive Holdings Corp.,https://www.thelayoff.com//trw-automotive-holdings,TRW
TRX Inc.,https://www.thelayoff.com//trx,TRXI
TSI,https://www.thelayoff.com//tsi,
TSO3 Inc.,https://www.thelayoff.com//tso3,TOS
TSR Inc.,https://www.thelayoff.com//tsr,TSRI
TTI Team Telecom International Ltd.,https://www.thelayoff.com//tti-team-telecom-international,TTIL
TTM Technologies,https://www.thelayoff.com//ttm-technologies,TTMI
TUI University (formerly Touro University International),https://www.thelayoff.com//tui-university,
TV Ears,https://www.thelayoff.com//tv-ears,
TVI Corp.,https://www.thelayoff.com//tvi,TVIN
TVI Pacific Inc.,https://www.thelayoff.com//tvi-pacific,TVI
TW Medical Veterinary Supply,https://www.thelayoff.com//tw-medical-veterinary-supply,
TWR Lighting,https://www.thelayoff.com//twr-lighting,
TXCO Resources Inc.,https://www.thelayoff.com//txco-resources,TXCO
Tabernacle Township School District,https://www.thelayoff.com//tabernacle-township-school-district,
Tableau Software,https://www.thelayoff.com//tableau-software,
Tabor College,https://www.thelayoff.com//tc,
Tabula Rasa HealthCare,https://www.thelayoff.com//tabula-rasa-healthcare,TRHC
Taco Bell,https://www.thelayoff.com//taco-bell,
Tacoma General Allenmore Hospital,https://www.thelayoff.com//tacoma-general-allenmore-hospital,
Tacoma School District,https://www.thelayoff.com//tacoma-school-district,
Taconic Builders,https://www.thelayoff.com//taconic-builders,
Taconic Hills Central School District,https://www.thelayoff.com//taconic-hills-central-school-district,
Tactical Support Equipment,https://www.thelayoff.com//tactical-support-equipment,
Taft City School District,https://www.thelayoff.com//taft-city-school-district,
Taft Independent School District,https://www.thelayoff.com//taft-isd-school-district,
Taft School District 90,https://www.thelayoff.com//taft-sd-90-school-district,
Taft Union High - School District,https://www.thelayoff.com//taft-union-high-school-district,
Tahlequah School District,https://www.thelayoff.com//tahlequah-school-district,
Tahoe Forest Hospital,https://www.thelayoff.com//tahoe-forest-hospital,
Tahoe Partners,https://www.thelayoff.com//tahoe-partners,
Tahoe Resources Inc.,https://www.thelayoff.com//tahoe-resources,TAHO
Tahoe-Truckee Unified School District,https://www.thelayoff.com//tahoe-truckee-unified-school-district,
Tahoka Independent School District,https://www.thelayoff.com//tahoka-isd-school-district,
Taholah School District,https://www.thelayoff.com//taholah-school-district,
Tahoma School District,https://www.thelayoff.com//tahoma-school-district,
Tahquamenon Area Schools,https://www.thelayoff.com//tahquamenon-area-schools-school-district,
Taiga Building Products Ltd.,https://www.thelayoff.com//taiga-building-products,TBL
Tailored Label Products,https://www.thelayoff.com//tailored-label-products,
Tailwind Financial Inc.,https://www.thelayoff.com//tailwind-financial,TNF
Taitron Components Inc.,https://www.thelayoff.com//taitron-components,TAIT
Taiwan Semiconductor Manufacturing Co. Ltd.,https://www.thelayoff.com//taiwan-semiconductor-manufacturing,TSM
Take-Two Interactive Software Inc.,https://www.thelayoff.com//take-two-interactive-software,TTWO
Takeda,https://www.thelayoff.com//takeda,
Takoma Regional Hospital,https://www.thelayoff.com//takoma-regional-hospital,
Talan Products,https://www.thelayoff.com//talan-products,
Talawanda City School District,https://www.thelayoff.com//talawanda-city-school-district,
Talbot County,https://www.thelayoff.com//talbot-ga,
Talbot County Public Schools,https://www.thelayoff.com//talbot-county-public-schools-school-district,
Talbot County School District,https://www.thelayoff.com//talbot-county-school-district,
"Talbot County, MD",https://www.thelayoff.com//talbot-md,
Talbots Inc.,https://www.thelayoff.com//talbots,TLB
Talen Energy,https://www.thelayoff.com//talen,TLN
Talend,https://www.thelayoff.com//talend,TLND
Talent Connections,https://www.thelayoff.com//talent-connections,
TalentBurst,https://www.thelayoff.com//talentburst,
TalentQuest,https://www.thelayoff.com//talentquest,
Taleo Corp.,https://www.thelayoff.com//taleo,TLEO
Taliaferro County,https://www.thelayoff.com//taliaferro,
Taliaferro County School District,https://www.thelayoff.com//taliaferro-county-school-district,
Talihina School District,https://www.thelayoff.com//talihina-school-district,
Talisman Energy Inc.,https://www.thelayoff.com//talisman-energy,TLM
Talison Lithium Ltd,https://www.thelayoff.com//talison-lithium-ltd,TLH
Talladega City School District,https://www.thelayoff.com//talladega-city-school-district,
Talladega College,https://www.thelayoff.com//talladega,
Talladega County,https://www.thelayoff.com//talladega-al,
Talladega County School District,https://www.thelayoff.com//talladega-county-school-district,
Tallahassee Memorial Hospital,https://www.thelayoff.com//tallahassee-memorial-hospital,
Tallahatchie County,https://www.thelayoff.com//tallahatchie,
Tallahatchie Critical Access Hospital,https://www.thelayoff.com//tallahatchie-critical-access-hospital,
Tallapoosa County,https://www.thelayoff.com//tallapoosa,
Tallapoosa County School District,https://www.thelayoff.com//tallapoosa-county-school-district,
Tallassee City School District,https://www.thelayoff.com//tallassee-city-school-district,
Tallgrass Energy GP LP,https://www.thelayoff.com//tallgrass-energy-gp,TEGP
Tallgrass Energy Partners LP,https://www.thelayoff.com//tallgrass-energy-partners,TEP
Tallmadge City School District,https://www.thelayoff.com//tallmadge-city-school-district,
Talmadge Public Schools,https://www.thelayoff.com//talmadge-public-schools-school-district,
Talmer Bancorp Inc.,https://www.thelayoff.com//talmer-bancorp,
Taloga School District,https://www.thelayoff.com//taloga-school-district,
Talon Metals Corp.,https://www.thelayoff.com//talon-metals,TLO
Talon/LPE,https://www.thelayoff.com//talon-lpe,
Talyst,https://www.thelayoff.com//talyst,
Tama County,https://www.thelayoff.com//tama,
Tamalpais Union High - School District,https://www.thelayoff.com//tamalpais-union-high-school-district,
Tamaqua Area School District,https://www.thelayoff.com//tamaqua-area-sd-school-district,
Tamaroa School District 5 School District,https://www.thelayoff.com//tamaroa-school-dist-5-school-district,
Tampa Bay Times,https://www.thelayoff.com//tampa-bay-times,
Tampa Community Hospital,https://www.thelayoff.com//tampa-community-hospital,
Tampa Contracting Services,https://www.thelayoff.com//tampa-contracting-services,
Tampa General Hospital,https://www.thelayoff.com//tampa-general-hospital,
Tanana City School District,https://www.thelayoff.com//tanana-city-school-district,
Tandem Professional Employer Services,https://www.thelayoff.com//tandem,
Tandy Brands Accessories Inc.,https://www.thelayoff.com//tandy-brands-accessories,TBAC
Tandy Leather Factory Inc.,https://www.thelayoff.com//tandy-leather-factory,TLF
Taney County,https://www.thelayoff.com//taney,
Taneyville R-Ii School District,https://www.thelayoff.com//taneyville-r-ii-school-district,
Tang Industries,https://www.thelayoff.com//tang-industries,
Tanger Factory Outlet Centers Inc.,https://www.thelayoff.com//tanger-factory-outlet-centers,SKT
Tangipahoa Parish,https://www.thelayoff.com//tangipahoa,
Tangipahoa Parish School District,https://www.thelayoff.com//tangipahoa-parish-school-district,
Tangoe Inc.,https://www.thelayoff.com//tangoe,
Tannehill School District,https://www.thelayoff.com//tannehill-school-district,
Tanner Medical Center - Carrollton,https://www.thelayoff.com//tanner-medical-center-carrollton,
Tanner Medical Center Villa Rica,https://www.thelayoff.com//tanner-medical-center-villa-rica,
Tanque Verde Unified District,https://www.thelayoff.com//tanque-verde-unified-district-school-district,
Tantech Holdings Ltd.,https://www.thelayoff.com//tantech-holdings,TANH
Tanzanian Royalty Exploration Corp.,https://www.thelayoff.com//tanzanian-royalty-exploration,TNX
Taomee Holdings Ltd. ADS,https://www.thelayoff.com//taomee-holdings,TAOM
Taos County,https://www.thelayoff.com//taos,
Taos Municipal Schools,https://www.thelayoff.com//taos-municipal-schools-school-district,
Tapestry Pharmaceuticals Inc.,https://www.thelayoff.com//tapestry-pharmaceuticals,TPPH
Tapestry Solutions,https://www.thelayoff.com//tapestry-solutions,
Taradel,https://www.thelayoff.com//taradel,
Tarena International Inc. ADS,https://www.thelayoff.com//tarena-international,TEDU
