company,ticker,title,body,date,replies
Kemper Insurance,UTR,Infinity Insurance Workforce Reduction,First workforce reduction is complete. When will be the next and how many are next?,2018-11-03,1
Kemper Insurance,UTR,CSAA Insurance layoffs 2018,"Auto field staff to be reduced 50% minimum. Half this year and half next at the latest. Primarily in California. Not a rumor. This has already been decided by CSAA. First announcement very soon, but no later than 8/1/18, likely much sooner. Just a...
read more",2018-05-14,36
Kemper Insurance,UTR,"No layoffs at Kemper, for now (Chicago)",Some other companies here in Chicago are having cuts - this makes us nervous as well. I hope things stabilize soon and that there will be no jobs lost in 2018. Good luck to all!!!,2018-02-26,0
U.S. Bank,USB,More layoffs at U.S. Bank,"In case somebody missed it... I wonder if we'll stop seeing articles like this any time soon. U.S. Bank issues layoffs to undisclosed number of employees...
read more",2019-03-13,0
U.S. Bank,USB,US Bank Minneapolis cuts jobs,And they are trying to hide it. The media is not reporting.,2019-02-26,2
U.S. Bank,USB,CEO just getting started! Just wait for the next recession & REAL Pain!,"If you work for U.S. Bank you are a fool! Why layoffs after major tax breaks resulting in record after tax profits in 2018? Take your bonus & run. Richard Davis and the good ole days are long gone. The new CEO cares only about numbers NOT people! I...
read more",2019-02-26,2
U.S. Bank,USB,Chicago Layoffs,"Quite a few branches were announced to close this past week in the Chicago district, which includes surround suburbs. Overall about 15 branches, or just over 10% of the market, are scheduled to close within the next month. All employees of those...
read more",2019-02-21,1
U.S. Bank,USB,15 layoffs in Portland Market,15 layoffs in Portland Metro Market. All tenure employees.,2019-02-20,0
U.S. Bank,USB,U.S. Bank layoffs in Wisconsin,"Other poster called it, even more layoffs have been announced by the bank. This time it's ""only"" 40 in Wisconsin, but something tells me more of these announcements will be forthcoming...
read more",2019-02-06,0
U.S. Bank,USB,More Coming,"After shutting down 2 of our processing centers and rerouting workflow from the west coast back to Minnesota in November, Home Mortgage Closing in the west has lost 2/3 of their overall volume. Leadership leaving annual reviews to the last possible...
read more",2019-02-04,0
U.S. Bank,USB,"Cecere doesn't care about people, just numbers. And he's flexing. Time to Unionize.","Under Richard Davis, the Bank was humane. It genuinely cared about its people. Now after a year and a half Cecere is feeling confident enough to flex, and to him, people are just expenses. If he's doing this when times are good, how will he treat...
read more",2018-11-30,2
U.S. Bank,USB,Interesting view on US Bank,"Not sure for how long the presence has been there. It is a combination of arrogance and incompetence. People feel sick when the presence is there. People sigh and roll their eyes when the presence begins speaking. Shannon Levang, you need to leave...
read more",2018-11-20,1
U.S. Bank,USB,More layoffs? Please advise,I hear it is not over and that January 2019 will bring more layoffs across the board. Someone with insight?,2018-11-19,0
U.S. Bank,USB,More layoffs,"Last week mass laid off at us bank, Minneapolis. Heard from my friend who is Working there. Any chance we can get some more info on this? And while we're at it, have there been any news on more US Bank layoffs any time soon? They seem to be happening...
read more",2018-11-14,1
U.S. Bank,USB,RPA,Ask about the Robotics Process Automation (RPA)initiative. Everything from underwriting to loan decisions at the branch and other processes will be streamlined and automated. THOUSANDS will go need to find another job. Future is here people!,2018-11-12,0
U.S. Bank,USB,TOS Project Services,"A number of my former colleagues were let go a few days back. All of them In the TOS project services group. Talk about a hostile world of politics where accomplishments were never celebrated and mistakes were always punished harshly. Incompetent CIO...
read more",2018-11-08,2
U.S. Bank,USB,Efficiency consultants hired in Mpls/St Paul market,"Efficiency consultants have been hired. This was reliably confirmed by an outside source. Let’s use this forum to exchange updates, locations and information for the good of the group. Citi National is hiring locally. JP Morgan is also expanding to...
read more",2018-11-08,2
U.S. Bank,USB,US bank no longer employer of choice,"Who wants to work in a place where your job is going to be a Jeopardy after three months, and contractors we'll have a preference over you as a full-time employee? If I ever know anyone who decides to take a job at U.S. Bank, I will make sure to...
read more",2018-11-07,1
U.S. Bank,USB,Waste of money to layoff and hire,"Layoff 700 people and have 300 positions open. In the interest of saving time and money, could this people put two and two together and maybe offer some training to keep some of these people instead of laying off? Who is the Mr Wizard who plans all...
read more",2018-11-07,0
U.S. Bank,USB,"DevOps ""leader"" gone!","They hired a ""devops leader"" about 2 years ago, fat salary, fat bonus, only walked to meeting rooms to give the SAME presentation for a year. No results. Same this year. Finally let him go. Why do these people keep hiring dead weights who cannot...
read more",2018-11-07,0
U.S. Bank,USB,US Bank Layoffs 2019,"If the economy turns around, do you anticipate any US Bank Layoffs in 2019?",2018-10-30,1
U.S. Bank,USB,Next round,Is anyone willing to share when the next round is...?,2018-10-30,1
U.S. Bank,USB,Everybody should be proactively managing their career,"Things change. Sometimes you are in control of the change and sometimes you are not. In my opinion, working at the same place for 20 years is way too long..makes your skills stagnant and less competitive. Everyone should be proactively managing their...
read more",2018-10-29,3
U.S. Bank,USB,What was the reasoning?,"Can anybody tell me what was the reasoning behind laying off some of our best people? How is that going to help US Bank short and especially long term? I'm not sure who made the decision on who will be laid off, but it certainly wasn't anybody who...
read more",2018-10-29,0
U.S. Bank,USB,It Could Take People 1+ Years to Find A New JOB!!!,"I know a U.S. Bank employee with 15 years with the bank that was laid off in 2016. It took her over a year to find a new job. If not prepared, even with a severance package, layoffs can cause depression, bankruptcy, foreclosure, divorce & even...
read more",2018-10-29,1
