company_name,link,ticker
Kemper Insurance,https://www.thelayoff.com//unitrin,UTR
Ronald Reagan UCLA Medical Center,https://www.thelayoff.com//ucla-medical-center,
U-Haul,https://www.thelayoff.com//u-haul,
U-Store-It-Trust,https://www.thelayoff.com//u-store-it-trust,YSI
U.K. Elite Soccer,https://www.thelayoff.com//uk-elite-soccer,
U.S. Auto Parts Network Inc.,https://www.thelayoff.com//u-s-auto-parts-network,PRTS
U.S. Bank,https://www.thelayoff.com//u-s-bancorp,USB
U.S. Cellular Corp.,https://www.thelayoff.com//u-s-cellular,USM
U.S. Concrete Inc.,https://www.thelayoff.com//u-s-concrete,USCR
U.S. Diagnostics,https://www.thelayoff.com//us-diagnostics,
U.S. Energy Corp.,https://www.thelayoff.com//u-s-energy,USEG
U.S. Energy Services,https://www.thelayoff.com//us-energy-services,
U.S. Geothermal Inc.,https://www.thelayoff.com//u-s-geothermal,HTM
U.S. Geothermal Inc.,https://www.thelayoff.com//us-geothermal,GTH
U.S. Global Investors Inc.,https://www.thelayoff.com//u-s-global-investors,GROW
U.S. Home Systems Inc.,https://www.thelayoff.com//u-s-home-systems,USHS
U.S. Lime & Minerals Inc.,https://www.thelayoff.com//u-s-lime-and-minerals,USLM
U.S. Pavement Services,https://www.thelayoff.com//us-pavement-services,
U.S. Physical Therapy Inc.,https://www.thelayoff.com//u-s-physical-therapy,USPH
U.S. Shipping Partners L.P. Un,https://www.thelayoff.com//u-s-shipping-partners-un,USS
U.S. Silica Holdings Inc.,https://www.thelayoff.com//u-s-silica-holdings,SLCA
U.S. Silver Corp.,https://www.thelayoff.com//us-silver,USA
UAMS Medical Center,https://www.thelayoff.com//uams-medical-center,
UAP Holding Corp.,https://www.thelayoff.com//uap-holding,UAPH
UBIC Inc. ADS,https://www.thelayoff.com//ubic,UBIC
UBS,https://www.thelayoff.com//ubs-ag,UBS
UCBH Holdings Inc.,https://www.thelayoff.com//ucbh-holdings,UCBH
UCN Inc.,https://www.thelayoff.com//ucn,UCNN
UCON Construction,https://www.thelayoff.com//ucon-construction,
UCP Inc.,https://www.thelayoff.com//ucp,UCP
UDR Inc.,https://www.thelayoff.com//udr,UDR
UEX Corporation,https://www.thelayoff.com//uex-corporation,UEX
UFP Technologies Inc.,https://www.thelayoff.com//ufp-technologies,UFPT
UGI Corp.,https://www.thelayoff.com//ugi,UGI
UIL Holdings Corp.,https://www.thelayoff.com//uil-holdings,UIL
ULTA,https://www.thelayoff.com//ulta-salon-cosmetics-and-fragrance,ULTA
UMB Financial Corp.,https://www.thelayoff.com//umb-financial,UMBF
UMH Properties Inc.,https://www.thelayoff.com//umh-properties,UMH
UNFI (United Natural Foods Inc.),https://www.thelayoff.com//united-natural-foods,UNFI
UNICON International,https://www.thelayoff.com//unicon-international,
UPMC Altoona,https://www.thelayoff.com//upmc-altoona,
UPMC Bedford Memorial,https://www.thelayoff.com//upmc-bedford-memorial,
UPMC East,https://www.thelayoff.com//upmc-east,
UPMC Hamot,https://www.thelayoff.com//upmc-hamot,
UPMC Horizon,https://www.thelayoff.com//upmc-horizon,
UPMC Mckeesport,https://www.thelayoff.com//upmc-mckeesport,
UPMC Mercy,https://www.thelayoff.com//upmc-mercy,
UPMC Northwest,https://www.thelayoff.com//upmc-northwest,
UPMC Passavant,https://www.thelayoff.com//upmc-passavant,
UPMC Presbyterian Shadyside,https://www.thelayoff.com//upmc-presbyterian-shadyside,
UPMC St Margaret,https://www.thelayoff.com//upmc-st-margaret,
UPS,https://www.thelayoff.com//united-parcel-service,UPS
UQM Technologies Inc.,https://www.thelayoff.com//uqm-technologies,UQM
URS Corp.,https://www.thelayoff.com//urs,URS
URSA Major Minerals Incorporated,https://www.thelayoff.com//ursa-major-minerals,UMJ
US Airways Group Inc.,https://www.thelayoff.com//us-airways-group,LCC
US BioEnergy Corp.,https://www.thelayoff.com//us-bioenergy,USBE
US Dataworks Inc.,https://www.thelayoff.com//us-dataworks,UDW
US Environmental,https://www.thelayoff.com//us-environmental,
US Export Direct,https://www.thelayoff.com//us-export-direct,
US Farathane,https://www.thelayoff.com//us-farathane,
US Foods,https://www.thelayoff.com//us-foods-holding-corp,USFD
US Foodservice,https://www.thelayoff.com//us-foodservice,
US Gold Canadian Acquisition Corporation,https://www.thelayoff.com//us-gold-canadian-acquisition-corporation,UXE
US Gold Corp.,https://www.thelayoff.com//us-gold,UXG
US LED,https://www.thelayoff.com//us-led,
US Logic,https://www.thelayoff.com//us-logic,
US Markerboard,https://www.thelayoff.com//us-markerboard,
US Oil,https://www.thelayoff.com//us-oil,
US Oncology,https://www.thelayoff.com//us-oncology,
US Steel,https://www.thelayoff.com//united-states-steel,
US Tech Solutions,https://www.thelayoff.com//us-tech-solutions,
US Trades,https://www.thelayoff.com//us-trades,
US Xpress Enterprises,https://www.thelayoff.com//us-xpress-enterprises,
USA Bus Charter,https://www.thelayoff.com//usa-bus-charter,
USA Compression Partners L.P.,https://www.thelayoff.com//usa-compression-partners,USAC
USA Financial Services,https://www.thelayoff.com//usa-financial-services,
USA Logistics Carriers,https://www.thelayoff.com//usa-logistics-carriers,
USA Mobility Inc.,https://www.thelayoff.com//usa-mobility,USMO
USA Technologies Inc.,https://www.thelayoff.com//usa-technologies,USAT
USA Today,https://www.thelayoff.com//usa-today,
USA Truck Inc.,https://www.thelayoff.com//usa-truck,USAK
USAA,https://www.thelayoff.com//usaa,
USANA Health Sciences Inc.,https://www.thelayoff.com//usana-health-sciences,USNA
USD Partners LP,https://www.thelayoff.com//usd-partners,USDP
USEC Inc.,https://www.thelayoff.com//usec,USU
USG Corp.,https://www.thelayoff.com//usg,USG
USM Business Systems,https://www.thelayoff.com//usm-business-systems,
USMD Holdings Inc.,https://www.thelayoff.com//usmd-holdings,USMD
UST Inc.,https://www.thelayoff.com//ust,UST
USTravel,https://www.thelayoff.com//ustravel,
USfalcon,https://www.thelayoff.com//usfalcon,
USr Healthcare,https://www.thelayoff.com//usr-healthcare,
UTEK Corp.,https://www.thelayoff.com//utek,UTK
UTStarcom Inc.,https://www.thelayoff.com//utstarcom,UTSI
UTi Worldwide Inc.,https://www.thelayoff.com//uti-worldwide,UTIW
Uber,https://www.thelayoff.com//uber,
Ubiquiti Networks Inc.,https://www.thelayoff.com//ubiquiti-networks,UBNT
Ubly Community Schools,https://www.thelayoff.com//ubly-community-schools-school-district,
Ucsf Medical Center,https://www.thelayoff.com//ucsf-medical-center,
Udall School District,https://www.thelayoff.com//udall-school-district,
Udig Technologies,https://www.thelayoff.com//udig-technologies,
Uf Health Jacksonville,https://www.thelayoff.com//uf-health-jacksonville,
Uf Health Shands Hospital,https://www.thelayoff.com//uf-health-shands-hospital,
Uh Cleveland Medical Center,https://www.thelayoff.com//uh-cleveland-medical-center,
Uh Geauga Medical Center,https://www.thelayoff.com//uh-geauga-medical-center,
Uhhs Memorial Hospital of Geneva,https://www.thelayoff.com//uhhs-memorial-hospital-of-geneva,
Uhhs Richmond Heights Hospital,https://www.thelayoff.com//uhhs-richmond-heights-hospital,
Uinta County,https://www.thelayoff.com//uinta,
Uinta County School District #1,https://www.thelayoff.com//uinta-county-sd-1-school-district,
Uinta County School District #4,https://www.thelayoff.com//uinta-county-sd-4-school-district,
Uinta County School District #6,https://www.thelayoff.com//uinta-county-sd-6-school-district,
Uintah Basin Medical Center,https://www.thelayoff.com//uintah-basin-medical-center,
Uintah County,https://www.thelayoff.com//uintah,
Uintah District School District,https://www.thelayoff.com//uintah-district-school-district,
Ukiah School District 80R,https://www.thelayoff.com//ukiah-sd-80r-school-district,
Ukiah Unified School District,https://www.thelayoff.com//ukiah-unified-school-district,
Ukiah Valley Medical Center,https://www.thelayoff.com//ukiah-valley-medical-center,
Ulen-Hitterdal Public School District,https://www.thelayoff.com//ulen-hitterdal-public-school-dist,
Ulm Elementary School District,https://www.thelayoff.com//ulm-elementary-school-district,
Ulster County,https://www.thelayoff.com//ulster,
Ultimate Software Group Inc.,https://www.thelayoff.com//ultimate-software-group,ULTI
Ultimo Software Solutions,https://www.thelayoff.com//ultimo-software-solutions,
Ultra Clean Holdings Inc.,https://www.thelayoff.com//ultra-clean-holdings,UCTT
Ultra Petroleum Corp.,https://www.thelayoff.com//ultra-petroleum,UPL
Ultra-Dex Tooling Systems,https://www.thelayoff.com//ultra-dex-tooling-systems,
Ultraflex International,https://www.thelayoff.com//ultraflex-international,
Ultragenyx Pharmaceutical Inc.,https://www.thelayoff.com//ultragenyx-pharmaceutical,RARE
Ultralife Batteries Inc.,https://www.thelayoff.com//ultralife-batteries,ULBI
Ultrapar Participacoes S/A,https://www.thelayoff.com//ultrapar-participacoes,UGP
Ultrapetrol (Bahamas) Ltd.,https://www.thelayoff.com//ultrapetrol-(bahamas),ULTR
Ultratech Inc.,https://www.thelayoff.com//ultratech,UTEK
Uluru Inc.,https://www.thelayoff.com//uluru,ULU
Ulysses School District,https://www.thelayoff.com//ulysses-school-district,
Umass Memorial Medical Center,https://www.thelayoff.com//umass-memorial-medical-center,
Umatilla County,https://www.thelayoff.com//umatilla,
Umatilla School District 6R,https://www.thelayoff.com//umatilla-sd-6r-school-district,
Umo N Ho N Nation Public Schools,https://www.thelayoff.com//umo-n-ho-n-nation-public-schs-school-district,
Umpqua Holdings Corp.,https://www.thelayoff.com//umpqua-holdings,UMPQ
Unadilla Valley Central School District,https://www.thelayoff.com//unadilla-valley-central-school-district,
Unalaska City School District,https://www.thelayoff.com//unalaska-city-school-district,
Under Armour Inc.,https://www.thelayoff.com//under-armour,UA
Underground Printing,https://www.thelayoff.com//underground-printing,
Underground Technologies,https://www.thelayoff.com//underground-technologies,
Underscore Marketing,https://www.thelayoff.com//underscore-marketing,
Underwood 8 School District,https://www.thelayoff.com//underwood-8-school-district,
Underwood Community School District,https://www.thelayoff.com//underwood-comm-school-district,
Underwood Public School District,https://www.thelayoff.com//underwood-public-school-district,
Uni-Pixel Inc.,https://www.thelayoff.com//uni-pixel,UNXL
Uni-Select Inc.,https://www.thelayoff.com//uni-select,UNS
UniFirst Corp.,https://www.thelayoff.com//unifirst,UNF
UniGroup,https://www.thelayoff.com//unigroup,
UniSource Energy Corp.,https://www.thelayoff.com//unisource-energy,UNS
Unibanco-Uniao de Bancos Brasileiros S/A (GDS),https://www.thelayoff.com//unibanco-uniao-de-bancos-brasileiros-(gds),UBB
Unica Corp.,https://www.thelayoff.com//unica,UNCA
Unico American Corp.,https://www.thelayoff.com//unico-american,UNAM
Unicoi County,https://www.thelayoff.com//unicoi,
Unicoi County Memorial Hospital,https://www.thelayoff.com//unicoi-county-memorial-hospital,
Unicoi County School District,https://www.thelayoff.com//unicoi-county-school-district,
Uniface,https://www.thelayoff.com//uniface,
Unifi Inc.,https://www.thelayoff.com//unifi,UFI
Uniflex Church Furnishings,https://www.thelayoff.com//uniflex-church-furnishings,
Unilever,https://www.thelayoff.com//unilever,UN
Unilever PLC,https://www.thelayoff.com//unilever-plc,
Unilife Corp.,https://www.thelayoff.com//unilife,UNIS
Union 01 School District,https://www.thelayoff.com//union-01-school-district,
Union Area School District,https://www.thelayoff.com//union-area-sd-school-district,
Union Bankshares Corp.,https://www.thelayoff.com//union-bankshares,UBSH
Union Beach Public School District,https://www.thelayoff.com//union-beach-public-school-district,
Union City Area School District,https://www.thelayoff.com//union-city-area-sd-school-district,
Union City Community Schools,https://www.thelayoff.com//union-city-community-schools-school-district,
Union City School District,https://www.thelayoff.com//union-city-school-district,
Union Co/Clg Corner Joint,https://www.thelayoff.com//union-co-clg-corner-joint-school-district,
Union College,https://www.thelayoff.com//uc,
Union College,https://www.thelayoff.com//union-college,
Union Community School District,https://www.thelayoff.com//union-comm-school-district,
Union County,https://www.thelayoff.com//union-ar,
Union County Educational Services Commission,https://www.thelayoff.com//union-county-educational-services-commission-school-district,
Union County General Hospital,https://www.thelayoff.com//union-county-general-hospital,
Union County Hospital,https://www.thelayoff.com//union-county-hospital,
Union County Public Schools,https://www.thelayoff.com//union-county-public-schools-school-district,
Union County School District,https://www.thelayoff.com//union-co-school-dist,
Union County School District,https://www.thelayoff.com//union-county-school-district,
"Union County, FL",https://www.thelayoff.com//union-fl,
"Union County, GA",https://www.thelayoff.com//union-ga,
"Union County, IA",https://www.thelayoff.com//union-ia,
"Union County, IL",https://www.thelayoff.com//union-il,
"Union County, IN",https://www.thelayoff.com//union-in,
"Union County, KY",https://www.thelayoff.com//union-ky,
"Union County, MS",https://www.thelayoff.com//union-ms,
"Union County, NC",https://www.thelayoff.com//union-nc,
"Union County, NJ",https://www.thelayoff.com//union-nj,
"Union County, NM",https://www.thelayoff.com//union-nm,
"Union County, OH",https://www.thelayoff.com//union-oh,
"Union County, OR",https://www.thelayoff.com//union-or,
"Union County, PA",https://www.thelayoff.com//union-pa,
"Union County, SC",https://www.thelayoff.com//union-sc,
"Union County, SD",https://www.thelayoff.com//union-sd,
"Union County, TN",https://www.thelayoff.com//union-tn,
Union Distributing,https://www.thelayoff.com//union-distributing,
Union Drilling Inc.,https://www.thelayoff.com//union-drilling,UDRL
Union Elementary District,https://www.thelayoff.com//union-elementary-district-school-district,
Union Elementary School District,https://www.thelayoff.com//union-elementary-school-district,
Union Free Of The Tarrytowns,https://www.thelayoff.com//union-free-of-the-tarrytowns-school-district,
Union Gap School District,https://www.thelayoff.com//union-gap-school-district,
Union General Hospital Blairsville,https://www.thelayoff.com//union-general-hospital-blairsville,
Union General Hospital Farmerville,https://www.thelayoff.com//union-general-hospital-farmerville,
Union Grove Independent School District,https://www.thelayoff.com//union-grove-isd-school-district,
Union Grove J1 School District,https://www.thelayoff.com//union-grove-j1-school-district,
Union Grove Uhs School District,https://www.thelayoff.com//union-grove-uhs-school-district,
Union Hill Elementary School District,https://www.thelayoff.com//union-hill-elementary-school-district,
Union Hill Independent School District,https://www.thelayoff.com//union-hill-isd-school-district,
Union Hospital Clinton,https://www.thelayoff.com//union-hospital-clinton,
Union Hospital Dover,https://www.thelayoff.com//union-hospital-dover,
Union Hospital Terre Haute,https://www.thelayoff.com//union-hospital-terre-haute,
Union Hospital of Cecil County,https://www.thelayoff.com//union-hospital-of-cecil-county,
Union Institute,https://www.thelayoff.com//ui,
Union Joint Elementary School District,https://www.thelayoff.com//union-joint-elementary-school-district,
Union Local School District,https://www.thelayoff.com//union-local-school-district,
Union Medical Center,https://www.thelayoff.com//union-medical-center,
Union Pacific Corp.,https://www.thelayoff.com//union-pacific,UNP
Union Parish,https://www.thelayoff.com//union-parish-la,
Union Parish School District,https://www.thelayoff.com//union-parish-school-district,
Union Public School District,https://www.thelayoff.com//union-public-school-dist,
Union R-Xi School District,https://www.thelayoff.com//union-r-xi-school-district,
Union Ridge School District 86,https://www.thelayoff.com//union-ridge-sd-86-school-district,
Union School Corporation,https://www.thelayoff.com//union-school-corporation-school-district,
Union School District,https://www.thelayoff.com//union-school-district,
Union School District,https://www.thelayoff.com//union-sd-school-district,
Union School District 5,https://www.thelayoff.com//union-sd-5-school-district,
Union School District 81,https://www.thelayoff.com//union-sd-81-school-district,
Union Springs Central School District,https://www.thelayoff.com//union-springs-central-school-district,
Union Star R-Ii,https://www.thelayoff.com//union-star-r-ii-school-district,
Union Street Acquisition Corp.,https://www.thelayoff.com//union-street-acquisition,USQ
Union Township School Corporation,https://www.thelayoff.com//union-township-school-corp-school-district,
Union Township School District,https://www.thelayoff.com//union-township-school-district,
Union University,https://www.thelayoff.com//uu,
Union-Endicott Central School District,https://www.thelayoff.com//union-endicott-central-school-district,
Union-North United School Corporation,https://www.thelayoff.com//union-north-united-school-corp-school-district,
Union-Scioto Local School District,https://www.thelayoff.com//union-scioto-local-school-district,
UnionBanCal Corp.,https://www.thelayoff.com//unionbancal,UB
Uniondale Union Free School District,https://www.thelayoff.com//uniondale-union-free-school-district,
Uniontown Area School District,https://www.thelayoff.com//uniontown-area-sd-school-district,
Uniontown Hospital,https://www.thelayoff.com//uniontown-hospital,
Uniontown School District,https://www.thelayoff.com//uniontown-school-district,
Unionville-Chadds Ford School District,https://www.thelayoff.com//unionville-chadds-ford-sd-school-district,
Unionville-Sebewaing Area S.D.,https://www.thelayoff.com//unionville-sebewaing-area-s-d-school-district,
Unique Fabricating,https://www.thelayoff.com//unique-fabricating,AMERICAN:UFAB
Unique Window & Door,https://www.thelayoff.com//unique-window-and-door,
Unishippers - Laredo,https://www.thelayoff.com//unishippers--laredo,
Unishippers Global Logistics,https://www.thelayoff.com//unishippers-global-logistics,
Unisource Worldwide,https://www.thelayoff.com//unisource-worldwide,
Unistar-Sparco Computers,https://www.thelayoff.com//unistar-sparco-computers,
Unisys Corp.,https://www.thelayoff.com//unisys,UIS
Unit Corp.,https://www.thelayoff.com//unit,UNT
United 7 School District,https://www.thelayoff.com//united-7-school-district,
United Airlines (United Continental Holdings Inc. - UAL Corp.),https://www.thelayoff.com//ual,UAL
United America Indemnity Ltd.,https://www.thelayoff.com//united-america-indemnity,INDM
United American Healthcare Corp.,https://www.thelayoff.com//united-american-healthcare,UAHC
United Bancorp Inc.,https://www.thelayoff.com//united-bancorp,UBCP
United Bancshares Inc.,https://www.thelayoff.com//united-bancshares,UBOH
United Bank Card,https://www.thelayoff.com//united-bank-card,
United Bankshares Inc.,https://www.thelayoff.com//united-bankshares,UBSI
United CUSD 304,https://www.thelayoff.com//united-cusd-304-school-district,
United Capital Corp.,https://www.thelayoff.com//united-capital,AFP
