company,ticker,title,body,date,replies
VBI Vaccines Inc.,VBIV,ok,ok,2015-11-13,0
VCA Antech Inc.,WOOF,VCA Layoffs 2019,This thread is for info about potential VCA Layoffs in 2019 or any other relevant information?,2018-10-30,0
VCA Antech Inc.,WOOF,VCA is a good place to work at,I hope it stays this way. No closures or layoffs,2017-10-15,0
VCA Antech Inc.,WOOF,VCA Layoffs 2018,I'd like to see if you think that our jobs are safe (are they) - I am referring to Los Angeles.,2017-10-15,0
VCA Antech Inc.,WOOF,VCA Layoffs 2017,Do you think that our executives will make a decision to cut people in Los Angeles.,2016-11-23,0
VCA Antech Inc.,WOOF,VCA Layoffs 2016,What is the likelihood of VCA layoffs in Los Angeles in 2016? Please let me know if you have any information.,2015-11-05,0
VF Corp.,VFC,VF Layoffs 2019,Do you think there may be small/medium/large VF Layoffs in 2019?,2018-10-30,0
VF Corp.,VFC,authentic brands. the announcement is on Friday,big announcement this morning. i warned you all. update resume and start applying asap. authentic brands is bad,2018-03-19,1
VF Corp.,VFC,vfc to acquire new footwear company,"oh boy with vfc to acquire a new footwear company today its almost any day we will hear the fate of nautica. it will be fast and furious. send your resume out. dont listen to Hr and management that things will be better for all. just for them will it...
read more",2018-03-14,0
VF Corp.,VFC,authentic brands. the announcement is on Friday,"ive been hearing since monday authentic brands just bought nautica. the announcement will be on friday or next week. Not good for employees. i guess when theY announced nautica was being sold they were much closer to a deal. get your resume out the...
read more",2018-03-08,0
VF Corp.,VFC,vfc just about sold,heard that vfc is just about sold. i thought we had some time...within a few weeks we will be told. and the company is not based in new york but in the midwest. either pack your bags or get your resume out today.... good luck,2018-02-19,2
VF Corp.,VFC,just got the email,well nautica is officially being sold. just got the email. this s---s.,2018-02-16,1
VF Corp.,VFC,the big question,"this town hall meeting was last minute-doesnt look good Hr was been walking around more often n and out of BS office so ive been told-doesnt look good nautica doesnt fit into vfc portfolio-doesn't look good not sure what else to say. but this totally...
read more",2018-02-16,0
VF Corp.,VFC,VFC Going Through Yet Another Change,"We'll see what happens tomorrow - sometimes I ask myself how many changes need to happen before every single person at VFC just gives up. Stay tuned, I can bet it's yet another sale and org shift. Good luck to all...",2018-02-16,3
VF Corp.,VFC,nautica meeting tomorrow morning,big last meeting tomorrow morning. rumor has it nautica is being sold or brenden the president is leaving.,2018-02-15,1
VF Corp.,VFC,VF Layoffs 2018,"Do not be concerned, things will play out good this year. But layoffs might be happening in Q1 here in Greensboro.",2017-10-15,0
VF Corp.,VFC,380 Laid Off By VF,Nobody cares? Right? https://www.wpr.org/company-received-wedc-tax-breaks-plans-380-layoffs,2017-04-07,0
VF Corp.,VFC,VF layoffs early 2017 for at least Reef and Smartwool,what info is there on the layoffs this week from VFC? employees are hearing thru the grapevine but unable to find anything on your site.,2017-02-10,1
VF Corp.,VFC,Well managed?,Vf just laid off an enormous anount of people. And who said well managed. Layoffs through the entire company.,2017-02-07,4
VIVUS Inc.,VVUS,Change at the top,"Cuts in Mountain View. Let's start... First, Svai's out - let's ship him back to Glam, we'll give him a nice farewell package too. Morris is back as a CFO or whatever title they give him, we continue to lose money in the mean while. On top of all of...
read more",2013-11-09,0
VMware,VMW,Nsbu should be called little india,"It is amazing how it is allowed to give so much power for indian managers and directors at NSBU to hire Indians and to favor them over other ethnicities for promotions, bonuses and hiring. NSBU at Palo Alto has become 92% or more male indians. I was...
read more",2019-03-06,0
VMware,VMW,Airwatch feedback,"Hows the Airwatch team / business doing ? Have been coming across few PM / Dev openings in Bangalore. Is it a good team to work with ? Is VMware continuing to look at it as an important entity and continuing to invest in it ? Is it prone to layoffs...
read more",2019-02-23,4
VMware,VMW,New layoffs round coming in May,"Usually, it is in July. But this time it is being prepared. Confirming company direction in hiring Cisco like culture. The policy is hire as many and the kick out who does not become obedient.",2019-02-07,13
VMware,VMW,"Atherpal staff, start your exit plans now!","VMware have announced it intends to acquire Atherpal. My advice to the existing staff is, get out while you can!!! https://blogs.vmware.com/euc/2019/02/advanced-remote-management.html",2019-02-05,2
VMware,VMW,Which BU is impacted most,When is the actual layoff happening. Which BU is getting impacted.,2019-02-01,3
VMware,VMW,Recruitment frozen ??,I had an initial round of interview for a post at Bangalore. Then no response from th recruiter.. doesn't even respond to multiple emails.. Is recruitment happening or frozen ?,2019-02-01,4
VMware,VMW,BizJournal article about the layoffs,https://www.bizjournals.com/sanjose/news/2019/02/01/vmware-layoffs-palo-alto-hq-vmw.html?ana=yahoo&yptr=yahoo,2019-02-01,1
VMware,VMW,Time to leave,"It has become patently obvious that there is no future at VMware. When layoffs are the main and only go to for management to solve the mounting issues, then it becomes obvious how inept and desperate they are. My advice to everybody is to start...
read more",2019-02-01,4
