company_name,link,ticker
V I T CUSD 2,https://www.thelayoff.com//v-i-t-cusd-2-school-district,
V-Soft Consulting Group,https://www.thelayoff.com//v-soft-consulting,
V2 Systems,https://www.thelayoff.com//v2-systems,
V2Soft,https://www.thelayoff.com//v2soft,
VBI Vaccines Inc.,https://www.thelayoff.com//vbi-vaccines,VBIV
VCA Antech Inc.,https://www.thelayoff.com//vca-antech,WOOF
VCG Holding Corp.,https://www.thelayoff.com//vcg-holding,VCGH
VF Corp.,https://www.thelayoff.com//vf,VFC
VFA,https://www.thelayoff.com//vfa,
VHS Brownsville Hospital Company,https://www.thelayoff.com//vhs-brownsville-hospital-company,
VHS Harlingen Hospital Company,https://www.thelayoff.com//vhs-harlingen-hospital-company,
VIA Pharmaceuticals Inc.,https://www.thelayoff.com//via-pharmaceuticals,VIAP
VIP Sports Marketing,https://www.thelayoff.com//vip-sports-marketing,
VIPdesk,https://www.thelayoff.com//vipdesk,
VISA Inc.,https://www.thelayoff.com//visa,
VIVUS Inc.,https://www.thelayoff.com//vivus,VVUS
VMD Systems Integrators,https://www.thelayoff.com//vmd-systems-integrators,
VML Advertising,https://www.thelayoff.com//vml-advertising,
VMware,https://www.thelayoff.com//vmware,VMW
VNUS Medical Technologies Inc.,https://www.thelayoff.com//vnus-medical-technologies,VNUS
VP Technologies,https://www.thelayoff.com//vp-technologies,
VSB Bancorp Inc.,https://www.thelayoff.com//vsb-bancorp,VSBN
VSE,https://www.thelayoff.com//vse,VSEC
VSR Financial Services,https://www.thelayoff.com//vsr-financial-services,
VST Consulting,https://www.thelayoff.com//vst-consulting,
VSoft,https://www.thelayoff.com//vsoft,
VTTI Energy Partners LP,https://www.thelayoff.com//vtti-energy-partners,VTTI
VWR Corp.,https://www.thelayoff.com//vwr,VWR
VWR Funding,https://www.thelayoff.com//vwr-funding,VWR
Va Beach City Public Schools,https://www.thelayoff.com//va-beach-city-pblc-schs-school-district,
Vaalco Energy Inc.,https://www.thelayoff.com//vaalco-energy,EGY
Vaaldiam Mining Inc.,https://www.thelayoff.com//vaaldiam-mining,VAA
Vacaville Unified School District,https://www.thelayoff.com//vacaville-unified-school-district,
Vaco,https://www.thelayoff.com//vaco,
Vail Resorts Inc.,https://www.thelayoff.com//vail-resorts,MTN
Vail Unified District,https://www.thelayoff.com//vail-unified-district-school-district,
Vail Valley Medical Center,https://www.thelayoff.com//vail-valley-medical-center,
Val Verde County,https://www.thelayoff.com//val-verde,
Val Verde Regional Medical Center,https://www.thelayoff.com//val-verde-regional-medical-center,
Val Verde Unified School District,https://www.thelayoff.com//val-verde-unified-school-district,
Valassis Communications Inc.,https://www.thelayoff.com//valassis-communications,VCI
Valders Area School District,https://www.thelayoff.com//valders-area-school-district,
Valdez City School District,https://www.thelayoff.com//valdez-city-school-district,
Valdosta City School District,https://www.thelayoff.com//valdosta-city-school-district,
Valdosta State University,https://www.thelayoff.com//vsu,
Vale S.A. ADS,https://www.thelayoff.com//vale,VALE
Vale School District 84,https://www.thelayoff.com//vale-sd-84-school-district,
Valeant,https://www.thelayoff.com//valeant-pharmaceuticals-international,VRX
Valeant Pharmaceuticals Intl Inc,https://www.thelayoff.com//valeant-pharmaceuticals-intl,VRX
Valence Technology Inc.,https://www.thelayoff.com//valence-technology,VLNC
Valencia County,https://www.thelayoff.com//valencia,
Valener Inc,https://www.thelayoff.com//valener,VNR
Valentine Community Schools,https://www.thelayoff.com//valentine-community-schools-school-district,
Valentine Elementary District,https://www.thelayoff.com//valentine-elementary-district-school-district,
Valentine Independent School District,https://www.thelayoff.com//valentine-isd-school-district,
Valera Global,https://www.thelayoff.com//valera-global,
Valeritas Holdings,https://www.thelayoff.com//valeritas-holdings,VLRX
Valero Energy Corp.,https://www.thelayoff.com//valero-energy,VLO
Valero Energy Partners LP,https://www.thelayoff.com//valero-energy-partners,VLP
Valeura Energy Inc,https://www.thelayoff.com//valeura-energy,VLE
Valhalla Union Free School District,https://www.thelayoff.com//valhalla-union-free-school-district,
Valhi Inc.,https://www.thelayoff.com//valhi,VHI
Validus Holdings Ltd.,https://www.thelayoff.com//validus-holdings,VR
Valier Elementary School District,https://www.thelayoff.com//valier-elementary-school-district,
Valier H S School District,https://www.thelayoff.com//valier-h-s-school-district,
Valir Health,https://www.thelayoff.com//valir-health,
Valle Lindo Elementary School District,https://www.thelayoff.com//valle-lindo-elementary-school-district,
Vallecito Union School District,https://www.thelayoff.com//vallecito-union-school-district,
Vallecitos Elementary School District,https://www.thelayoff.com//vallecitos-elementary-school-district,
Vallejo City Unified School District,https://www.thelayoff.com//vallejo-city-unified-school-district,
Valley Academy For Career and Technology Education,https://www.thelayoff.com//valley-academy-for-career-and-technology-education-school-district,
Valley Center Pub Sch,https://www.thelayoff.com//valley-center-pub-sch-school-district,
Valley Center-Pauma Unified School District,https://www.thelayoff.com//valley-center-pauma-unified-school-district,
Valley Central School District (Montgomery),https://www.thelayoff.com//valley-central-sd-montgomery-school-district,
Valley Children's Hospital,https://www.thelayoff.com//valley-childrens-hospital,
Valley City 2,https://www.thelayoff.com//valley-city-2-school-district,
Valley City State University,https://www.thelayoff.com//vcsu,
Valley Community School District,https://www.thelayoff.com//valley-comm-school-district,
Valley County,https://www.thelayoff.com//valley-id,
Valley County Health System,https://www.thelayoff.com//valley-county-health-system,
"Valley County, MT",https://www.thelayoff.com//valley-mt,
"Valley County, NE",https://www.thelayoff.com//valley-ne,
Valley District School District,https://www.thelayoff.com//valley-district-school-district,
Valley Falls School District,https://www.thelayoff.com//valley-falls-school-district,
Valley Financial Corp.,https://www.thelayoff.com//valley-financial,VYFC
Valley Forge Medical Center and Hospital,https://www.thelayoff.com//valley-forge-medical-center-and-hospital,
Valley Grove School District,https://www.thelayoff.com//valley-grove-sd-school-district,
Valley Heights School District,https://www.thelayoff.com//valley-heights-school-district,
Valley Home Joint Elementary School District,https://www.thelayoff.com//valley-home-joint-elementary-school-district,
Valley Hospital Medical Center,https://www.thelayoff.com//valley-hospital-medical-center,
Valley Hospital Ridgewood,https://www.thelayoff.com//valley-hospital-ridgewood,
Valley Hospital Spokane,https://www.thelayoff.com//valley-hospital-spokane,
Valley Interior Systems,https://www.thelayoff.com//valley-interior-systems,
Valley Local School District,https://www.thelayoff.com//valley-local-school-district,
Valley Medical Center,https://www.thelayoff.com//valley-medical-center,
Valley Mills Independent School District,https://www.thelayoff.com//valley-mills-isd-school-district,
Valley National Bancorp,https://www.thelayoff.com//valley-national-bancorp,VLY
Valley Park School District,https://www.thelayoff.com//valley-park-school-district,
Valley Presbyterian Hospital,https://www.thelayoff.com//valley-presbyterian-hospital,
Valley R-Vi School District,https://www.thelayoff.com//valley-r-vi-school-district,
Valley ROP JPA,https://www.thelayoff.com//valley-rop-jpa-school-district,
Valley Regional Hospital,https://www.thelayoff.com//valley-regional-hospital,
Valley Regional Medical Center,https://www.thelayoff.com//valley-regional-medical-center,
Valley School District,https://www.thelayoff.com//valley-school-district,
Valley Springs School District,https://www.thelayoff.com//valley-springs-school-district,
Valley Stem+Me2 Academy,https://www.thelayoff.com//valley-stem-me2-academy-school-district,
Valley Stream 13 Union Free School District,https://www.thelayoff.com//valley-stream-13-union-free-school-district,
Valley Stream 24 Union Free School District,https://www.thelayoff.com//valley-stream-24-union-free-school-district,
Valley Stream 30 Union Free School District,https://www.thelayoff.com//valley-stream-30-union-free-school-district,
Valley Stream Central High School District,https://www.thelayoff.com//valley-stream-central-high-school-district,
Valley Union High School District,https://www.thelayoff.com//valley-union-high-school-district,
Valley View CUSD 365U School District,https://www.thelayoff.com//valley-view-cusd-365u-school-district,
Valley View Elementary School District,https://www.thelayoff.com//valley-view-elementary-school-district,
Valley View Hospital Association,https://www.thelayoff.com//valley-view-hospital-association,
Valley View Independent School District,https://www.thelayoff.com//valley-view-isd-school-district,
Valley View Local,https://www.thelayoff.com//valley-view-local-school-district,
Valley View Medical Center,https://www.thelayoff.com//valley-view-medical-center,
Valley View School District,https://www.thelayoff.com//valley-view-school-district,
Valley View School District,https://www.thelayoff.com//valley-view-sd-school-district,
Valley West Community Hospital,https://www.thelayoff.com//valley-west-community-hospital,
Valley-Edinburg 118 School District,https://www.thelayoff.com//valley-edinburg-118-school-district,
ValleyCrest Landscape Cos,https://www.thelayoff.com//valleycrest-landscape,
Valleycare Medical Center,https://www.thelayoff.com//valleycare-medical-center,
Valliant School District,https://www.thelayoff.com//valliant-school-district,
Vallivue School District,https://www.thelayoff.com//vallivue-school-district,
Valmeyer CUSD 3,https://www.thelayoff.com//valmeyer-cusd-3-school-district,
Valmont Industries Inc.,https://www.thelayoff.com//valmont-industries,VMI
Valor Health,https://www.thelayoff.com//valor-health,
Valora Technologies,https://www.thelayoff.com//valora-technologies,
Valparaiso Community Schools,https://www.thelayoff.com//valparaiso-community-schools-school-district,
Valparaiso University,https://www.thelayoff.com//vu,
Valpey Fisher Corp.,https://www.thelayoff.com//valpey-fisher,VPF
Valspar Corp.,https://www.thelayoff.com//valspar,VAL
Value Line Inc.,https://www.thelayoff.com//value-line,VALU
ValueCentric Marketing Group,https://www.thelayoff.com//valuecentric-marketing,
ValueClick Inc.,https://www.thelayoff.com//valueclick,VCLK
ValueRich Inc.,https://www.thelayoff.com//valuerich,IVA
ValueVision Media Inc.,https://www.thelayoff.com//valuevision-media,VVTV
Valvoline,https://www.thelayoff.com//valvoline,VVV
Van Alstyne Independent School District,https://www.thelayoff.com//van-alstyne-isd-school-district,
Van Buren Community School District,https://www.thelayoff.com//van-buren-comm-school-district,
Van Buren County,https://www.thelayoff.com//van-buren-ar,
Van Buren County Hospital,https://www.thelayoff.com//van-buren-county-hospital,
Van Buren County School District,https://www.thelayoff.com//van-buren-county-school-district,
"Van Buren County, IA",https://www.thelayoff.com//van-buren-ia,
"Van Buren County, MI",https://www.thelayoff.com//van-buren-mi,
"Van Buren County, TN",https://www.thelayoff.com//van-buren-tn,
Van Buren Local,https://www.thelayoff.com//van-buren-local-school-district,
Van Buren Public Schools,https://www.thelayoff.com//van-buren-public-schools-school-district,
Van Buren R-I School District,https://www.thelayoff.com//van-buren-r-i-school-district,
Van Buren School District,https://www.thelayoff.com//van-buren-school-district,
Van Diest Medical Center,https://www.thelayoff.com//van-diest-medical-center,
Van Dyke Public Schools,https://www.thelayoff.com//van-dyke-public-schools-school-district,
Van Hornesville-Owen D Young Central School District,https://www.thelayoff.com//van-hornesville-owen-d-young-central-school-district,
Van Independent School District,https://www.thelayoff.com//van-isd-school-district,
Van Meter Community School District,https://www.thelayoff.com//van-meter-comm-school-district,
Van Vleck Independent School District,https://www.thelayoff.com//van-vleck-isd-school-district,
Van Wert City School District,https://www.thelayoff.com//van-wert-city-school-district,
Van Wert County,https://www.thelayoff.com//van-wert,
Van Wert County Hospital,https://www.thelayoff.com//van-wert-county-hospital,
Van Zandt County,https://www.thelayoff.com//van-zandt,
Van-Far R-I School District,https://www.thelayoff.com//van-far-r-i-school-district,
Vance County,https://www.thelayoff.com//vance,
Vance County Schools,https://www.thelayoff.com//vance-county-schools-school-district,
Vanceboro Public Schools,https://www.thelayoff.com//vanceboro-public-schools-school-district,
Vanceinfo Technologies Inc.,https://www.thelayoff.com//vanceinfo-technologies,VIT
Vancouver School District,https://www.thelayoff.com//vancouver-school-district,
Vanda Pharmaceuticals Inc.,https://www.thelayoff.com//vanda-pharmaceuticals,VNDA
Vandalia CUSD 203,https://www.thelayoff.com//vandalia-cusd-203-school-district,
Vandalia-Butler City School District,https://www.thelayoff.com//vandalia-butler-city-school-district,
VanderCook College of Music,https://www.thelayoff.com//vcm,
VanderHouwen & Associates,https://www.thelayoff.com//vanderhouwen-and-associates,
Vanderbilt Area Schools,https://www.thelayoff.com//vanderbilt-area-schools-school-district,
Vanderbilt University,https://www.thelayoff.com//vanderbilt,
Vanderbilt University Medical Center,https://www.thelayoff.com//vanderbilt-university-medical-center,
Vanderburgh County,https://www.thelayoff.com//vanderburgh,
Vandercook Lake Public Schools,https://www.thelayoff.com//vandercook-lake-public-schools-school-district,
Vanderlande,https://www.thelayoff.com//vanderlande,
Vanguard Health Systems,https://www.thelayoff.com//vanguard-health-systems,
Vanguard Natural Resources,https://www.thelayoff.com//vnr,
Vanguard University of Southern California,https://www.thelayoff.com//vusc,
Vanlue Local School District,https://www.thelayoff.com//vanlue-local-school-district,
Vann's,https://www.thelayoff.com//vanns,
Vanoss School District,https://www.thelayoff.com//vanoss-school-district,
Vanpro,https://www.thelayoff.com//vanpro,
Vantage Energy Acquisition,https://www.thelayoff.com//vantage-energy-acquisition,VEACU
Vantage Energy Services Inc.,https://www.thelayoff.com//vantage-energy-services,VTG
Vantage Hospitality Group,https://www.thelayoff.com//vantage-hospitality,
Vantiv Inc.,https://www.thelayoff.com//vantiv,VNTV
Vapor Corp.,https://www.thelayoff.com//vapor,VPCO
Varel International,https://www.thelayoff.com//varel-international,
Varela Auto Group,https://www.thelayoff.com//varela-auto,
Varia Systems,https://www.thelayoff.com//varia-systems,
Varian Inc.,https://www.thelayoff.com//varian,VARI
Varian Medical Systems Inc.,https://www.thelayoff.com//varian-medical-systems,VAR
Varian Semiconductor Equipment Associates Inc.,https://www.thelayoff.com//varian-semiconductor-equipment-associates,VSEA
Varney Manufacturing,https://www.thelayoff.com//varney-manufacturing,
Varnum School District,https://www.thelayoff.com//varnum-school-district,
