company,ticker,title,body,date,replies
Disney,DIS,Welcome to Poverty,"Disney is the quintessential staffing agency when it comes to the very worst traits of a staffing industry that has exploded since corporations became rabidly obsessed with cutting costs and systematically denying workers decent wages and benefits...
read more",2019-02-05,0
Disney,DIS,CA eCommerce technical support,"Wages at$10 hourly, Disney should move operations to India, I am sure they are making money out of Americans, while more than half of their workers have food stamps assistance from the state",2019-01-30,1
Disney,DIS,DDN Cuts,"There you go, this is due to the Fox acquisition, about 20 will be cut... Disney Digital Network has been hit with layoffs impacting just under 20 staffers, TheWrap has learned. The layoffs, which come ahead of Disney’s acquisition of a large portion...
read more",2018-11-05,1
Disney,DIS,Disney Layoffs 2019,This is a master thread about Disney Layoffs in 2019?,2018-10-30,3
Disney,DIS,Publishing lay offs?,Heard it happened this morning,2018-09-20,1
Disney,DIS,More and more layoffs at Disney,"Am I the only one noticing a pattern emerging here? Every two or so months we hear about more layoffs at one of the Disney divisions. This has been going on for a while now. Is this the new norm nowadays? Should we always fear that in a month or two...
read more",2018-09-17,2
Disney,DIS,DCPI Layoffs,Individuals being called in one by one and are being laid off.,2018-09-13,3
Disney,DIS,Layoffs at Dcp,Heard lay offs at dco,2018-09-12,2
Disney,DIS,Major layoffs at Disney after merger,"In case somebody was wondering how badly we'll be hit as part of the 21st Century Fox acquisition, here's your answer. Looks like 1700 people will be out of a job...
read more",2018-07-20,0
Disney,DIS,DisneyToon Studios layoffs,"Disney is closing DisneyToon Studios. While I understand that the demand for direct-to-video is giving way to streaming services, I can't understand why this unit was not simply transitioned to work on new movies exclusively for the streaming...
read more",2018-07-02,0
Disney,DIS,Disney Store in Monmouth Mall closing,"Anybody knows how many people are affected by this? Disney Store is closing its store at the Eatontown mall ""on or before"" June 18, the store said on a sign near the door...
read more",2018-06-12,0
Disney,DIS,Florida Layoffs Today,"Layoffs will be announced today, probably in merchandise. Stay tuned",2018-03-22,2
Disney,DIS,Living wages?,How many layoffs will jump in wages cause? http://www.latimes.com/business/la-fi-disney-shareholders-demonstration-20180308-story.html,2018-03-11,0
Disney,DIS,Orlando Layoffs Pile Up - 145 Laid Off,"See the link below for details. This 145 new layoffs that are hitting Orlando, we'll see what 2018 brings but it's not a good start for anyone: https://www.bizjournals.com/orlando/news/2017/11/17/heres-why-disney-plans-to-lay-off-145-workers.html",2017-11-20,0
Disney,DIS,Disney Layoffs 2018,Are you kidding me? Another round of job cuts in Burbank.,2017-10-15,1
Disney,DIS,MASSIVE layoffs coming to Disney in mid-December,"the rumors are true. There are massive layoffs unlike any ever seen at Disney coming in mid-December. The politicized hatred of our lawfully elected President Donald J. Trump has caught up the the corporation and several thousand layoffs will occur...
read more",2017-10-14,4
Disney,DIS,Disney To Cut 200 Jobs at ABC,"Walt Disney would be cutting about 200 jobs. Following the news, the stock entered red territory and ended down 1.64% on about 11 million shares traded on Oct. 12, 2017. http://alphastreet.com/b003560d",2017-10-13,0
Disney,DIS,ABC to start with mass layoffs soon,"They are going after ABC - ABC is bleeding money and they will need to start controlling things over there - this is gonna get brutal very quickly and I'd expect cuts in 1000s - not sure how many folks they have - I am guessing at least 10,000 but it...
read more",2017-08-31,0
Disney,DIS,Disney Apps,"I don't understand how Disney continues to support it's app division while having layoffs in other divisions. As soon as a new app is released, it has so many technical issues, it never stays popular for long. The apps either had a ridiculous price...
read more",2017-06-07,3
Disney,DIS,Layoffs at Maker Studios SOON!,no body text,2017-02-21,1
Disney,DIS,Disney ABC layoffs September 2016,"No posts here but there are layoffs in ABC right now (September '16) - there are many rumors that 2017 will be brutal so get ready if you work for ABC. Not sure about the rest of Disney, they have pretty aggressive when it comes to job cuts - any...
read more",2016-09-15,5
Disney,DIS,Does Disney care about cast members?,"I am a Disney Photopass cast member, I cannot share more details about myself as I do not want to get laid off or terminated because I am sharing this info. Anyhow, here is a gem our management came up with. The starting pay for Photopass cast...
read more",2015-12-18,2
Disney,DIS,ABC On Disney H1B Scandal,https://www.youtube.com/watch?v=LAHtNQo3eog,2015-11-12,0
Disney,DIS,Disney Layoffs 2016,What is the likelihood of Disney layoffs in Burbank in 2016? Please let me know if you have any information.,2015-11-05,2
Disney,DIS,Cast Member Layoffs and Resignation,"I've spoken to numerous cast members that are looking to leave. I think this was Part 2 of their plan...first lay a large group off, then let another chunk of disgruntled employees leave on their own. It's coming.",2015-09-23,0
Disney,DIS,Disney Reverses Layoff Decision,"Disney reversed its decision on layoffs after news broke out on visa abuse (see http://www.nytimes.com/2015/06/17/us/in-turnabout-disney-cancels-tech-worker-layoffs.html?_r=0). I suggest you guys pay attention on who you need to train to replace you...
read more",2015-09-23,0
Disney,DIS,More H1B Mess On Disney's Hands - It's a shame!!!,http://www.breitbart.com/big-government/2015/09/07/exclusive-displaced-cast-member-how-disney-replaced-me-other-americans-with-cheap-foreigners-on-h1b-visas/,2015-09-12,0
Disney,DIS,Shame on Disney and H1B Visa Abuse - read the NYT article (link below),no body text,2015-08-24,1
Disney,DIS,A Mess in IT,Contractors are running the show and reporting directly to the VP. Cast members are being repeatedly brushed aside. I really think they are preparing for another round of layoffs.,2015-08-07,3
Disney,DIS,disappointed shareholder,"I am a disappointed shareholder and here is what I was told Thank you for contacting us regarding recent media reports about the information technology restructuring at Disney Parks. We greatly value the contributions of our Cast Members. We take...
read more",2015-07-30,1
Disney,DIS,"Lake Buena Vista, FL","Many of our folks were let go, many stellar performers were cut so Indian resources working for HCL and Cognizant can bring in more folks on H1B visas and being paid 60k, and very poor benefits. Disney has no loyalty to crew members, they say they do...
read more",2015-04-30,1
Disney,DIS,Disney Interactive Layoffs,"There are rumors about layoffs at Club Penguin virtual world - Los Angeles, England and Canada may be affected.",2015-04-22,1
Disney,DIS,How much is Disney employee discount?,"I have a friend that works for Disney in the IT group and wanted to ask him if I can use his discount to buy some movies. I do not want to ask him if I do not have to, so wanted to find out how much is Disney employee discount. Anybody has more info?",2015-01-09,0
Disney,DIS,Movies made millions but not enough. All that remain will continue to fake their way through promotions. oh well.,I need to find my soul I sold,2014-10-21,0
Disney,DIS,Radio Disney Layoffs 2014,We are cutting 184 jobs in local ad sales and operations - cannot be a bigger cut - Disney is brutal - closing / selling as well,2014-08-13,0
Disney,DIS,OBOXSOLUTIONS IS HIRING,"OBOX Solutions is an IT Staffing company currently hiring for a number of clients. We are looking for talented IT Engineers, Developers, Project Managers, Business Analysts and QAs.We also are hiring for several levels of Management. Send your resume...
read more",2014-03-07,1
Disney,DIS,video game and Internet division lays off 25% of staff,"the mouse is angry, disney never kids and cuts promptly - the execs here have no remorse",2014-03-07,2
