company_name,link,ticker
Disney,https://www.thelayoff.com//walt-disney,DIS
The Wall Street Journal,https://www.thelayoff.com//wsj,
W & W Fiberglass Tank,https://www.thelayoff.com//w-and-w-fiberglass-tank,
W & W Glass,https://www.thelayoff.com//w-and-w-glass,
W Harvey-Dixmoor Psd 147,https://www.thelayoff.com//w-harvey-dixmoor-psd-147-school-district,
W Holding Co. Inc.,https://www.thelayoff.com//w-holding,WHI
W J Mangold Memorial Hospital,https://www.thelayoff.com//w-j-mangold-memorial-hospital,
W W Hastings Indian Hospital,https://www.thelayoff.com//w-w-hastings-indian-hospital,
W&T Offshore Inc.,https://www.thelayoff.com//w-and-t-offshore,WTI
W-H Energy Services Inc.,https://www.thelayoff.com//w-h-energy-services,WHQ
W.P. Carey & Co. L.L.C.,https://www.thelayoff.com//w-p-carey-and-l-l-c,WPC
W.P. Stewart & Co. Ltd.,https://www.thelayoff.com//w-p-stewart-and,WPL
W.R. Berkley Corp.,https://www.thelayoff.com//w-r-berkley,WRB
W.R. Grace & Co.,https://www.thelayoff.com//w-r-grace-and,GRA
W.W. Grainger Inc.,https://www.thelayoff.com//w-w-grainger,GWW
WABCO Holdings Inc.,https://www.thelayoff.com//wabco-holdings,WBC
WAGIC,https://www.thelayoff.com//wagic,
WC Heating & Air Conditioning,https://www.thelayoff.com//wc-heating-and-air-conditioning,
WCA Waste Corp.,https://www.thelayoff.com//wca-waste,WCAA
WCI Communities Inc.,https://www.thelayoff.com//wci-communities,WCIC
WCIT Architecture,https://www.thelayoff.com//wcit-architecture,
WD-40 Co.,https://www.thelayoff.com//wd-40,WDFC
WDC Exploration & Wells,https://www.thelayoff.com//wdc-exploration-and-wells,
"WGI Heavy Minerals, Inc.",https://www.thelayoff.com//wgi-heavy-minerals,WG
WGL Holdings Inc.,https://www.thelayoff.com//wgl-holdings,WGL
WGNB Corp.,https://www.thelayoff.com//wgnb,WGNB
WHI Solutions,https://www.thelayoff.com//whi-solutions,
WJ Communications Inc.,https://www.thelayoff.com//wj-communications,WJCI
WL Gore & Associates,https://www.thelayoff.com//wl-gore-and-associates,
WL Ross Holding Corp.,https://www.thelayoff.com//wl-ross-holding,WLRH
WM. Wrigley Jr. Co.,https://www.thelayoff.com//wm-wrigley-jr,WWY
WMS Industries Inc.,https://www.thelayoff.com//wms-industries,WMS
WNS Holdings Ltd.,https://www.thelayoff.com//wns-holdings,WNS
WOW!,https://www.thelayoff.com//wow,WOW
WP GLIMCHER Inc.,https://www.thelayoff.com//wp-glimcher,WPG
WPCS International Inc.,https://www.thelayoff.com//wpcs-international,WPCS
WPP,https://www.thelayoff.com//wpp-group-plc,WPPGY
WPT Enterprises Inc.,https://www.thelayoff.com//wpt-enterprises,WPTE
WPX Energy,https://www.thelayoff.com//wpx,WPX
WRScompass,https://www.thelayoff.com//wrscompass,
WSB Financial Group Inc.,https://www.thelayoff.com//wsb-financial-group,WSFG
WSB Holdings Inc.,https://www.thelayoff.com//wsb-holdings,WSB
WSFS Financial Corp.,https://www.thelayoff.com//wsfs-financial,WSFS
WSI Industries Inc.,https://www.thelayoff.com//wsi-industries,WSCI
WSP Holdings Ltd.,https://www.thelayoff.com//wsp-holdings,WH
WVS Financial Corp.,https://www.thelayoff.com//wvs-financial,WVFC
Wa State Center For Childhood Deafness and Hearing Loss School District,https://www.thelayoff.com//wa-state-center-for-childhood-deafness-and-hearing-loss-school-district,
Wa-Nee Community Schools,https://www.thelayoff.com//wa-nee-community-schools-school-district,
Wabash CUSD 348,https://www.thelayoff.com//wabash-cusd-348-school-district,
Wabash City Schools,https://www.thelayoff.com//wabash-city-schools-school-district,
Wabash College,https://www.thelayoff.com//wc,
Wabash County,https://www.thelayoff.com//wabash-il,
"Wabash County, IN",https://www.thelayoff.com//wabash-in,
Wabash General Hospital 1,https://www.thelayoff.com//wabash-general-hospital-1,
Wabash National Corp.,https://www.thelayoff.com//wabash-national,WNC
Wabasha County,https://www.thelayoff.com//wabasha,
Wabasha-Kellogg Public School District,https://www.thelayoff.com//wabasha-kellogg-public-school-district,
Wabasso Public School District,https://www.thelayoff.com//wabasso-public-school-district,
Wabaunsee County,https://www.thelayoff.com//wabaunsee,
Wabaunsee School District,https://www.thelayoff.com//wabaunsee-school-district,
Wabeno Area School District,https://www.thelayoff.com//wabeno-area-school-district,
Wabtec,https://www.thelayoff.com//wabtec,WAB
Waccamaw Bankshares Inc.,https://www.thelayoff.com//waccamaw-bankshares,WBNK
Waccamaw Community Hospital,https://www.thelayoff.com//waccamaw-community-hospital,
Wachovia Corp.,https://www.thelayoff.com//wachovia,WB
Waco Community School District,https://www.thelayoff.com//waco-comm-school-district,
Waco Independent School District,https://www.thelayoff.com//waco-isd-school-district,
Wacoal Holdings Corp.,https://www.thelayoff.com//wacoal-holdings,WACLY
Waconda School District,https://www.thelayoff.com//waconda-school-district,
Waconia Public School District,https://www.thelayoff.com//waconia-public-school-district,
Waddell & Reed Financial Inc.,https://www.thelayoff.com//waddell-and-reed-financial,WDR
Wadena County,https://www.thelayoff.com//wadena,
Wadena-Deer Creek School District,https://www.thelayoff.com//wadena-deer-creek-school-district,
Wadhams Hall Seminary College,https://www.thelayoff.com//whsc,
Wadley Regional Medical Center,https://www.thelayoff.com//wadley-regional-medical-center,
Wadley Regional Medical Center at Hope,https://www.thelayoff.com//wadley-regional-medical-center-at-hope,
Wadsworth City School District,https://www.thelayoff.com//wadsworth-city-school-district,
Waelder Independent School District,https://www.thelayoff.com//waelder-isd-school-district,
WaferGen Bio-Systems Inc.,https://www.thelayoff.com//wafergen-bio-systems,WGBS
WageWorks Inc.,https://www.thelayoff.com//wageworks,WAGE
Wagman,https://www.thelayoff.com//wagman,
Wagner College,https://www.thelayoff.com//wagner,
Wagner Community Memorial Hospital - CAH,https://www.thelayoff.com//wagner-community-memorial-hospital-cah,
Wagner Community School District 11-4,https://www.thelayoff.com//wagner-community-sd-11-4-school-district,
