company,ticker,title,body,date,replies
YM BioSciences Inc.,YM,Gilead bought YM,"So, this board is not relevant any more",2014-12-15,0
YM BioSciences Inc.,YM,Pretty solid companies,Employees of YM BioSciences are taken care off and there are no layoffs right now - you never know how things will develop but YM BioSciences is pretty good.,2014-06-09,0
YPF S.A.,YPF,Great company to work for and no layoffs to report,"I like working at YPF, it's a great company with lots of potential",2014-06-09,2
YRC Worldwide Inc.,YRCW,YRC Layoffs 2019,Do you predict that there will be YRC Layoffs in 2019?,2018-10-30,1
YRC Worldwide Inc.,YRCW,YRC's Dallas distribution center - 600 layoffs,"Heard from a few drivers that YRC's Dallas distribution center eliminated about 600 positions last month. Company offered to transfer any willing drivers to one of their new DCs in other cities. Don't know if any of YRC's other DCs have eliminated...
read more",2018-01-30,0
YRC Worldwide Inc.,YRCW,511,I used to work at 511 barn. 24 years and I quit because Yellow ruined it all. I am now in a new field making more money and love what Im doing. I really do hope yrc goes out of business... it is coming.. taking longer than I thought it was gonna take,2018-01-30,0
YRC Worldwide Inc.,YRCW,YRC Layoffs 2018,It'd be great if someone is able to post any info (rumor?) on possible layoffs or job cuts in Overland Park.,2017-10-15,3
YRC Worldwide Inc.,YRCW,New Year…2017,YRC still laying people off..they tend to layoff in small numbers each month to keep the news on the down low. No raises/cost of living in years for people who have stood by the company in good & bad times…sad!,2017-02-03,3
YRC Worldwide Inc.,YRCW,YRC Layoffs 2017,Things are not improving - rumors are flying - and we might see job cuts in Overland Park.,2016-11-23,1
YRC Worldwide Inc.,YRCW,Layoffs at YRC on 10/27/2016,"At least 15 were laid off on October 27, 2016 at the Overland Park office. I was grabbed about four hours before the earnings call. They gave a dismal severance package. After the market closed that day, the company held it's 3Q earnings call. Shares...
read more",2016-10-30,3
YRC Worldwide Inc.,YRCW,YRC Layoffs 2016,What is the likelihood of YRC layoffs in Overland Park in 2016? Please let me know if you have any information.,2015-11-05,1
YRC Worldwide Inc.,YRCW,I thought people were joking when they told me that they were 100% certain that we'll have layoffs in Overland Park?,-,2015-08-03,0
YRC Worldwide Inc.,YRCW,Kansas City - 500 cut last year,"It was horrible, and it'll be even worse",2014-02-05,1
YRC Worldwide Inc.,YRCW,St. Louis Cuts in 2014,"YRC Freight plans, let's call them serious plans, to close a St. Louis truck terminal as part of a larger reorg and plans to permanently lay off almost 500 workers. Maybe...",2014-01-15,0
YRC Worldwide Inc.,YRCW,destroy the retirements of its employees,"This is just one more co trying to destroy the retirements of its employees. This is a domino effect, just wait and see what happens to the erisa laws. Workers today will need to get together to stop this killing of American job benefits.",2014-01-08,0
YRC Worldwide Inc.,YRCW,St. Louis - Kansas,Over 500 were let go earlier this year - 2014 will probably be even worse.,2013-12-18,0
YRC Worldwide Inc.,YRCW,Unionized?,Is YRC is a union company?,2013-11-13,0
YY Inc. ADS,YY,Is YY still around?,That's the question. It'a a Chinese company,2018-11-29,0
Yadkin Valley Financial Corp.,YAVY,Left in 2008,"Left in 2008, do you guys still have layoffs at YVF?",2014-06-09,2
Yahoo! Inc.,YHOO,Post if you have any updates,"If you have any news, please post them here.",2017-12-07,0
Yahoo! Inc.,YHOO,Yahoo! Layoffs 2018,Do not wait for things to turn out bad - leave now if you are working in Sunnyvale.,2017-10-15,2
Yahoo! Inc.,YHOO,its confirmed http://www.cnbc.com/2017/06/14/tim-armstrong-sees-layoffs-of-15-percent-after-verizon-yahoo-deal.html,"its confirmed that the layoff number will be at least 2,100 layoffs, twice as much as originally projected at yahoo. see details here http://www.cnbc.com/2017/06/14/tim-armstrong-sees-layoffs-of-15-percent-after-verizon-yahoo-deal.html",2017-06-14,0
Yahoo! Inc.,YHOO,layoffs are coming,"heard the layoffs are imminent and coming for sure. what is more shocking is the number will be higher than originally projected due to the higher than expected payoff for Mayer. Don't we feel like idiots to have our pictures taken with her while she...
read more",2017-06-14,4
Yahoo! Inc.,YHOO,1000 folks to be let go from Yahoo/AOL,This is confirmed and all over the news today.,2017-06-07,0
Yahoo! Inc.,YHOO,Compensation for layoff after handoff useless,"They promised severance if you get laid off after the hand off. I heard from my managers that layoffs will occur before hand off and settled before hand off. As they have not given Warn notice, those laid off will get 3 months (officers will get 6...
read more",2017-05-24,2
Yahoo! Inc.,YHOO,Yahoo! Layoffs 2017,"Oh, layoffs, layoffs… Every year I hear the same story but layoffs never happen here in Sunnyvale.",2016-11-23,1
Yahoo! Inc.,YHOO,Acquisition - bonuses - share purchase program,How does the acquisition affect bonuses and shares of Yahoo stock through the employee purchase program. Anyone knows?,2016-08-02,0
Yahoo! Inc.,YHOO,Verizon/Yahoo Deal - Layoffs,No Major Layoffs Are Expected: http://www.hollywoodreporter.com/news/major-layoffs-arent-expected-yahoo-914275,2016-07-26,0
Yahoo! Inc.,YHOO,Lost job to China,"There are so many IT layoff this year, how are we all going to find another job especially with China now even producing fab chips/asics. I know everyone thinks India/Indian's are a big threat and taking over our jobs. Yes, I agree to some point but...
read more",2016-04-29,1
Yahoo! Inc.,YHOO,If they go the private equity route we are hosed,"Used to work for a company that got gobbled up by a private equity firm, they went after cash flow and money making assets. Laid off every single person that was not 100% essential - milked cash flow and sold us in chunks. That's what'll happen - I...
read more",2016-04-08,0
Yahoo! Inc.,YHOO,Here come more Layoffs,here is the story about the next wave of layoffs at yahoo http://www.marketwatch.com/story/yahoo-to-layoff-15-of-workfroce-explore-strategic-alternatives-live-blog-2016-02-02,2016-03-08,0
Yahoo! Inc.,YHOO,Yahoo does not look good on your resume beyond 5 years.,"A few of my buddies in the US and India who left Yahoo in the past 2 years after 5+ years of service have struggled clearing interviews or even getting calls for interviews. If you have ""Analytics"" on your resume at Yahoo, the chances of clearing...
read more",2016-02-24,0
Yahoo! Inc.,YHOO,Media Missed OTHER Layoffs,"It wasn't JUST the ""digital magazine's"" and engineers that were let go recently. A numerous group of Account Managers/AE's and AD's were let go yesterday from east to west coast. And then they are shutting down the Burbank office... I'm glad I got...
read more",2016-02-18,0
Yahoo! Inc.,YHOO,People over 45 suck at ad sales?,"Why do you think it's rare to find anyone over 45 in a sales position there vs. what you may have found five years ago? Is it because people over 45 suck at ad sales? Is it because they were all smart enough to get out before the company started...
read more",2016-02-15,0
Yahoo! Inc.,YHOO,Stealth layoffs,"In 2014 the started stealth layoffs in small increments, but the numbers were smaller and less off putting to the majority, so those left behind were easily fooled into a false sense of superiority, thinking they were somehow better than those let go...
read more",2016-02-15,2
Yahoo! Inc.,YHOO,Yahoo!!,I'm going to take my talents elsewhere. Anyone know if Altavista or Hotbot is hiring?,2016-02-14,1
Yahoo! Inc.,YHOO,Yahoo Severance Payment,"I kind of hope to get something similar to de Castro's package - he spent sweet 14 months here, and walked away with 60 million - MM, that's a great way to manage an enterprise, keep up your prudent and shrewd work",2016-02-12,0
Yahoo! Inc.,YHOO,Is there a class action filed yet?,no body text,2016-02-12,0
Yahoo! Inc.,YHOO,Wait until 2/25 for a WARN,"the reports can be viewed by clicking links on this page: http://www.edd.ca.gov/jobs_and_training/Layoff_Services_WARN.htm the WARN report isn't listed yet for Yahoo (if it was submitted yesterday or today, it wouldn't be listed on the most recent...
read more",2016-02-12,2
Yahoo! Inc.,YHOO,100+ Laid off in Sunnyvale - April 2016,"A WARN notice filed, departing April 11 2016, engineering positions and management positions...",2016-02-10,1
