company_name,link,ticker
Y&R Advertising,https://www.thelayoff.com//y-and-r-advertising,
YM BioSciences Inc.,https://www.thelayoff.com//ym-biosciences,YM
YOU On Demand Holdings Inc.,https://www.thelayoff.com//you-on-demand-holdings,YOD
YP LLC - Yellow Pages - YP.com,https://www.thelayoff.com//yp,
YPF S.A.,https://www.thelayoff.com//ypf,YPF
YRC Worldwide Inc.,https://www.thelayoff.com//yrc-worldwide,YRCW
YY Inc. ADS,https://www.thelayoff.com//yy,YY
Yaak Elementary School District,https://www.thelayoff.com//yaak-elementary-school-district,
Yadkin County,https://www.thelayoff.com//yadkin,
Yadkin County Schools,https://www.thelayoff.com//yadkin-county-schools-school-district,
Yadkin Financial Corp.,https://www.thelayoff.com//yadkin-financial,YDKN
Yadkin Valley Financial Corp.,https://www.thelayoff.com//yadkin-valley-financial,YAVY
Yahoo! Inc.,https://www.thelayoff.com//yahoo,YHOO
Yakima County,https://www.thelayoff.com//yakima-wa,
Yakima Regional Medical and Cardiac Center,https://www.thelayoff.com//yakima-regional-medical-and-cardiac-center,
Yakima School District,https://www.thelayoff.com//yakima-school-district,
Yakima Valley Memorial Hospital,https://www.thelayoff.com//yakima-valley-memorial-hospital,
Yakutat City and Borough,https://www.thelayoff.com//yakutat-city,
Yakutat School District,https://www.thelayoff.com//yakutat-school-district,
Yale - New Haven Hospital,https://www.thelayoff.com//yale-new-haven-hospital,
Yale Public Schools,https://www.thelayoff.com//yale-public-schools-school-district,
Yale School District,https://www.thelayoff.com//yale-school-district,
Yale University,https://www.thelayoff.com//yu,
Yalobusha County,https://www.thelayoff.com//yalobusha,
Yalobusha General Hospital,https://www.thelayoff.com//yalobusha-general-hospital,
Yamana Gold Inc.,https://www.thelayoff.com//yamana-gold,AUY
Yamhill Carlton School District 1,https://www.thelayoff.com//yamhill-carlton-sd-1-school-district,
Yamhill County,https://www.thelayoff.com//yamhill,
Yampa Valley Medical Center,https://www.thelayoff.com//yampa-valley-medical-center,
Yancey County,https://www.thelayoff.com//yancey,
Yancey County Schools,https://www.thelayoff.com//yancey-county-schools-school-district,
Yandex N.V.,https://www.thelayoff.com//yandex,YNDX
Yankton County,https://www.thelayoff.com//yankton,
Yankton School District 63-3,https://www.thelayoff.com//yankton-sd-63-3-school-district,
Yantis Company,https://www.thelayoff.com//yantis-company,
Yantis Independent School District,https://www.thelayoff.com//yantis-isd-school-district,
Yanzhou Coal Mining Co. Ltd.,https://www.thelayoff.com//yanzhou-coal-mining,YZC
YapStone,https://www.thelayoff.com//yapstone,
Yara International asa	,https://www.thelayoff.com//yara,
Yarbrough School District,https://www.thelayoff.com//yarbrough-school-district,
Yarmouth Schools School District,https://www.thelayoff.com//yarmouth-schools-school-district,
Yarnell Elementary District,https://www.thelayoff.com//yarnell-elementary-district-school-district,
Yates Cos,https://www.thelayoff.com//yates,
Yates County,https://www.thelayoff.com//yates-ny,
Yavapai Accommodation School District,https://www.thelayoff.com//yavapai-accommodation-school-district,
Yavapai County,https://www.thelayoff.com//yavapai,
Yavapai Regional Medical Center,https://www.thelayoff.com//yavapai-regional-medical-center,
Yavapai Regional Medical Center - East Campus,https://www.thelayoff.com//yavapai-regional-medical-center-east-campus,
Yazoo City Municipal School District,https://www.thelayoff.com//yazoo-city-municipal-school-dist,
Yazoo County,https://www.thelayoff.com//yazoo,
Yazoo County School District,https://www.thelayoff.com//yazoo-co-school-dist,
Yell County,https://www.thelayoff.com//yell,
Yellow Media Inc,https://www.thelayoff.com//yellow-media,YLO
Yellow Medicine County,https://www.thelayoff.com//yellow-medicine,
Yellow Medicine East School District,https://www.thelayoff.com//yellow-medicine-east-school-district,
Yellow Springs Exempted Village School District,https://www.thelayoff.com//yellow-springs-exempted-village-school-district,
Yellowstone 14 School District,https://www.thelayoff.com//yellowstone-14-school-district,
Yellowstone Academy Elementary School District,https://www.thelayoff.com//yellowstone-academy-elementary-school-district,
Yellowstone County,https://www.thelayoff.com//yellowstone,
Yellville-Summit School District,https://www.thelayoff.com//yellville-summit-school-district,
Yelm School District,https://www.thelayoff.com//yelm-school-district,
Yelp Inc.,https://www.thelayoff.com//yelp,YELP
Yerba Buena Engineering & Construction,https://www.thelayoff.com//yerba-buena-engineering,
Yeshiva University,https://www.thelayoff.com//yeshiva,
Yext,https://www.thelayoff.com//yext,YEXT
Yingli Green Energy Holding Co. Ltd.,https://www.thelayoff.com//yingli-green-energy-holding,YGE
Yintech Investment Holdings,https://www.thelayoff.com//yintech-investment-holdings,YIN
Yoakum Community Hospital,https://www.thelayoff.com//yoakum-community-hospital,
Yoakum County,https://www.thelayoff.com//yoakum,
Yoakum County Hospital,https://www.thelayoff.com//yoakum-county-hospital,
Yoakum Independent School District,https://www.thelayoff.com//yoakum-isd-school-district,
Yodlee Inc.,https://www.thelayoff.com//yodlee,YDLE
YogaWorks,https://www.thelayoff.com//yogaworks,YOGA
Yolo County,https://www.thelayoff.com//yolo,
Yolo County Office Of Education,https://www.thelayoff.com//yolo-county-office-of-education-school-district,
Yoncalla School District 32,https://www.thelayoff.com//yoncalla-sd-32-school-district,
Yonkers City School District,https://www.thelayoff.com//yonkers-city-school-district,
York 01 School District,https://www.thelayoff.com//york-01-school-district,
York 02 School District,https://www.thelayoff.com//york-02-school-district,
York 03 School District,https://www.thelayoff.com//york-03-school-district,
York 04 School District,https://www.thelayoff.com//york-04-school-district,
York Central School District,https://www.thelayoff.com//york-central-school-district,
York City School District,https://www.thelayoff.com//york-city-sd-school-district,
York College,https://www.thelayoff.com//yc,
York College of Pennsylvania,https://www.thelayoff.com//ycp,
York County,https://www.thelayoff.com//york-me,
York County Public Schools,https://www.thelayoff.com//york-co-pblc-schs-school-district,
"York County, NE",https://www.thelayoff.com//york-ne,
"York County, PA",https://www.thelayoff.com//york-pa,
"York County, SC",https://www.thelayoff.com//york-sc,
"York County, VA",https://www.thelayoff.com//york-va,
York General Hospital,https://www.thelayoff.com//york-general-hospital,
York Hospital York,https://www.thelayoff.com//york-hospital-york,
York Public Schools,https://www.thelayoff.com//york-public-schools-school-district,
York Suburban School District,https://www.thelayoff.com//york-suburban-sd-school-district,
York Water Co.,https://www.thelayoff.com//york-water,YORW
Yorke & Curtis General Contractors,https://www.thelayoff.com//yorke-and-curtis,
Yorkshire-Pioneer Central School District,https://www.thelayoff.com//yorkshire-pioneer-central-school-district,
Yorktown Central School District,https://www.thelayoff.com//yorktown-central-school-district,
Yorktown Community Schools,https://www.thelayoff.com//yorktown-community-schools-school-district,
Yorktown Independent School District,https://www.thelayoff.com//yorktown-isd-school-district,
Yorkville CUSD 115,https://www.thelayoff.com//yorkville-cusd-115-school-district,
Yorkville J2 School District,https://www.thelayoff.com//yorkville-j2-school-district,
Yosemite Unified School District,https://www.thelayoff.com//yosemite-unified-school-district,
