company,ticker,title,body,date,replies
ZAIS Group Holdings Inc.,ZAIS,Zais Layoffs - April 2016,"That's what I heard, may be just a #rumor but I think it's a possibility - the whole sector is in trouble and we are just following industry trends here at Zais",2016-01-14,0
ZaZa Energy,ZAZA,Houston Layoffs at Zaza (2015),Anyone from Toreador Resources on this board - what are your predictions for 2015 and potential layoffs?,2014-12-31,1
Zale Corp.,ZLC,"2014, the year of layoffs at Zale's","things are getting worse and worse, cannot fool people anymore",2014-03-11,0
Zale Corp.,ZLC,Zale's layoffs in process,"Things are moving right now, stores are closing and there will be cuts in corporate.",2014-01-08,1
Zale Corp.,ZLC,"Zales is a joke, seriously - the markup on jewelery here is crazy and they deserve to be put out of business","Zales is a joke, seriously - the markup on jewelery here is crazy and they deserve to be put out of business. The place is a total rip-off...",2010-02-11,0
Zapata Corp.,ZAP,ZAP is hiring,No layoffs here,2015-02-03,0
Zareba Systems Inc.,ZRBA,what do you guys do?,what do you guys do?,2009-05-30,0
Zarlink Semiconductor Inc.,ZL,"Guys - it's rosy, do not worry, all will be OK - oh, what a bunch of bull: Representatives from the latter told OBJ last week that Ottawa...","Guys - it's rosy, do not worry, all will be OK - oh, what a bunch of bull: Representatives from the latter told OBJ last week that Ottawa companies such as Tundra Semiconductor and Zarlink will see a strong market for their ""next-generation"" chip...
read more",2009-03-12,0
Zayo Group Holdings Inc.,ZAYO,Zayo is laying off!,"I, my manager and two people I managed got laid off today. It was estimated that Zayo is laying off 25% of it's workforce company wide/",2019-02-16,1
Zayo Group Holdings Inc.,ZAYO,Zayo is hiring right now,"No layoffs, just hiring.",2019-01-30,0
Zayo Group Holdings Inc.,ZAYO,"More layoffs at Zayo, July 2018","Another round of what really amounts to back door layoffs. Tons of great employees who are dedicated and hard working, they just happen to do it from home, were told to move to an office location or you no longer have a job. Some actually worked from...
read more",2018-07-31,1
Zayo Group Holdings Inc.,ZAYO,Zayo Layoffs April 2016,"Around the middle of April 2016 Zayo laid off upwards of 300 employees nation wide mostly from operations and with no internal warning (as you'd expect). The odd thing is a lot of these did not seem to make since outside of straight budget/head count...
read more",2016-04-28,7
Zebra Technologies Corp.,ZBRA,Zebra Technologies- Motorola Solutions layoffs,"Zebra Technologies sells like thermal bar code label and printers. They are large company with 2,500 employees worldwide. Their stock is pretty stable and revenues goes up. ZT announced in April to buy Motorola Solutions. Motorola Solutions confirmed...
read more",2014-10-20,0
